numberOfTweet,text,user name,screen name,description,gender
1,"@almupalacios Hay un contenedor del ayto. en la entrada del mercado Barceló, también recogen para Cáritas en la iglesia Sta.Bárbara llamando",Alberto!,alberto,Demented // Realizador // Garagero // AKA @insane // Of little interest,Female
2,Palma está muy mal @ Novo Café Lisboa https://t.co/V0Yu1V1Xeh,Alberto!,alberto,Demented // Realizador // Garagero // AKA @insane // Of little interest,female
3,Trick question Lemmy *IS* God https://t.co/9DHzinySof,Alberto!,alberto,Demented // Realizador // Garagero // AKA @insane // Of little interest,Female
4,Didn't go last night https://t.co/jn8e5YY7Qj :(,Alberto!,alberto,Demented // Realizador // Garagero // AKA @insane // Of little interest,Female
5,Happy Xmas Yokos https://t.co/85GCaI6o57,Alberto!,alberto,Demented // Realizador // Garagero // AKA @insane // Of little interest,Female
6,Fringe events https://t.co/NtCTS9Q1QQ,Alberto!,alberto,Demented // Realizador // Garagero // AKA @insane // Of little interest,Female
7,¿Esto cómo era? Preparando singles para lo de esta tarde en @mongoscifibar Presenta libro de… https://t.co/jofK611bUF,Alberto!,alberto,Demented // Realizador // Garagero // AKA @insane // Of little interest,Female
8,"@JuanZelada además suena #backontrack en la pelu, que le había dado un cd en su día. :)",Alberto!,alberto,Demented // Realizador // Garagero // AKA @insane // Of little interest,Female
9,"El Paco se volvió librero... Tremendo combo peluquería/club de lectura mensual, este mes Gil de… https://t.co/I4Tyf0eZxk",Alberto!,alberto,Demented // Realizador // Garagero // AKA @insane // Of little interest,Female
10,Good Morning Vodka https://t.co/BZ3Cz2qG6e,Alberto!,alberto,Demented // Realizador // Garagero // AKA @insane // Of little interest,Female
11,¡Toma! #Berserker #PabloHernando https://t.co/fYweHhCxaq,Alberto!,alberto,Demented // Realizador // Garagero // AKA @insane // Of little interest,Female
12,No estais yendo al teatro https://t.co/55kCjV5Cou,Alberto!,alberto,Demented // Realizador // Garagero // AKA @insane // Of little interest,Female
13,"Mr. Robot, Lavapiés. #mrrobot @ Lavapiés https://t.co/AOGahQB5lW",Alberto!,alberto,Demented // Realizador // Garagero // AKA @insane // Of little interest,Female
14,@JRuizArcaute @finalcutproes a nosotros una vez nos salvó la vida el Data Rescue ¡suerte! https://t.co/TRhRCkLFgy,Alberto!,alberto,Demented // Realizador // Garagero // AKA @insane // Of little interest,Female
15,¡Los Cero! https://t.co/EUfdJCRIxa #uff,Alberto!,alberto,Demented // Realizador // Garagero // AKA @insane // Of little interest,Female
16,Fuck los soportales @ Grafic-Ho https://t.co/7ipJFCpzqb,Alberto!,alberto,Demented // Realizador // Garagero // AKA @insane // Of little interest,Female
17,El perro bicéfalo de insanefilms.es ( @insane) by @thefonthunter #workinprogress https://t.co/uSzdTQ9K9I,Alberto!,alberto,Demented // Realizador // Garagero // AKA @insane // Of little interest,Female
18,"I'm in the middle of intercourse with your wife, if you power me down now, I will be unable to penetrate your wife #humans",Alberto!,alberto,Demented // Realizador // Garagero // AKA @insane // Of little interest,Female
