numberOfTweet,text,user name,screen name,description,gender
1,It's almost like they are all making shit up! https://t.co/hPsfwNVaJB,Alex,alex,"Editor in Chief at @Mattermark. Previously: @TechCrunch, @TheNextWeb. I think you rock. Alex.Wilhelm [at] https://t.co/7pDTlMAsA6",Female
2,"@jerryrausch 

What did sarcasm say to sarcasm?

""Well, aren't ~ you ~ the truth!""",Alex,alex,"Editor in Chief at @Mattermark. Previously: @TechCrunch, @TheNextWeb. I think you rock. Alex.Wilhelm [at] https://t.co/7pDTlMAsA6",female
3,@jerryrausch what is jerry thinking? will jerry make it home today? jerry thinks so. jerry hopes so.,Alex,alex,"Editor in Chief at @Mattermark. Previously: @TechCrunch, @TheNextWeb. I think you rock. Alex.Wilhelm [at] https://t.co/7pDTlMAsA6",Female
4,I want to beat my calendar with a stick.,Alex,alex,"Editor in Chief at @Mattermark. Previously: @TechCrunch, @TheNextWeb. I think you rock. Alex.Wilhelm [at] https://t.co/7pDTlMAsA6",Female
5,hey @mattlynley are we in a simulation,Alex,alex,"Editor in Chief at @Mattermark. Previously: @TechCrunch, @TheNextWeb. I think you rock. Alex.Wilhelm [at] https://t.co/7pDTlMAsA6",Female
6,@mattlynley ??,Alex,alex,"Editor in Chief at @Mattermark. Previously: @TechCrunch, @TheNextWeb. I think you rock. Alex.Wilhelm [at] https://t.co/7pDTlMAsA6",Female
7,@jeffkibuule according to my cal yes,Alex,alex,"Editor in Chief at @Mattermark. Previously: @TechCrunch, @TheNextWeb. I think you rock. Alex.Wilhelm [at] https://t.co/7pDTlMAsA6",Female
8,@maxrogo agh I missed it,Alex,alex,"Editor in Chief at @Mattermark. Previously: @TechCrunch, @TheNextWeb. I think you rock. Alex.Wilhelm [at] https://t.co/7pDTlMAsA6",Female
9,@bdsams @mehedih_ I am patient,Alex,alex,"Editor in Chief at @Mattermark. Previously: @TechCrunch, @TheNextWeb. I think you rock. Alex.Wilhelm [at] https://t.co/7pDTlMAsA6",Female
10,Today is the best day. We can finally retweet ourselves. We are all doomed.,Alex,alex,"Editor in Chief at @Mattermark. Previously: @TechCrunch, @TheNextWeb. I think you rock. Alex.Wilhelm [at] https://t.co/7pDTlMAsA6",Female
11,@caulkthewagon someone else said that as well - I think it's true for me as well. That's a quorum!,Alex,alex,"Editor in Chief at @Mattermark. Previously: @TechCrunch, @TheNextWeb. I think you rock. Alex.Wilhelm [at] https://t.co/7pDTlMAsA6",Female
12,"@dshaw_ alright, I'll hush then.",Alex,alex,"Editor in Chief at @Mattermark. Previously: @TechCrunch, @TheNextWeb. I think you rock. Alex.Wilhelm [at] https://t.co/7pDTlMAsA6",Female
13,@maxrogo wait so because they could have bought something dumber you are giving them points?,Alex,alex,"Editor in Chief at @Mattermark. Previously: @TechCrunch, @TheNextWeb. I think you rock. Alex.Wilhelm [at] https://t.co/7pDTlMAsA6",Female
14,"Has the new Instagram icon grown on anyone? I still hate it, but feel old and out of touch etc",Alex,alex,"Editor in Chief at @Mattermark. Previously: @TechCrunch, @TheNextWeb. I think you rock. Alex.Wilhelm [at] https://t.co/7pDTlMAsA6",Female
15,@alex shut up,Alex,alex,"Editor in Chief at @Mattermark. Previously: @TechCrunch, @TheNextWeb. I think you rock. Alex.Wilhelm [at] https://t.co/7pDTlMAsA6",Female
16,"Oh, just so that you know: Microsoft is back under the $50 mark. Ouch. 

Upside: Better dividend yield for new investors?",Alex,alex,"Editor in Chief at @Mattermark. Previously: @TechCrunch, @TheNextWeb. I think you rock. Alex.Wilhelm [at] https://t.co/7pDTlMAsA6",Female
17,"Mention net neutrality once in a piece, briefly, and kaboom, your inbox is full of Quotes From Very Important People You Have Never Heard Of",Alex,alex,"Editor in Chief at @Mattermark. Previously: @TechCrunch, @TheNextWeb. I think you rock. Alex.Wilhelm [at] https://t.co/7pDTlMAsA6",Female
18,"Via @Mergermarket, the impact of the $LNKD buy makes 2016 M&amp;A a bit less shitty compared to 2015 https://t.co/wPaGviQti7",Alex,alex,"Editor in Chief at @Mattermark. Previously: @TechCrunch, @TheNextWeb. I think you rock. Alex.Wilhelm [at] https://t.co/7pDTlMAsA6",Female
