numberOfTweet,text,user name,screen name,description,gender
1,"America, this doesn't have to keep happening. Your government should work for you. Demand it. #gunviolence",Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
2,@mcruzlee sorry we missed each other yesterday. I caught an early flight home as I wasn't feeling well. drop me a line amanda@timecounts.org,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,female
3,@mcruzlee @mofad sounds good.,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
4,New report from @OmidyarNetwork says #civictech needs a shared vision or identity to succeed. https://t.co/yWVcBxspW9  #enginesofchange,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
5,I can't think of a more appropriate way to kick off #pdf16 than paying tribute to our friend @jakebrewer. https://t.co/fchYFQzILg,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
6,I believe in the power of tech to make real change happen so I'm supporting the leading civic tech conference #PDF16 https://t.co/QC7xJ84N69,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
7,"@brianhogg Hey Brian, sorry I seemed to have missed this tweet earlier, I'm between both cities but in Toronto right now. How are you doing/",Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
8,"712,998 signatures on the petition to free my friend Naz - yet 56 days and still imprisoned in Iran without charge.  https://t.co/U3wfq4ffRA",Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
9,#WeTheNorth  https://t.co/39VzA6JEPV,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
10,@susanmcp1 so fun to see how it's grown! @timecounts now powers their ambassador program and volunteers - so expect to see even more xx,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
11,Today is #FoodRevolution day around the world! Get involved as an ambassador or just sign up https://t.co/tZxJmTUe0k https://t.co/hwSoOo0G5y,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
12,Family of Nazanin Ratcliffe deliver 500k petition to Number 10 day as she is moved out of solitary confinement https://t.co/ifYlhqL5j2,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
13,Good advice. https://t.co/YHtvDeuj07,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
14,@itswendylou thank you x,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
15,@Zee that happened to me. expect it to go on for months if they are well known.,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
16,Thanks to everyone who has signed the petition for my dear friend Nazanin. 120k signatures and growing https://t.co/KJ996aBMGF #FreeNazanin,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
17,Thank you @aishagani and @buzzfeed for highlighting #FreeNazanin.   https://t.co/QOF0j5DFoF,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
18,@Azita thank you x,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
19,#FreeNazanin on tomorrow's front page of The Independent.  https://t.co/ihO6pQqAkJ,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,female
20,"Friends, thank you for sharing and signing the petition to #FreeNazanin. It just crossed 35k signatures on @change. https://t.co/rgWaJISX1l",Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,female
21,. @HassanRouhani @David_Cameron 25K+ people have now signed a @change petition to #FreeNazanin. Please help &gt; https://t.co/QPKP38JOI7,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,female
22,@crystale thank you x,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,female
23,Please help my friend Naz and sign this petition. 826 more needed &gt; https://t.co/m9FRKhH9DU,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
24,BBC News - British-Iranian Nazanin Zaghari-Ratcliffe detained for a month 'without charge' https://t.co/KDLLiSzTdc,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
25,"How has this happened?!? My good friend Naz is imprisoned in Iran. She's a charity worker, mother - PLEASE SIGN &gt; https://t.co/rgWaJISX1l",Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
26,One of the best talks I've watched.  https://t.co/nG8CHKep40,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
27,The librarian who saved Timbuktu’s cultural treasures from al Qaeda https://t.co/0RZ8o0cfJi,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
28,"What's the best caregiver app out there? Need to coordinate pickups, appointments, groceries, etc with friends for someone in treatment.",Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
29,@cdn thank you Christian. hope you're well!,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
30,"@marihuertas only the airport as a stopover, you would have definitely heard otherwise x",Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
31,"Waiting for a flight in Chicago, CNN is on blast in the airport. So many fear mongering talking heads, it's propaganda not news coverage.",Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
32,@becky_koenig sure! do you mind coming to booth 926 for @timecounts? See you soon.,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
33,"@becky_koenig I'd be interested to meet, when is good for you?",Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
34,Are you at #16ntc this week? I'd love to meet up - come by the @timecounts booth 926.,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
35,"@kanter I'm at NTEN this week, swing by booth 926, love to see you",Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
36,"@CateSevilla you should meet @Miss604, you two would hit it off. She also happens to know all about Vancouver.",Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
37,Twitter may not be the community I once knew - but it's been a pivotal part of my life and an incredible instrument for change. #LoveTwitter,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
38,Powerful video.  https://t.co/PmiI8I4hx9,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
39,@Naeema I'm good - in London right now. Let's catch up on skype one of these days. Enjoy Canada :),Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
40,@Naeema sorry to be missing you in Toronto! what brings you to town?,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
41,@caitlinbk true words.,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
42,I would like one day without a new Trump headline. I'm kind of missing Sarah Palin wackiness now.,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
43,"@willmcinnes you should connect with @pietrobezza, who I think flew in from London for #SaaStrAnnual",Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
44,@susanmcp1 I think PDF in 2009 was the first time we met in person! Are you going this time?,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
45,Word is out. Thrilled to be speaking at #PDF16 this year! Tickets just went on sale - hope to see you in NYC. https://t.co/bmG3FfSzWq,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,female
46,"I believe the children of Syria are #notlost — not if we act right now. Join Muzoon, Malala and me. Add your voice: https://t.co/xxVjl12mK9",Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
47,Startups should take note &gt; Are an obscure group of bureaucrats in Europe about to break the internet as we know it? https://t.co/M2YAtqbZ5I,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
48,@Bonanzinga I use @mixmax within gmail now.,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
49,@onambiguity Ming! We've gotta do that catch up soon.,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
50,"Putting Rihanna's new track behind the garden wall of Tidal doesn't encourage me to be a customer, it just makes me look on YouTube.",Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
51,Maybe we should do the world's largest crowdfunding campaign and buy Twitter. Turn it into a public benefit service.,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
52,Countless hours of volunteer engagement go untapped...  https://t.co/IUmLeuUiw0,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
53,Astounded at the influence of musically. I had no idea... https://t.co/JkGdxj24w6,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
54,The growth of charities is stifled by public expectations https://t.co/Ln63dRdC9U,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
55,"Canadians are cutting $20 bills in half to create a new, locals-only currency: https://t.co/zSwl27VP1r",Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
56,I've realized the days I feel most energized are when I'm talking to new @timecounts customers. So far I'm enjoying 2016 immensely.,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
57,Remember when we called Twitter micro-blogging?  #twitterlimit,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
58,It will be a happy day for productivity when Slack adds threaded comments.,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
59,"@alexthegirl same,not feeling it, same voices, RTs of posts I see on FB, I miss interactions like this one, I think it's called community...",Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
60,@sacca that reminds me of this clip I watched earlier https://t.co/s1Ul5cPhbS,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
61,@alexthegirl you and I seem to be tweeting about the same amount lately... what's your excuse?,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
62,"@mjamme @africatechie I'm not involved with @FemaleFunders, just wanted to help promote as I liked the initiative. But we need to catch up!",Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
63,"@mjamme @FemaleFunders I think it's just in Canada and the US for now, but maybe they could partner to run in Europe in future.",Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,female
64,We need more women investors. So I'm quite happy to see @FemaleFunders has a new breakfast series coming up. https://t.co/rLRK1FIfIt,Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
65,"2015 went way too quickly. There's something exciting about starting a new year. Reviewing goals, setting new ones, if lucky - inbox zero.",Amanda Rose,amanda,ceo + founder @timecounts . created @twestival,Female
