numberOfTweet,text,user name,screen name,description,gender
1,DESIGN DISRUPTORS https://t.co/e9lgP8NQ8M,ANEX,anex,New Media Agency,Female
2,True or False? :D https://t.co/LCHNNlxdN9,ANEX,anex,New Media Agency,female
3,Wie wahr :D https://t.co/GENJV1p4ax,ANEX,anex,New Media Agency,Female
4,Lets welcome our new Baby @fruits4kids . More Infos coming soon. Happy rumoring ;-),ANEX,anex,New Media Agency,Female
5,Gewinn jetzt das „t3n-Freelancer-Bundle“. Viel Glück! http://t.co/ev7wII4H0H via @t3n,ANEX,anex,New Media Agency,Female
6,Wahnsinns Aktion - 1000 Musiker spielen Cover von Foo Fighters https://t.co/MNYxEfHcM2 via @YouTube,ANEX,anex,New Media Agency,Female
7,45 Jokes Only Programmers Will Get http://t.co/HR7Wtzyapx via @hongkiat,ANEX,anex,New Media Agency,Female
8,"Mal was zu lachen für zwischendurch :)

http://t.co/fY2uctveEd",ANEX,anex,New Media Agency,Female
9,"WAHNSINNS LEISTUNG -&gt; ""Tetris""-Meister bewältigt Spiel mit unsichtbaren Blöcken http://t.co/P2KiVHxNuE via @gameStandard",ANEX,anex,New Media Agency,Female
10,@wp_digest thanks for following :),ANEX,anex,New Media Agency,Female
11,"@Chalan_A_Tours @SouthAfrica we actually never said that, but we actually support this statement!",ANEX,anex,New Media Agency,Female
12,get the most out of #WordPress #search #tabbed #types http://t.co/qbJWETfDE0,ANEX,anex,New Media Agency,Female
13,@WhatsApp removed option for font size? how comes?,ANEX,anex,New Media Agency,Female
14,@Support many many thx for the perfect transition of our username. #joy #welldonetwitter,ANEX,anex,New Media Agency,Female
15,@Astoundify @eddwp well done. will buy it soon too :),ANEX,anex,New Media Agency,Female
16,Richte gerade mein Twitter ein. #meinErsterTweet,ANEX,anex,New Media Agency,Female
