numberOfTweet,text,user name,screen name,description,gender
1,1st order received even before launch! https://t.co/yaBMfqyoT5 #livingclean #liveclean #moderemy #700831 https://t.co/XjQW4yp2Ok,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
2,So excited this is coming soon to our shores! 16/7 Mid Valley Gardens Theatre #moderemy #liveclean #700831 https://t.co/eVQj9qBmi6,Audrey Chooi,Audrey,Stylish. Safe. Smart,female
3,Revolution in anti-aging is arriving on our shores 17/7 at The Gardens MidValley KL. See u there! @modere @liveclean https://t.co/6luiM2kbxv,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
4,Product of the month in June! Visit https://t.co/HU8frsIu3W  to get 15% off now #liveclean #modere https://t.co/u4BrbmlaKK,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
5,First attempt at video marketing! #smebootcamp2016 #videomarketing https://t.co/08XaQMFhmV,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
6,This is how much time we spend online everyday with our devices! #smebootcamp2016 #statistics https://t.co/paxuzueWc7,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
7,1st lucky draw prize winner! Congrats @underhill_k  #smebootcamp2016 https://t.co/6cw319DDni,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
8,We finished first! #smebootcamp2016 https://t.co/1sO5AtF1wO,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
9,Word of the day #smebootcamp2016 https://t.co/27MX4lsIqI,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
10,Overwhelming statistics on who's using social media these days.. time to pump it up! #smebootcamp2016 #backtoschool https://t.co/QTS0A4r50A,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
11,Back to school for the next 2 days... awesome learning at #smebootcamp2016 https://t.co/S8rUwGEJVz,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
12,Getting great new ideas at  #smebootcamp2016 https://t.co/Clo7afcoX7,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
13,#modere #liveclean https://t.co/fTuRfUkJFt,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
14,JJ BROWN CREAM PUFF @@@ http://t.co/NUdpWYlpDz,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
15,I posted a new photo to Facebook http://t.co/xFncLWL6nJ,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
16,http://t.co/giek25ioUq,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
17,Cappuccino mousse ### http://t.co/sQLYYNE2sK,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
18,I posted a new photo to Facebook http://t.co/kjK4VVtQ7g,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
19,I posted a new photo to Facebook http://t.co/iS0CXuRiTC,Audrey Chooi,Audrey,Stylish. Safe. Smart,female
20,I posted a new photo to Facebook http://t.co/h8y78smE4u,Audrey Chooi,Audrey,Stylish. Safe. Smart,female
21,I posted a new photo to Facebook http://t.co/3ymB501U5e,Audrey Chooi,Audrey,Stylish. Safe. Smart,female
22,I posted a new photo to Facebook http://t.co/rhJZFH1Qfv,Audrey Chooi,Audrey,Stylish. Safe. Smart,female
23,I posted a new photo to Facebook http://t.co/CX0Qtw5tKs,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
24,Mini Rolls ** http://t.co/z61Hao5aHS,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
25,I posted a new photo to Facebook http://t.co/JkH5jqaWjh,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
26,I posted a new photo to Facebook http://t.co/WdcH72zmlA,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
27,I posted a new photo to Facebook http://t.co/LQP5fRXBIo,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
28,I posted a new photo to Facebook http://t.co/ZBJ5jGnahM,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
29,I posted a new photo to Facebook http://t.co/DO3c51CPdO,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
30,I posted a new photo to Facebook http://t.co/hV9pKea7xZ,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
31,I posted a new photo to Facebook http://t.co/8e5Mkx3e4S,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
32,I posted a new photo to Facebook http://t.co/3tWIYf1QPU,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
33,I posted a new photo to Facebook http://t.co/bWnaOPWtGe,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
34,I posted a new photo to Facebook http://t.co/vl2CBKr3Nb,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
35,I posted a new photo to Facebook http://t.co/eO7zHaw3F5,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
36,I posted a new photo to Facebook http://t.co/Ukx16OjJAD,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
37,I posted a new photo to Facebook http://t.co/bDWPUVXRvO,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
38,I posted a new photo to Facebook http://t.co/7Pe0GmPJeh,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
39,I posted a new photo to Facebook http://t.co/RwzYVkCfUb,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
40,I posted a new photo to Facebook http://t.co/mzxMJn9ysr,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
41,I posted a new photo to Facebook http://t.co/Ddl7518g2g,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
42,I posted a new photo to Facebook http://t.co/VX10iFJoEO,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
43,I posted a new photo to Facebook http://t.co/I2oyoMDQh3,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
44,I posted a new photo to Facebook http://t.co/cDzaw9p6Dv,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
45,I posted a new photo to Facebook http://t.co/baVo9pSJNn,Audrey Chooi,Audrey,Stylish. Safe. Smart,female
46,I posted a new photo to Facebook http://t.co/AHIUfr2gsI,Audrey Chooi,Audrey,Stylish. Safe. Smart,Female
