numberOfTweet,text,user name,screen name,description,gender
1,@doctorow toasted of course,Ben,ben,"Generic Humanoid Carbon Unit trying to sell Solaris 11 and SPARC. My views are my own, not those of Oracle.",Female
2,"@doctorow enjoy the warmer weather, the tacos aren't so good though ;)",Ben,ben,"Generic Humanoid Carbon Unit trying to sell Solaris 11 and SPARC. My views are my own, not those of Oracle.",female
3,@doctorow you must be in Melbourne,Ben,ben,"Generic Humanoid Carbon Unit trying to sell Solaris 11 and SPARC. My views are my own, not those of Oracle.",Female
4,Admiring the passion of @KathrynParsons at #TelstraSummit,Ben,ben,"Generic Humanoid Carbon Unit trying to sell Solaris 11 and SPARC. My views are my own, not those of Oracle.",Female
5,@bdha yay Flogging Molly,Ben,ben,"Generic Humanoid Carbon Unit trying to sell Solaris 11 and SPARC. My views are my own, not those of Oracle.",Female
6,"@glynnfoster safe travels, it's a shit of a flight",Ben,ben,"Generic Humanoid Carbon Unit trying to sell Solaris 11 and SPARC. My views are my own, not those of Oracle.",Female
7,@bubbva maybe gout?,Ben,ben,"Generic Humanoid Carbon Unit trying to sell Solaris 11 and SPARC. My views are my own, not those of Oracle.",Female
8,My sentiments exactly https://t.co/DcPQiemGIT,Ben,ben,"Generic Humanoid Carbon Unit trying to sell Solaris 11 and SPARC. My views are my own, not those of Oracle.",Female
9,"No, you cannot have my twitter handle. And nice squatting on @bencouldrey, @benrbn but you still can't have it",Ben,ben,"Generic Humanoid Carbon Unit trying to sell Solaris 11 and SPARC. My views are my own, not those of Oracle.",Female
10,@antzpantz @dogcow miao,Ben,ben,"Generic Humanoid Carbon Unit trying to sell Solaris 11 and SPARC. My views are my own, not those of Oracle.",Female
11,@DeirdreS applicable in limited geographies,Ben,ben,"Generic Humanoid Carbon Unit trying to sell Solaris 11 and SPARC. My views are my own, not those of Oracle.",Female
12,OS X Yosemite looks like all the semi-retired Flash designers got together and knocked up what they thought was a good prototype OS. Bad.,Ben,ben,"Generic Humanoid Carbon Unit trying to sell Solaris 11 and SPARC. My views are my own, not those of Oracle.",Female
13,Why do I need to mess with my gamma settings just so I can see an icon in OS X Yosemite?,Ben,ben,"Generic Humanoid Carbon Unit trying to sell Solaris 11 and SPARC. My views are my own, not those of Oracle.",Female
14,OS X Yosemite is all kinds of ugly.,Ben,ben,"Generic Humanoid Carbon Unit trying to sell Solaris 11 and SPARC. My views are my own, not those of Oracle.",Female
15,@thomas_violence many have tried and failed. Add yourself to the list!,Ben,ben,"Generic Humanoid Carbon Unit trying to sell Solaris 11 and SPARC. My views are my own, not those of Oracle.",Female
16,Went to Museum Victoria today for the first time in years,Ben,ben,"Generic Humanoid Carbon Unit trying to sell Solaris 11 and SPARC. My views are my own, not those of Oracle.",Female
17,Oracle’s New ZS3-2 Makes Me Reconsider….. http://t.co/uYp5frAODr,Ben,ben,"Generic Humanoid Carbon Unit trying to sell Solaris 11 and SPARC. My views are my own, not those of Oracle.",Female
18,"Oracle ZFS Storage ZS3-2 Sets World Record on SPC-2/E Benchmark, Beats IBM and HP on Price/Performance http://t.co/YiqLluZ1Iw",Ben,ben,"Generic Humanoid Carbon Unit trying to sell Solaris 11 and SPARC. My views are my own, not those of Oracle.",Female
