numberOfTweet,text,user name,screen name,description,gender
1,My coworker brought this cutie to the office today! ❤️😍 https://t.co/jF1OtbRoTK,Carol S. Gushue,carol,I see dead people ... All the time,Female
2,"@biazitalp o Rainbow é um mercado tipo Whole Foods, safeway, etc.",Carol S. Gushue,carol,I see dead people ... All the time,female
3,"@biazitalp vc tentou o rainbow? Eu não como cereal mas geralmente eu acho tudo Q é natural, sem açúcar, sem sal, etc, lá, não custa tentar 😁",Carol S. Gushue,carol,I see dead people ... All the time,Female
4,"@slainte thanks, Andresito! ❤️",Carol S. Gushue,carol,I see dead people ... All the time,Female
5,"America, you lucky I'm yours forever! https://t.co/tZOncA026a",Carol S. Gushue,carol,I see dead people ... All the time,Female
6,@iamxande aqui na hood! É naquele trail do Shepard canyon?,Carol S. Gushue,carol,I see dead people ... All the time,Female
7,"@kwokmun hahah I know, he takes after his dad 😜",Carol S. Gushue,carol,I see dead people ... All the time,Female
8,"@vinibaggio sentimos sua falta ontem, vc precisa voltar aqui na flo! O pão está deliciooooso, muito obrigada p/ treat 😋😄❤️
acc: @mynyml @ito",Carol S. Gushue,carol,I see dead people ... All the time,Female
9,Baby showing off his downer-facing dog pose! 🙏🏻 https://t.co/nihrbpEvHJ,Carol S. Gushue,carol,I see dead people ... All the time,Female
10,@roxmo eu não To mais no Twitter mas o pessoal do twitter Brasil já está ajudando né? ☺️,Carol S. Gushue,carol,I see dead people ... All the time,Female
11,"@biazitalp pois é, a situação tá feia. Se correr o bicho pega, se ficar o bicho come 🙄🔫 RIP Brasil",Carol S. Gushue,carol,I see dead people ... All the time,Female
12,Brasil: sai do espeto ou cai no braseiro?,Carol S. Gushue,carol,I see dead people ... All the time,Female
13,"@manuel W00T! Ai que bueno, felicitaciones, Manuel 🎉👏🏻",Carol S. Gushue,carol,I see dead people ... All the time,Female
14,@Cardoso 😳 awwww achei Q kibador era zoador! Preciso urgente dar um upgrade nas minhas gírias brasileiras!,Carol S. Gushue,carol,I see dead people ... All the time,Female
15,"@Cardoso hmmm kibador sei não, mas copiador ... 😜 https://t.co/9cGOH1U3qN",Carol S. Gushue,carol,I see dead people ... All the time,Female
16,"@kwokmun pão de queijos are indeed awesome! They look great, Kwokinho! 😋",Carol S. Gushue,carol,I see dead people ... All the time,Female
17,Beyond excited about my new book! 😍 #EichlerLovers https://t.co/1kSwOduP9P,Carol S. Gushue,carol,I see dead people ... All the time,Female
18,I really miss Lime today ...,Carol S. Gushue,carol,I see dead people ... All the time,Female
19,"@Rene_Silva_RJ Rene, pare de me lembrar que estou ficando velha! 😂Nem acredito que faz mais de 5 anos! 🎉",Carol S. Gushue,carol,I see dead people ... All the time,female
20,"@Rene_Silva_RJ noooossa 2010! 😱Tweet túnel do tempo! Lembro que nos falamos mas não lembrava desse Tweet, achei Q tinha sido por email.",Carol S. Gushue,carol,I see dead people ... All the time,female
21,@iSenna naaaaao! Nem é primeiro de Abril hoje!,Carol S. Gushue,carol,I see dead people ... All the time,female
22,"@duaitinho desculpado, moço! 👍🏻",Carol S. Gushue,carol,I see dead people ... All the time,female
23,"@abheekgupta it was a pleasure working w/ you, Abheek! Best of luck, it's great to be close to the fam! ☺️",Carol S. Gushue,carol,I see dead people ... All the time,Female
24,@vinibaggio floresta está sempre aberta prozamigo! 🌲💚🌲,Carol S. Gushue,carol,I see dead people ... All the time,Female
25,@vinibaggio na pior das hipóteses vc sempre pode ficar aqui na floresta  🌲🌲☺️,Carol S. Gushue,carol,I see dead people ... All the time,Female
26,"Using the Thug Kitchen cookbook tonight. Yep, that's how I roll 😂 https://t.co/ppLsZochHU",Carol S. Gushue,carol,I see dead people ... All the time,Female
27,"@TheChaiCart Hello chai friends, we're on our way there to get a delicious chai, are you guys still there? ☺️",Carol S. Gushue,carol,I see dead people ... All the time,Female
28,@unbirthdaytea @laura @mzsanford @monica @nsallembien @kn @lija @MarcManiez @susielee @lenazun Awww we were such a great team ❤️❤️❤️,Carol S. Gushue,carol,I see dead people ... All the time,Female
29,@unixpimp hey @Bob! You &amp; I on the same misplaced @ reply it's been a while! Hope you're more careful w/ your keys' security in the future 😜,Carol S. Gushue,carol,I see dead people ... All the time,Female
30,@rafacst to sempre por aqui só na observação 👀,Carol S. Gushue,carol,I see dead people ... All the time,Female
31,"@rafacst ""caindo"" foi generosidade sua 😜",Carol S. Gushue,carol,I see dead people ... All the time,Female
32,@kwokmun Wat? Who are you again?  😜,Carol S. Gushue,carol,I see dead people ... All the time,Female
33,Yay! I'm SO lucky I won the Euro lottery and I didn't even have to play! Clicking on this file right now! 😂 https://t.co/Oilknns1TV,Carol S. Gushue,carol,I see dead people ... All the time,Female
34,@KatieS it was such an honor to work with you! Thanks for being an inspiration to so many of us who had the pleasure to meet you ❤️ Obrigada,Carol S. Gushue,carol,I see dead people ... All the time,Female
35,@aryprin super! 👍🏻,Carol S. Gushue,carol,I see dead people ... All the time,Female
36,OMG! 😂 https://t.co/VZXoAeg9mm,Carol S. Gushue,carol,I see dead people ... All the time,Female
37,@LCYFlightInfo WTF????? More like welcome to spam hell! https://t.co/jRHf9rCucF,Carol S. Gushue,carol,I see dead people ... All the time,Female
38,@markkawika @roach lol same here  😂,Carol S. Gushue,carol,I see dead people ... All the time,Female
39,@theresahannah4 @realDonaldTrump @DanScavino @FranCifelli Oh hell NO 😜,Carol S. Gushue,carol,I see dead people ... All the time,Female
40,"You know you are old when indoor rock climbing on the ""children level"" wall is the most dangerous thing you've done in years 😒👵🏼",Carol S. Gushue,carol,I see dead people ... All the time,Female
41,@BevJack 🍾😘,Carol S. Gushue,carol,I see dead people ... All the time,Female
42,@BevJack I'm so jealous! Feliz Natal pra vocês! I miss you guys 🎅🏼🎄🎁😘,Carol S. Gushue,carol,I see dead people ... All the time,Female
43,"@bpslvinn brigada, hun!",Carol S. Gushue,carol,I see dead people ... All the time,Female
44,@CarlaColega https://t.co/NoYATXL5HV,Carol S. Gushue,carol,I see dead people ... All the time,Female
45,"@CarlaColega ahaha que peste, adoro 😻. Gato comportado não tem graça né? Saudades também, não tão a fim de fugir da neve ? 🌨☃❄️",Carol S. Gushue,carol,I see dead people ... All the time,female
46,"@CarlaColega hahaha já é Natal pro Simba! Adorei a cara dele ""não fui eu, quando cheguei já tava assim"". 😹",Carol S. Gushue,carol,I see dead people ... All the time,Female
