numberOfTweet,text,user name,screen name,description,gender
1,Announcing release of Apache #Cassandra 3.0.7(https://t.co/LkZj4cM6SE) &amp; 3.7(https://t.co/K7ymVY5uwP) download from https://t.co/cNAHB0K4dR,Apache Cassandra,cassandra,The Cassandra distributed database combines the replication model of Amazon's Dynamo with the data model of Google's Bigtable,Female
2,Announcing the release of Apache #Cassandra 3.6 (https://t.co/j5UCL0PmUd). Download from https://t.co/2uwatL0kON,Apache Cassandra,cassandra,The Cassandra distributed database combines the replication model of Amazon's Dynamo with the data model of Google's Bigtable,female
3,Apache #Cassandra 3.0.6 released  (https://t.co/hqJuoM2Len). Download from https://t.co/2uwatLhWdn #nosql,Apache Cassandra,cassandra,The Cassandra distributed database combines the replication model of Amazon's Dynamo with the data model of Google's Bigtable,Female
4,Announcing Apache #Cassandra 2.1.14 (https://t.co/myAHYIJV5k) and 2.2.6 (https://t.co/3lPFWS1vKW). Download from https://t.co/cNAHB0K4dR,Apache Cassandra,cassandra,The Cassandra distributed database combines the replication model of Amazon's Dynamo with the data model of Google's Bigtable,Female
5,Announcing Apache #Cassandra 3.5 release(https://t.co/UQ73jzbY0f). Download from https://t.co/2uwatL0kON,Apache Cassandra,cassandra,The Cassandra distributed database combines the replication model of Amazon's Dynamo with the data model of Google's Bigtable,Female
6,Announcing Apache #Cassandra 3.0.5 (https://t.co/DgCSowxTBt).  Download from https://t.co/cNAHB0K4dR,Apache Cassandra,cassandra,The Cassandra distributed database combines the replication model of Amazon's Dynamo with the data model of Google's Bigtable,Female
7,Announcing Apache #Cassandra 3.4(https://t.co/qcdmHjrtbS) and 3.0.4(https://t.co/EQ2QJCv5X9).  Download from https://t.co/2uwatLhWdn #nosql,Apache Cassandra,cassandra,The Cassandra distributed database combines the replication model of Amazon's Dynamo with the data model of Google's Bigtable,Female
8,Apache #Cassandra 3.3 (https://t.co/r2oAuTYTgH) and 3.0.3 (https://t.co/VUanvKsHZN) released! Download from https://t.co/2uwatL0kON,Apache Cassandra,cassandra,The Cassandra distributed database combines the replication model of Amazon's Dynamo with the data model of Google's Bigtable,Female
9,Apache #Cassandra 2.1.13 (https://t.co/otW4RI8HuB) and 2.2.5 (https://t.co/I3sgsB1Vfq) released! Download from https://t.co/2uwatLhWdn,Apache Cassandra,cassandra,The Cassandra distributed database combines the replication model of Amazon's Dynamo with the data model of Google's Bigtable,Female
10,Announcing the release of Apache #Cassandra 3.2! Download at https://t.co/2uwatL0kON. Details: https://t.co/11N2LEB1pv #nosql,Apache Cassandra,cassandra,The Cassandra distributed database combines the replication model of Amazon's Dynamo with the data model of Google's Bigtable,Female
