numberOfTweet,text,user name,screen name,description,gender
1,@realDonaldTrump please please go away.  Everyone hates you.,Charlie,charlie,"Co-founder of @blockfolioapp, recovering film producer, semi-pro app builder, amatuer videographer, and overall late-bloomer https://t.co/G7OiXNXk6P",Female
2,@realDonaldTrump #STFU,Charlie,charlie,"Co-founder of @blockfolioapp, recovering film producer, semi-pro app builder, amatuer videographer, and overall late-bloomer https://t.co/G7OiXNXk6P",female
3,@REALStaceyDash i don't understand why people believe donald trump can possibly make the situation better.  he is beyond unqualified.,Charlie,charlie,"Co-founder of @blockfolioapp, recovering film producer, semi-pro app builder, amatuer videographer, and overall late-bloomer https://t.co/G7OiXNXk6P",Female
4,@SpeakerRyan do something about it or #deleteyouraccount,Charlie,charlie,"Co-founder of @blockfolioapp, recovering film producer, semi-pro app builder, amatuer videographer, and overall late-bloomer https://t.co/G7OiXNXk6P",Female
5,@realDonaldTrump release your taxes you #FakeOrangeBillionaire,Charlie,charlie,"Co-founder of @blockfolioapp, recovering film producer, semi-pro app builder, amatuer videographer, and overall late-bloomer https://t.co/G7OiXNXk6P",Female
6,@RubberBlon @realDonaldTrump delete your accounts,Charlie,charlie,"Co-founder of @blockfolioapp, recovering film producer, semi-pro app builder, amatuer videographer, and overall late-bloomer https://t.co/G7OiXNXk6P",Female
7,"@realDonaldTrump it's always about you, you spineless slimebag #deleteyouraccount #releaseyourtaxes",Charlie,charlie,"Co-founder of @blockfolioapp, recovering film producer, semi-pro app builder, amatuer videographer, and overall late-bloomer https://t.co/G7OiXNXk6P",Female
8,@anmis @AnnCoulter delete your accounts,Charlie,charlie,"Co-founder of @blockfolioapp, recovering film producer, semi-pro app builder, amatuer videographer, and overall late-bloomer https://t.co/G7OiXNXk6P",Female
9,"@realDonaldTrump LMAO.  you'll still let @FoxNews in?  release your taxes, and delete your account #gasbag #taxdodger",Charlie,charlie,"Co-founder of @blockfolioapp, recovering film producer, semi-pro app builder, amatuer videographer, and overall late-bloomer https://t.co/G7OiXNXk6P",Female
10,@AnnCoulter delete your account,Charlie,charlie,"Co-founder of @blockfolioapp, recovering film producer, semi-pro app builder, amatuer videographer, and overall late-bloomer https://t.co/G7OiXNXk6P",Female
11,@AnnCoulter listened to him.  he's still a tax-evading gasbag,Charlie,charlie,"Co-founder of @blockfolioapp, recovering film producer, semi-pro app builder, amatuer videographer, and overall late-bloomer https://t.co/G7OiXNXk6P",Female
12,@realDonaldTrump delete your acccount,Charlie,charlie,"Co-founder of @blockfolioapp, recovering film producer, semi-pro app builder, amatuer videographer, and overall late-bloomer https://t.co/G7OiXNXk6P",Female
13,@REALStaceyDash delete your account,Charlie,charlie,"Co-founder of @blockfolioapp, recovering film producer, semi-pro app builder, amatuer videographer, and overall late-bloomer https://t.co/G7OiXNXk6P",Female
14,@realDonaldTrump you are the most disgusting human on this planet.  please die very soon.,Charlie,charlie,"Co-founder of @blockfolioapp, recovering film producer, semi-pro app builder, amatuer videographer, and overall late-bloomer https://t.co/G7OiXNXk6P",Female
15,@realDonaldTrump delete your account you tax-dodging gasbag,Charlie,charlie,"Co-founder of @blockfolioapp, recovering film producer, semi-pro app builder, amatuer videographer, and overall late-bloomer https://t.co/G7OiXNXk6P",Female
16,@khunyarose @lbgtPhoenix you're pro Trump but anti trophy hunting? ironic. PS - that @IbgtPhoenix account is fake. lbgt groups despise trump,Charlie,charlie,"Co-founder of @blockfolioapp, recovering film producer, semi-pro app builder, amatuer videographer, and overall late-bloomer https://t.co/G7OiXNXk6P",Female
17,@noahfcster will be a worldwide celebration.  i dream about it every day.,Charlie,charlie,"Co-founder of @blockfolioapp, recovering film producer, semi-pro app builder, amatuer videographer, and overall late-bloomer https://t.co/G7OiXNXk6P",Female
18,@illmagore you're my hero.,Charlie,charlie,"Co-founder of @blockfolioapp, recovering film producer, semi-pro app builder, amatuer videographer, and overall late-bloomer https://t.co/G7OiXNXk6P",Female
19,@realDonaldTrump the whole world hates you #gasbag #racist,Charlie,charlie,"Co-founder of @blockfolioapp, recovering film producer, semi-pro app builder, amatuer videographer, and overall late-bloomer https://t.co/G7OiXNXk6P",female
