numberOfTweet,text,user name,screen name,description,gender
1,"@xoxoabbyxoxox dude next to me at the show told me that when u smile u look ""sinister but hot. like she just killed a man &amp; could kill me""",ABG,clare,self-identified object,Female
2,where can i outsource my feelings,ABG,clare,self-identified object,female
3,@crystalleww salad restaurant ur first mistake,ABG,clare,self-identified object,Female
4,commuting is my hobby,ABG,clare,self-identified object,Female
5,sry but I just cannot respect u or ur hairline,ABG,clare,self-identified object,Female
6,is the dj economy too big to fail,ABG,clare,self-identified object,Female
7,"GO
Cute
And
Vulnerable
Sportsmen
‼️",ABG,clare,self-identified object,Female
8,if one more white person in all black approaches me I'm going to ash this cigarette all over them,ABG,clare,self-identified object,Female
9,feeling highly anxious about being outnumbered in chinatown,ABG,clare,self-identified object,Female
10,"have seen @huahsu more often in past month than my mom lol. v smart talk @aaww #ONFAILURE, a deeply relatable topic https://t.co/gDObWTZneN",ABG,clare,self-identified object,Female
11,"dude next to me just said he listens to jay-z ""to get in a business mood"" and self-identified as ""content creator"" lol appalling yet hot",ABG,clare,self-identified object,Female
12,can't wait to quit publishing so i can finally unfollow all these nerds on twitter without professional repercussion lol,ABG,clare,self-identified object,Female
13,asking which of 2 white dudes is hotter is like choosing between excel spreadsheets. idk both seem functional &amp; googleable,ABG,clare,self-identified object,Female
14,I have bush presidency daddy issues,ABG,clare,self-identified object,Female
15,@kanavjain monday kanav in the streets saturday kanav in the sheets,ABG,clare,self-identified object,Female
16,"@lrsphm me, duh",ABG,clare,self-identified object,Female
17,what's the point of a crush that doesn't ruin you,ABG,clare,self-identified object,Female
18,SOS SAVE ME FROM MYSELF !!,ABG,clare,self-identified object,Female
19,"""your driving makes me more nervous than your marriage prospects"" mom is savage lol",ABG,clare,self-identified object,female
20,bouncers the only men in new york I'm still trying to look respectable for,ABG,clare,self-identified object,female
21,@tdn_  I'd chill with donald,ABG,clare,self-identified object,female
22,need 2 chill 2 not feel alone,ABG,clare,self-identified object,female
23,@YungCostanza is this still true https://t.co/wK9UakIM1E,ABG,clare,self-identified object,Female
24,@kanavjain think u found ur answer to this tweet 🤔 https://t.co/SNDnZNuYEc,ABG,clare,self-identified object,Female
25,@yzplz 🙋🏻 https://t.co/Wgn25uOPYt,ABG,clare,self-identified object,Female
26,@kanavjain thank god for producer team quabby,ABG,clare,self-identified object,Female
27,i think i have an ok to good tweet about basketball but i have to wait for the cavs lose a few first,ABG,clare,self-identified object,Female
28,@kanavjain anticlimactic end to this season of friendship,ABG,clare,self-identified object,Female
29,"lol think I accidentally ate some moldy raw meat

I guess everyone's body is dying, mine's just getting creative",ABG,clare,self-identified object,Female
30,@amadilz u already kno i am!,ABG,clare,self-identified object,Female
31,have only checked crush's social media once today vs once every three hours last week. character development is sick,ABG,clare,self-identified object,Female
32,8am still pulling bobby pins out of my hair lol,ABG,clare,self-identified object,Female
33,"""my publisher told me middle-aged white women like books with 'love' in the title"" 🐼✨ https://t.co/CvUxlSI9uh",ABG,clare,self-identified object,Female
34,lol friends finally texting me back since the game is over,ABG,clare,self-identified object,Female
35,if u rly want to get to know me don't ask for my astrological sign just let me add u to my menstrual cycle calendar lol,ABG,clare,self-identified object,Female
36,if ur patient and kind in ur normal life the 2 train will come faster for u on the weekends,ABG,clare,self-identified object,Female
37,sun came out and I forgot how to tweet I don't have anything to complain about anymore!,ABG,clare,self-identified object,Female
38,made it to the beach ☀️🌊 https://t.co/ElWf4s56Ae,ABG,clare,self-identified object,Female
39,"@hannahurr so sorry for your loss, hanna. the love is super apparent in this video. thinking of you &lt;3",ABG,clare,self-identified object,Female
40,it's pretty amazing how every dude who wears a band of horses shirt looks like a dude who would wear a band of horses shirt,ABG,clare,self-identified object,Female
41,"the man on 5th ave wearing a trucker hat and ""got freedom?"" shirt while holding a vape is today's worst enemy lol",ABG,clare,self-identified object,Female
42,boiler room set &amp; chill,ABG,clare,self-identified object,Female
43,thought I was in love but I just wanted to be,ABG,clare,self-identified object,Female
44,@ischiofemoral probably happy together or days of being wild! u?,ABG,clare,self-identified object,Female
45,tony leung you handsomest motherfucker,ABG,clare,self-identified object,female
46,wong kar-wai is wearing sunglasses indoors and dropping some maggie cheung deep cuts https://t.co/OKddERwdzs,ABG,clare,self-identified object,Female
47,@turtlekiosk not sure!! does this work? https://t.co/VKZwMicwFv,ABG,clare,self-identified object,Female
48,@turtlekiosk yeah at moma!! https://t.co/CronVZGgyd,ABG,clare,self-identified object,Female
