numberOfTweet,text,user name,screen name,description,gender
1,Hey DC — my friend @liamdempsey is speaking about public speaking at @WordPressDC on 6/21. It's going to be awesome! https://t.co/aaaOoLiNBi,Clarissa Peterson,clarissa,"UX designer, web developer, writer, and speaker. Author of Learning Responsive Web Design (O'Reilly Media). Married to @AJKandy. Always having adventures.",Female
2,@ringmaster @liamdempsey It's for a brand-new EHR. I have questions about handling security/HIPAA when patients share email addresses.,Clarissa Peterson,clarissa,"UX designer, web developer, writer, and speaker. Author of Learning Responsive Web Design (O'Reilly Media). Married to @AJKandy. Always having adventures.",female
3,Does anyone have experience with user authentication/security for patient access to EHRs? I'd like to ask you a couple questions.,Clarissa Peterson,clarissa,"UX designer, web developer, writer, and speaker. Author of Learning Responsive Web Design (O'Reilly Media). Married to @AJKandy. Always having adventures.",Female
4,"@brad_frost I sent this to our security manager b/c I thought he would find it funny, but instead he decided we should use these questions.",Clarissa Peterson,clarissa,"UX designer, web developer, writer, and speaker. Author of Learning Responsive Web Design (O'Reilly Media). Married to @AJKandy. Always having adventures.",Female
5,Saw my first wild moose. #Canada https://t.co/bVGjhjI6CQ,Clarissa Peterson,clarissa,"UX designer, web developer, writer, and speaker. Author of Learning Responsive Web Design (O'Reilly Media). Married to @AJKandy. Always having adventures.",Female
6,"I'll be speaking at @CascadiaJS in Blaine, WA, this August. Final round of tickets &amp; lodging now available. https://t.co/FxmREuqpm9",Clarissa Peterson,clarissa,"UX designer, web developer, writer, and speaker. Author of Learning Responsive Web Design (O'Reilly Media). Married to @AJKandy. Always having adventures.",Female
7,"If increasing your font size makes the text not fit on the slide, then you have too much text on your slide.",Clarissa Peterson,clarissa,"UX designer, web developer, writer, and speaker. Author of Learning Responsive Web Design (O'Reilly Media). Married to @AJKandy. Always having adventures.",Female
8,Tip for anyone new to public speaking: use a large enough font size on your slides so people in the back of the room can read them.,Clarissa Peterson,clarissa,"UX designer, web developer, writer, and speaker. Author of Learning Responsive Web Design (O'Reilly Media). Married to @AJKandy. Always having adventures.",Female
9,"Great demo by @jaydorn, using Craft plugin for Sketch &amp; Photoshop to create style tiles. #wcyyc https://t.co/IJxT1uJhOk",Clarissa Peterson,clarissa,"UX designer, web developer, writer, and speaker. Author of Learning Responsive Web Design (O'Reilly Media). Married to @AJKandy. Always having adventures.",Female
10,Christina Varro's talk on tools for managing multiple WordPress sites is one of the most useful WordCamp talks I've ever been to. #wcyyc,Clarissa Peterson,clarissa,"UX designer, web developer, writer, and speaker. Author of Learning Responsive Web Design (O'Reilly Media). Married to @AJKandy. Always having adventures.",Female
11,"Hey Calgary, I'll be speaking at @wearecamp in September! Super Early Bird registration only $199. Students $99. https://t.co/YsybnW18RW",Clarissa Peterson,clarissa,"UX designer, web developer, writer, and speaker. Author of Learning Responsive Web Design (O'Reilly Media). Married to @AJKandy. Always having adventures.",Female
12,"@RedAcademy FYI this is showing up as a promoted tweet, but the event was a week ago. You should stop promoting it.",Clarissa Peterson,clarissa,"UX designer, web developer, writer, and speaker. Author of Learning Responsive Web Design (O'Reilly Media). Married to @AJKandy. Always having adventures.",Female
13,@MailChimp thanks!,Clarissa Peterson,clarissa,"UX designer, web developer, writer, and speaker. Author of Learning Responsive Web Design (O'Reilly Media). Married to @AJKandy. Always having adventures.",Female
14,@MailChimp Is there a way to force lists to reindex if search isn't working? It shows no results no matter what I search for.,Clarissa Peterson,clarissa,"UX designer, web developer, writer, and speaker. Author of Learning Responsive Web Design (O'Reilly Media). Married to @AJKandy. Always having adventures.",Female
15,@good_wally Congratulations!,Clarissa Peterson,clarissa,"UX designer, web developer, writer, and speaker. Author of Learning Responsive Web Design (O'Reilly Media). Married to @AJKandy. Always having adventures.",Female
16,"New keyboard app gives users access to characters in over 100 Indigenous languages from Canada, US, Australia, NZ. https://t.co/W8Djpcd55d",Clarissa Peterson,clarissa,"UX designer, web developer, writer, and speaker. Author of Learning Responsive Web Design (O'Reilly Media). Married to @AJKandy. Always having adventures.",Female
17,@vlh We always try to stay at Airbnbs that have dogs. I just miss when Airbnb used to have text search so you could find your favorite breed,Clarissa Peterson,clarissa,"UX designer, web developer, writer, and speaker. Author of Learning Responsive Web Design (O'Reilly Media). Married to @AJKandy. Always having adventures.",Female
18,"Dear @Uber_BXL, unsubscribing from an email list should be forever. Not, two years later you start sending me emails again.",Clarissa Peterson,clarissa,"UX designer, web developer, writer, and speaker. Author of Learning Responsive Web Design (O'Reilly Media). Married to @AJKandy. Always having adventures.",Female
19,"Tried to buy tickets online for @EMPmuseum, but you have to be able to print them. Am I supposed to bring a printer with me on vacation?",Clarissa Peterson,clarissa,"UX designer, web developer, writer, and speaker. Author of Learning Responsive Web Design (O'Reilly Media). Married to @AJKandy. Always having adventures.",female
20,"Hey Calgary, the company I work for is hiring. Looking for application developer, product mgr, technical writing, &amp; QA. DM me for details.",Clarissa Peterson,clarissa,"UX designer, web developer, writer, and speaker. Author of Learning Responsive Web Design (O'Reilly Media). Married to @AJKandy. Always having adventures.",female
21,"@flipzagging Who do I follow if I want to never, ever again hear anything about Trump?",Clarissa Peterson,clarissa,"UX designer, web developer, writer, and speaker. Author of Learning Responsive Web Design (O'Reilly Media). Married to @AJKandy. Always having adventures.",female
