numberOfTweet,text,user name,screen name,description,gender
1,"Brexit, Trump, AfD, Le Pen - to many a ""feel-good"" of the moment, but with devastating future consequences.",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
2,"So deeply impressed by all episodes of The Tim Ferriss Show podcast series. Stellar guests, in-depth conversations.",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
3,@bryce so far I haven't,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
4,@SteiJon 90%+ male speakers + ordering of escorts at a top tier tech conference as seen this week,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
5,"If Berlin wants to be serious about creating a thriving entrepreneurial ecosystem, conferences like NOAH must act with higher standards.",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
6,@Sam__Cash likewise!,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
7,Did you hear this? Resonant Body by @maggierogers_ https://t.co/fIvEB6ZCjt on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
8,Did you hear this? Anybody by @maggierogers_ https://t.co/3aSfLhCtpL on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
9,"@theophani @oberholz @me_owmix @ntljk congrats, Tiffany! I remember our first meeting on the roof top at Base. You're the best!",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
10,@bethanymarz @usv @_GlobalWIN premium name,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
11,"Is it me or do others think of funerals when reading 'public viewing', a term coined by Germans to describe watching a live event in public?",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
12,"Sometimes, the best art comes from a very dark place.",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
13,Time for a new job in marketing &amp; comms? Come help us shape @SoundCloud's message https://t.co/IcyFSd65K9,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
14,@crucialfelix let's start with this: https://t.co/jsd4WAPsVm,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
15,@gregyo yes I saw that at the time,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
16,"@JKalifowitz yes, in a way. This petition is a good start https://t.co/jsd4WAPsVm",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
17,"If you live in Berlin and support cycling, sign this petition which includes big and bold goals https://t.co/jsd4WAPsVm",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
18,"@maxniederhofer that's the starting point, fully agree.",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
19,Why a city (like Berlin) would not go big and bold on infrastructure and security for cyclists is beyond me.,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
20,"@james__welch depends on topic, no?",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
21,"Thrilled that @mmeckel, Chief Editor of @wiwo, agreed to be our guest for Edition Twelve of @rolemodels. Tickets: https://t.co/d1ENACjtje",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
22,"'Fireside chats' are the format du jour. Rightly so, prefer them ten times over panels with too many panelists.",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
23,@jerrycolonna @RebootHQ so want to be there.... !,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
24,Did you hear this? Something More Than Free by Southeastern Records https://t.co/A93J2ZyWKJ on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
25,@berlinfy you can find some good research &amp; trends here https://t.co/JfkYJXFGyo,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
26,@berlinfy what's 21st century thinking?,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
