numberOfTweet,text,user name,screen name,description,gender
1,แน่ใจนะว่าวันเดียว #yellohousefilms @ โรงถ่าย แอ็กซ์ สตูดิโอ @ ปทุมธานี https://t.co/fgQH5EuYts,Chong W.,december,,Female
2,Insert ไฟแบบนี้ ท่านว่ากำลังฮิต #grandmusik #gvillage @ G Village Bangkok https://t.co/lr6kJHkP8X,Chong W.,december,,female
3,Monday Mornin' @ อุทยานมกุฎรมยสราญ https://t.co/dwI85xgRM6,Chong W.,december,,Female
4,"Eventhough I'll be here for just a while, I'll try my best to satisfy ya all.",Chong W.,december,,Female
5,@Oodwa @NizzyOG I'm on Twitter.,Chong W.,december,,Female
6,I'll be back!,Chong W.,december,,Female
7,My Twitter Account is worth $61.20 as of today. See what your Tweets are worth at http://t.co/d48XAQQnA8 and WIN!,Chong W.,december,,Female
8,My Twitter Account is worth $61.20 today. See what yours is worth at http://t.co/d48XAQQnA8 and Enter to WIN!,Chong W.,december,,Female
9,"Wow, my Twitter Account is worth $61.20 as of today. See what your Tweets are worth at http://t.co/d48XAQQnA8 for FREE!",Chong W.,december,,Female
10,"Wow, my Twitter Account is worth $61.20 as of today. See what your Tweets are worth at http://t.co/d48XAQQnA8 for FREE!",Chong W.,december,,Female
11,"Wow, my Twitter Account is worth $60.60 as of today. See what your Tweets are worth at http://t.co/d48XAQQnA8 for FREE!",Chong W.,december,,Female
12,"Wow, my Twitter Account is worth $60.60 as of today. See what your Tweets are worth at http://t.co/d48XAQQnA8 for FREE!",Chong W.,december,,Female
13,"Wow, my Twitter Account is worth $60.60 as of today. See what your Tweets are worth at http://t.co/d48XAQQnA8 for FREE!",Chong W.,december,,Female
14,"Wow, my Twitter Account is worth $60.60 as of today. See what your Tweets are worth at http://t.co/d48XAQQnA8 for FREE!",Chong W.,december,,Female
15,"Wow, my Twitter Account is worth $60.60 as of today. See what your Tweets are worth at http://t.co/d48XAQQnA8 for FREE!",Chong W.,december,,Female
16,"Wow, my Twitter Account is worth $60.60 as of today. See what your Tweets are worth at http://t.co/d48XAQQnA8 for FREE!",Chong W.,december,,Female
17,"Wow, my Twitter Account is worth $60.60 as of today. See what your Tweets are worth at http://t.co/d48XAQQnA8 for FREE!",Chong W.,december,,Female
18,"Wow, my Twitter Account is worth $60.60 as of today. See what your Tweets are worth at http://t.co/d48XAQQnA8 for FREE!",Chong W.,december,,Female
19,"Wow, my Twitter Account is worth $60.60 as of today. See what your Tweets are worth at http://t.co/d48XAQQnA8 for FREE!",Chong W.,december,,female
20,"Wow, my Twitter Account is worth $60.60 as of today. See what your Tweets are worth at http://t.co/d48XAQQnA8 for FREE!",Chong W.,december,,female
21,"Wow, my Twitter Account is worth $60.60 as of today. See what your Tweets are worth at http://t.co/d48XAQQnA8 for FREE!",Chong W.,december,,female
22,"Wow, my Twitter Account is worth $60.60 as of today. See what your Tweets are worth at http://t.co/d48XAQQnA8 for FREE!",Chong W.,december,,female
23,"Wow, my Twitter Account is worth $60.60 as of today. See what your Tweets are worth at http://t.co/d48XAQQnA8 for FREE!",Chong W.,december,,Female
24,"Wow, my Twitter Account is worth $60.60 as of today. See what your Tweets are worth at http://t.co/d48XAQQnA8 for FREE!",Chong W.,december,,Female
25,My Twitter Account is worth $60.60 as of today. Find out what yours is worth for free at http://t.co/d48XAQQnA8 #RT #followme,Chong W.,december,,Female
26,My Twitter Account is worth $60.60 as of today. Find out what yours is worth for free at http://t.co/d48XAQQnA8 #RT #followme,Chong W.,december,,Female
27,My Twitter Account is worth $60.60 as of today. Find out what yours is worth for free at http://t.co/d48XAQQnA8 #RT #followme,Chong W.,december,,Female
28,My Twitter Account is worth $61.20 as of today. Find out what yours is worth for free at http://t.co/d48XAQQnA8 #RT #followme,Chong W.,december,,Female
29,My Twitter Account is worth $61.80 as of today. Find out what yours is worth for free at http://t.co/d48XAQQnA8 #RT #followme,Chong W.,december,,Female
30,My Twitter Account is worth $61.80 as of today. Find out what yours is worth for free at http://t.co/d48XAQQnA8 #RT #followme,Chong W.,december,,Female
31,My Twitter Account is worth $61.80 as of today. Find out what yours is worth for free at http://t.co/d48XAQQnA8 #RT #followme,Chong W.,december,,Female
32,My Twitter Account is worth $61.80 as of today. Find out what yours is worth for free at http://t.co/d48XAQQnA8 #RT #followme,Chong W.,december,,Female
33,My Twitter Account is worth $61.80 as of today. Find out what yours is worth for free at http://t.co/d48XAQQnA8 #RT #followme,Chong W.,december,,Female
34,My Twitter Account is worth $61.80 as of today. Find out what yours is worth for free at http://t.co/d48XAQQnA8 #RT #followme,Chong W.,december,,Female
35,My Twitter Account is worth $61.80 as of today. Find out what yours is worth for free at http://t.co/d48XAQQnA8 #RT #followme,Chong W.,december,,Female
36,My Twitter Account is worth $61.80 as of today. Find out what yours is worth for free at http://t.co/d48XAQQnA8 #RT #followme,Chong W.,december,,Female
37,My Twitter Account is worth $61.80 as of today. Find out what yours is worth for free at http://t.co/d48XAQQnA8 #RT #followme,Chong W.,december,,Female
38,My Twitter Account is worth $61.80 as of today. Find out what yours is worth for free at http://t.co/d48XAQQnA8 #RT #followme,Chong W.,december,,Female
39,My Twitter Account is worth $61.80 as of today. Find out what yours is worth for free at http://t.co/d48XAQQnA8 #RT #followme,Chong W.,december,,Female
40,My Twitter Account is worth $61.20 as of today. Find out what yours is worth for free at http://t.co/d48XAQQnA8 #RT #followme,Chong W.,december,,Female
41,My Twitter Account is worth $61.20 as of today. Find out what yours is worth for free at http://t.co/d48XAQQnA8 #RT #followme,Chong W.,december,,Female
42,My Twitter Account is worth $61.20 as of today. Find out what yours is worth for free at http://t.co/d48XAQQnA8 #RT #followme,Chong W.,december,,Female
43,My Twitter Account is worth $61.20 as of today. Find out what yours is worth for free at http://t.co/d48XAQQnA8 #RT #followme,Chong W.,december,,Female
44,My Twitter Account is worth $61.20 as of today. Find out what yours is worth for free at http://t.co/d48XAQQnA8 #RT #followme,Chong W.,december,,Female
45,@embarkobject yes I am.,Chong W.,december,,female
46,"ฝาก link งานหน่อยครับ ""นายเย็นชากับนางฟ้าตกสวรรค์"" http://t.co/L4TqNONi1V miniseries ล่าสุด #ToppDogg #Toppdoggth_ #nakta",Chong W.,december,,Female
47,"@JeanThomasJobin @kelleywentworth Yup, I'm existed and Hello there!",Chong W.,december,,Female
48,"@otrazarry @zialum HI there, both of you!",Chong W.,december,,Female
49,@nuishow อะได้ๆ ว่างๆคุยกัน หายเร็วๆเน่อ ไปทำงานก่อนละ,Chong W.,december,,Female
50,@nuishow นานๆมาที สบายดีจ้า หวังว่าคงสบายดีเช่นกัน,Chong W.,december,,Female
51,@nuishow เสี่ยค้าบ ลองดูนี่ http://t.co/9JFfEo2gVi,Chong W.,december,,Female
52,@thecomedycow thanks for worrying. I'm fine!,Chong W.,december,,Female
53,@swaging4life HBD!,Chong W.,december,,Female
54,@Ionescualina3 oh hi!,Chong W.,december,,Female
55,@ajahxo cheer up. This is the greatest month in our lifetime. :),Chong W.,december,,Female
56,@ajahxo why?,Chong W.,december,,Female
57,พอมีคนพูดถึง @december เยอะๆเลยชักอยากมาเขียน,Chong W.,december,,Female
58,ช่วงนี่ทวิตเตอร์เตือนตลอดเวลา เพราะมีแต่ฝรั่งเขาเรียกหา Hurry Up @december,Chong W.,december,,Female
59,น่านไง เมื่อวานลืมจนได้,Chong W.,december,,Female
60,อันเนื่องมาจากว่าเดือนนี้ เป็นเดือนเดียวกับชื่อทวิตผม เลยตั้งใจว่า จะทวิตทั้งเดือน ลองดู,Chong W.,december,,Female
61,ถึงวันนี้ก็ยังมีคนพยายามแฮกทวิตเตอร์ผมอยู่เรื่อยๆแฮะ,Chong W.,december,,Female
62,ช่วงนี้เข้า twitter บ่อยกว่า facebook แบบจงใจ,Chong W.,december,,Female
63,mmm...,Chong W.,december,,female
64,กลับมาหานกฟ้าอีกครั้ง หลังจากไม่ได้เข้าเวปนี้มาครึ่งปี,Chong W.,december,,Female
65,คือกรุงเทพเค้าแก้ปัญหาไม่ดี หรือฝนตกมากเกินไปน้ำจึงท่วม เป็นสิ่งที่ผมไม่แน่ใจ,Chong W.,december,,Female
66,RT @ripmilla: ถ้าเปิดร้านโคโยตี้ โพนยางคำ จะมีคนมากินไม๊นะ//ยากนะโก๋ เพราะหน้ามันทั้งคนกินคนเต้น,Chong W.,december,,Female
67,วันนี้คุณฝนมาเร็วกว่าเวลานัดนะครับ เพิ่งบ่ายสามเอง และผมยังไปไม่ถึงไหนเลย สงสัยจะอยู่บนถนนอีกนาน,Chong W.,december,,Female
