numberOfTweet,text,user name,screen name,description,gender
1,Everything croissant is my everything (food-wise). @ Neighbor Bakehouse https://t.co/r28uV9rL6D,Erika NJ,erika,Well-mannered frivolity.,Female
2,Sister cocktails! @ Sessions at the Presidio https://t.co/afQSoNCyQ4,Erika NJ,erika,Well-mannered frivolity.,female
3,"Get out and vote, fellow Californians! #imwithher🇺🇸 https://t.co/uSEAYNhzDp",Erika NJ,erika,Well-mannered frivolity.,Female
4,Kicking off Pride month at @Collectvhealth with some pretty amazing presentations #CHsoproud @… https://t.co/tZ2uTJ8IfC,Erika NJ,erika,Well-mannered frivolity.,Female
5,@Postmates_Help done,Erika NJ,erika,Well-mannered frivolity.,Female
6,There is nothing like ordering @postmates to make you remember why you don't use Postmates.,Erika NJ,erika,Well-mannered frivolity.,Female
7,@AndreaElliott5 @rhbh wrong Erika,Erika NJ,erika,Well-mannered frivolity.,Female
8,@ksw1236 thankfully no! Not even sure if anything was stolen yet- will find out when I get home. 😞,Erika NJ,erika,Well-mannered frivolity.,Female
9,Kicking myself for forgetting to use @Doorman for this delivery.,Erika NJ,erika,Well-mannered frivolity.,Female
10,"@ceedub @UPS yup! Or: ""signature required"" was just a neighborhood specific alert-you can sign ahead of time, but they leave it either way.",Erika NJ,erika,Well-mannered frivolity.,Female
11,".@UPS: Your package requires a signature for delivery Me: Great! That way it won't be left if I am not home. UPS: Nah, we left it.",Erika NJ,erika,Well-mannered frivolity.,Female
12,When peonies bloom overnight @ Mullen St. https://t.co/rV8sgloRTJ,Erika NJ,erika,Well-mannered frivolity.,Female
13,The ever-delightful @mindykaling in the pantsuit of my dreams at the #826Valencia Bookeaters'… https://t.co/DzaqjFU0cU,Erika NJ,erika,Well-mannered frivolity.,Female
14,😂 https://t.co/MuqiFTtcsO,Erika NJ,erika,Well-mannered frivolity.,Female
15,"@getwedo thanks, but I just got one from a friend :)",Erika NJ,erika,Well-mannered frivolity.,Female
16,Anyone have a invite code they can share?  @getWeDo! #WeDo is a beautiful and new way to get things done.,Erika NJ,erika,Well-mannered frivolity.,Female
17,"Happy Quatro de Cinco! We are celebrating my mom's dog's quienceanera. The NJ family is odd, but… https://t.co/BnEz8oNyEl",Erika NJ,erika,Well-mannered frivolity.,Female
18,@tedr ugh. It is the worst! I wouldn't say I am a pro at it- drives me nuts when I can't open older emails because they have expired.,Erika NJ,erika,Well-mannered frivolity.,Female
19,Dancing and twirling at Maifest @ Oakland Nature Friends https://t.co/EyBaBw3Rla,Erika NJ,erika,Well-mannered frivolity.,female
20,Happy birthday to this hot guy! @ Oakland Nature Friends https://t.co/69MPF8JEoD,Erika NJ,erika,Well-mannered frivolity.,female
21,Jordan and Will in their fauxhosen! https://t.co/HfzBTkCjvv,Erika NJ,erika,Well-mannered frivolity.,female
22,Surprised Jordan with birthday bagels from Russ &amp; Daughters! https://t.co/CSB3xaTvrY,Erika NJ,erika,Well-mannered frivolity.,female
23,A fairytale wedding! These two are the sweetest. #mairyland @ Children’s Fairyland https://t.co/EXeXLKqGnY,Erika NJ,erika,Well-mannered frivolity.,Female
24,Fairyland brings out the child in all of us. @ Children’s Fairyland https://t.co/yTI97e2jQM,Erika NJ,erika,Well-mannered frivolity.,Female
25,Fairyland brings out the chance in all of us. @ Children’s Fairyland https://t.co/ffW27LKhOz,Erika NJ,erika,Well-mannered frivolity.,Female
26,GOATS! @ Bay Natives Nursery https://t.co/7RzJTPls4F,Erika NJ,erika,Well-mannered frivolity.,Female
27,Dat butt. https://t.co/FbyOlXQUJI,Erika NJ,erika,Well-mannered frivolity.,Female
28,Making the fiercest of flower crowns at laurelhopkins birthday! 🌸🌺🌸🌻 @ Mosswood Recreation Center https://t.co/r0VetiLJP3,Erika NJ,erika,Well-mannered frivolity.,Female
29,Happy Birthday Cooper!! 🎂🎁🎉 https://t.co/QSs6QWNlBU,Erika NJ,erika,Well-mannered frivolity.,Female
30,No better way to start a Monday morning meeting @collectvhealth than with KNIFE JUGGLING! @… https://t.co/GnYeaDMeTK,Erika NJ,erika,Well-mannered frivolity.,Female
31,At the WOMEN exhibit @ The Presidio's Crissy Field https://t.co/c6EmQEQ2yd,Erika NJ,erika,Well-mannered frivolity.,Female
32,Watching the surfers @ Mori Point https://t.co/yv48PHcZoU,Erika NJ,erika,Well-mannered frivolity.,Female
33,Date night @ Mr. Tipple's Recording Studio https://t.co/kh0qlgOpw3,Erika NJ,erika,Well-mannered frivolity.,Female
34,Starfruit margaritas for happy hour by the @collectvhealth Starfruit Squad! @ Collective Health https://t.co/JJVcluXhB9,Erika NJ,erika,Well-mannered frivolity.,Female
35,@alicetiara I thought it was a joke when I first saw the trailer.,Erika NJ,erika,Well-mannered frivolity.,Female
36,"Waking up with another headache, this time with the ""Animaniacs"" theme song stuck in my head. #why #wheredidIgowrong",Erika NJ,erika,Well-mannered frivolity.,Female
37,"Sunset &amp; cocktails. @ Cliff House, San Francisco https://t.co/tsEbqKvPKM",Erika NJ,erika,Well-mannered frivolity.,Female
38,Found this pretty photo of my mom and it reminded me of a photo I have of myself💗🌺 https://t.co/rhCPLkggM0,Erika NJ,erika,Well-mannered frivolity.,Female
39,@jasonryanphotog thank ya!,Erika NJ,erika,Well-mannered frivolity.,Female
40,@jasonryanphotog dude. Tag the right person.,Erika NJ,erika,Well-mannered frivolity.,Female
41,"@nelz9999 ok, I deserved that 😜",Erika NJ,erika,Well-mannered frivolity.,Female
42,"@nelz9999 or a ""beeting""? #veggiejokes",Erika NJ,erika,Well-mannered frivolity.,Female
43,Does your company bring in a petting zoo for happy hour? @collectvhealth does! @ Collective Health https://t.co/U6ajUdiBjA,Erika NJ,erika,Well-mannered frivolity.,Female
44,I work with some truly depraved people 😂 @ Collective Health https://t.co/GDqWxLokL3,Erika NJ,erika,Well-mannered frivolity.,Female
45,"Welcome to the family, Model X! @ Tesla Motors Palo Alto https://t.co/wuRzODKi0A",Erika NJ,erika,Well-mannered frivolity.,female
46,Domestic goddess greets her Easter guests 🐰🍾 #brunchtastic https://t.co/IpXQr9w52t,Erika NJ,erika,Well-mannered frivolity.,Female
47,"Nothing says ""bougie brunch"" like a @craftsmanwolves carrot cake with mini macaron 🐰💐 https://t.co/BM8xVF4UBl",Erika NJ,erika,Well-mannered frivolity.,Female
48,"When you are rolling out pastry dough and ""Rollout"" by Ludacris comes on 😂",Erika NJ,erika,Well-mannered frivolity.,Female
49,@ericlin @acarboni I had this exact same conversation with myself in my head during that scene.,Erika NJ,erika,Well-mannered frivolity.,Female
50,"""I know, right?? Have a drink, bear."" @ Tahoe Donner https://t.co/5VLrbI6RV2",Erika NJ,erika,Well-mannered frivolity.,Female
51,@Veronica *snort*,Erika NJ,erika,Well-mannered frivolity.,Female
52,"@LFFriedman It would be awesome if I had written that, but I didn't. Might want to give the right person on twitter their due.",Erika NJ,erika,Well-mannered frivolity.,Female
53,Hazel is rocking my old scarf like the #badbitch she is. https://t.co/CSbDnDziNM,Erika NJ,erika,Well-mannered frivolity.,Female
54,"@Veronica I never though that when the void looked back, it would looks so cute!!",Erika NJ,erika,Well-mannered frivolity.,Female
55,"This week's headlines: Big moves for behavioral health, 20M could lose health coverage and “Uber-like” innovation. https://t.co/sKDRSF9bUR",Erika NJ,erika,Well-mannered frivolity.,Female
56,"@LauraGlu @ShannnonB @caremjo @jenniffurr @geriayn @dutchashell @zenguin @aprilini Truly touched to be honored by a badass, such as you",Erika NJ,erika,Well-mannered frivolity.,Female
57,princess_deeders and I share a champagne toast for International Women's Day! #PledgeforParity… https://t.co/yXlGxjdeNq,Erika NJ,erika,Well-mannered frivolity.,Female
58,The perfect rainy day lunch. @ Swan Oyster Depot SF https://t.co/3LCqaV1f9m,Erika NJ,erika,Well-mannered frivolity.,Female
59,“Numbers are numbing. People quickly feel that once something is counted…” — @girlziplocked https://t.co/xt1JhOpoyR https://t.co/S1ipUs4JJf,Erika NJ,erika,Well-mannered frivolity.,Female
60,LEO!!!! #Oscars,Erika NJ,erika,Well-mannered frivolity.,Female
61,@thedailybeast why does the link to this article keep opening up App Store pop ups? Awful.,Erika NJ,erika,Well-mannered frivolity.,Female
62,"I really hope Lady Gaga and Joe Biden are friends. Like, they just chill and get coffee together.",Erika NJ,erika,Well-mannered frivolity.,Female
63,"Oh Joe, I will miss you. #ItsOnUs",Erika NJ,erika,Well-mannered frivolity.,female
64,@billyeichner do it!,Erika NJ,erika,Well-mannered frivolity.,Female
65,Did I go overboard at the @mmlafleur pop up? Nah. @ Clift Hotel https://t.co/w8ozKoRH3g,Erika NJ,erika,Well-mannered frivolity.,Female
66,"@alicetiara it felt like a lot of belt loops, which I am not loving",Erika NJ,erika,Well-mannered frivolity.,Female
67,@ericlin @SpaceX 😞,Erika NJ,erika,Well-mannered frivolity.,Female
68,Eddie Redmayne is just so adorable. #Oscars,Erika NJ,erika,Well-mannered frivolity.,female
69,@alicetiara agreed :/,Erika NJ,erika,Well-mannered frivolity.,female
70,"Delicious dinner, delightful company. @ jū-ni https://t.co/R8ULvgWUk5",Erika NJ,erika,Well-mannered frivolity.,female
71,"This week’s headlines: Apps track eating habits, the need for more regulatory oversight and data empowers employers https://t.co/secAQepolp",Erika NJ,erika,Well-mannered frivolity.,female
72,"Couldn't make it to the meetup tonight, but now I am home, silently reading in solidarity with… https://t.co/38nLK32aly",Erika NJ,erika,Well-mannered frivolity.,female
73,"Heading home to start my new job, but thinking of the hot springs we went to last night. #dreamy… https://t.co/N4XBpCyHCS",Erika NJ,erika,Well-mannered frivolity.,female
