numberOfTweet,text,user name,screen name,description,gender
1,Congrats to @macosken on Apple finally honoring you with the OS name change. ;),giovanni,giovanni,award-winning search + social media + photo + video,Female
2,Where to watch the live stream for today's Apple WWDC keynote - TechCrunch https://t.co/JPlZ5QbWw6 by @romaindillet,giovanni,giovanni,award-winning search + social media + photo + video,female
3,AdWords' new extra headline: 7 ways to make the most of it https://t.co/nPXdmTmOSU,giovanni,giovanni,award-winning search + social media + photo + video,Female
4,10 of the best virtual reality apps for your smartphone https://t.co/GiakMAEye6,giovanni,giovanni,award-winning search + social media + photo + video,Female
5,"Facebook Deleting Photos: If You Don’t Download Another App, It May Happen To You https://t.co/LwutcMhOhQ",giovanni,giovanni,award-winning search + social media + photo + video,Female
6,Now @Facebook is Forcing Users to Install Moments App to Retain Synced Photos. When are y'all gonna learn? https://t.co/lWrSFwKds4,giovanni,giovanni,award-winning search + social media + photo + video,Female
7,LIT @GraceGallucci @sadierob,giovanni,giovanni,award-winning search + social media + photo + video,Female
8,"@MrMarkZamora While there has been talk of @twitter implementing a similar filtering system on feeds, they have not implemented one *yet*",giovanni,giovanni,award-winning search + social media + photo + video,Female
9,"Blog - photography + social media for music, sports, tech, tv, &amp; events (06/06/2016) - https://t.co/pWdfsA5LI0",giovanni,giovanni,award-winning search + social media + photo + video,Female
10,Goodbye Instagram  https://t.co/udOKEVDz73,giovanni,giovanni,award-winning search + social media + photo + video,Female
11,I'm not wigging out but I am leaving #Instagram - read my last IG post at https://t.co/QmlhNo3uZ7 https://t.co/1OizUB58Ze,giovanni,giovanni,award-winning search + social media + photo + video,Female
12,Keep #instagram #chornological - Sign the petition! https://t.co/PdN3KXcSuD,giovanni,giovanni,award-winning search + social media + photo + video,Female
13,"Since @facebook INSISTS on driving @instagram into the ground with its new algorithm, where do we post our photos now? @flickr anyone?",giovanni,giovanni,award-winning search + social media + photo + video,Female
14,Livin' the @Drobo Life - And what do I do in response? I keep coming back for more pain… #drobo @therealdrobo https://t.co/Hb6OoGPP6X,giovanni,giovanni,award-winning search + social media + photo + video,Female
15,@JonathanSwinnea surely we'll bump into each other.,giovanni,giovanni,award-winning search + social media + photo + video,Female
16,#Lollapalooza planning commences. https://t.co/JGcd8hfYAX,giovanni,giovanni,award-winning search + social media + photo + video,Female
17,#davidguetta https://t.co/lmX5IVO5HS,giovanni,giovanni,award-winning search + social media + photo + video,Female
18,Let's go to #luckenbach #texas https://t.co/q5IIpNGIbZ,giovanni,giovanni,award-winning search + social media + photo + video,Female
19,#michaelirvin #dallascowboys https://t.co/fyrSvXj5Gk,giovanni,giovanni,award-winning search + social media + photo + video,female
20,#dubai https://t.co/XLbyYlnoK4,giovanni,giovanni,award-winning search + social media + photo + video,female
21,tiny #dallas from the tiny margaret hunt-hill bridge. https://t.co/GhrKz4wEdj,giovanni,giovanni,award-winning search + social media + photo + video,female
22,Thank you. #memorialday https://t.co/QFmX9jgYvB,giovanni,giovanni,award-winning search + social media + photo + video,female
23,https://t.co/2deNtGZa9e,giovanni,giovanni,award-winning search + social media + photo + video,Female
24,https://t.co/oDM6q2a4un,giovanni,giovanni,award-winning search + social media + photo + video,Female
25,@YoungbloodJoe you're going to have fun with that.,giovanni,giovanni,award-winning search + social media + photo + video,Female
26,Where are the Fashion Justice Warriors @nero? Why isn't anyone talking about the fanny pack from the @DePaulU incident? #FJW,giovanni,giovanni,award-winning search + social media + photo + video,Female
27,Advice Local Names Search Engine Optimization Expert Bill Hartzer as Senior VP of Agency Services https://t.co/AVC85DI9jF,giovanni,giovanni,award-winning search + social media + photo + video,Female
28,Initial Batch From Tech Wildcatters' 'Gauntlet' To Make Pitches Thursday - Dallas Innovates https://t.co/UcgnN8Lxyp,giovanni,giovanni,award-winning search + social media + photo + video,Female
29,"Pebble's Best Gadget Isn't a Watch-It's the Core, a Tiny Spotify Player - WIRED https://t.co/tbb7ZsUSJN",giovanni,giovanni,award-winning search + social media + photo + video,Female
30,Vice's Shane Smith: 'Expect a bloodbath' in media within the next year' - Digiday https://t.co/p1lOhJutVj via @nuzzel thanks @K_Schallhorn,giovanni,giovanni,award-winning search + social media + photo + video,Female
31,@iivo you were correct - rhetorical :),giovanni,giovanni,award-winning search + social media + photo + video,Female
32,Why are the pictures square when the lens is round?,giovanni,giovanni,award-winning search + social media + photo + video,Female
33,I deleted my @facebook acct over a year ago because of stuff like this. They can't help themselves. @LSSTexas @Lauren_Southern,giovanni,giovanni,award-winning search + social media + photo + video,Female
34,@YoungbloodJoe yes - you're the only one who gets that...,giovanni,giovanni,award-winning search + social media + photo + video,Female
35,It's mostly hype @KenziJaye - @audreygallucci @GraceGallucci,giovanni,giovanni,award-winning search + social media + photo + video,Female
36,Twitter to Stop Counting Photos and Links in 140-Character Limit - https://t.co/QheBmjVTTg https://t.co/H51zgKVZWz,giovanni,giovanni,award-winning search + social media + photo + video,Female
37,.@TSA will kill regional routes. Show up 2-3 hours early for a 1-2 flight - makes no sense to fly timewise or $$-wise. #IHateTheWait #Drive,giovanni,giovanni,award-winning search + social media + photo + video,Female
38,@RyneLanders thanks for the offer Ryne. I'll be showing some content on Samsung Gear VR and iOS.,giovanni,giovanni,award-winning search + social media + photo + video,Female
39,My favorite memory from the #Fine29 happens in the future when my FIOS is reconnected after being OOS since Sunday. @FrontierCorp,giovanni,giovanni,award-winning search + social media + photo + video,Female
40,Who has 2 thumbs &amp; no internet svc since Sunday now that @FrontierCorp took over my @verizonfios acct? This guy... https://t.co/OnGPHxLn8m,giovanni,giovanni,award-winning search + social media + photo + video,Female
41,"I will present ""10 #VR Marketing Strategies You Can Implement NOW!"" on 5/19 in Dallas at the @sm_dallas monthly mee… https://t.co/mBGsx8cvZY",giovanni,giovanni,award-winning search + social media + photo + video,Female
42,10 #VR Marketing Strategies You Can Implement NOW! 5/19 Dallas @sm_dallas #smdallas https://t.co/Ulo9fQF133 #pubcon https://t.co/NRKdaB70Pl,giovanni,giovanni,award-winning search + social media + photo + video,Female
43,@DianneRRTX @Pubcon *blushing*,giovanni,giovanni,award-winning search + social media + photo + video,Female
44,.@paigeeagles Do NOT try and be all things to all people. Focus on one subject area on one network that targets one type of consumer.,giovanni,giovanni,award-winning search + social media + photo + video,Female
45,.@paigeeagles Figure out what's important to your fans and create content around that subject on the ONE network they frequent most.,giovanni,giovanni,award-winning search + social media + photo + video,female
46,@jenningsc absolutely. I will just wait outside until we get another lightning strike. Easy-peasy.,giovanni,giovanni,award-winning search + social media + photo + video,Female
