numberOfTweet,text,user name,screen name,description,gender
1,@HeidanusPaul @claudiadebreij,hap Hans Dirkzwager,hap,Passionate about learning as an enabler for change,Female
2,Marc+My+Words:+Why+I+Hate+LMSs+by+Marc+Rosenberg+:+Learning+Solutions+Magazine http://t.co/b0n7M6V7If,hap Hans Dirkzwager,hap,Passionate about learning as an enabler for change,female
3,@ABNAMRO is het probleem opgelost?,hap Hans Dirkzwager,hap,Passionate about learning as an enabler for change,Female
4,@ABNAMRO en eh... Wanneer is later?,hap Hans Dirkzwager,hap,Passionate about learning as an enabler for change,Female
5,"@ABNAMRO en als je via ideal betaald hebt en alle codes ingevoerd, wordt het dan alsnog later uitgevoerd?",hap Hans Dirkzwager,hap,Passionate about learning as an enabler for change,Female
6,"@LianEnax Belle is later, ik ben er rond 10 uur",hap Hans Dirkzwager,hap,Passionate about learning as an enabler for change,Female
7,#OEB12 big data but how about privacy?,hap Hans Dirkzwager,hap,Passionate about learning as an enabler for change,Female
8,@Kus_Annabel en de makers http://t.co/knbtZGWl,hap Hans Dirkzwager,hap,Passionate about learning as an enabler for change,Female
9,@Kus_Annabel 21.25,hap Hans Dirkzwager,hap,Passionate about learning as an enabler for change,Female
10,"@dingdong252 wij houden van pokemon en jou, ga je nog bellen?",hap Hans Dirkzwager,hap,Passionate about learning as an enabler for change,Female
11,@dingdong252 met Balou is alles goed. Goed te horen dat jullie het fijn hebben. Tot bels,hap Hans Dirkzwager,hap,Passionate about learning as an enabler for change,Female
12,Looking forward to the first #mirrorip advisory board meeting in 20 minutes,hap Hans Dirkzwager,hap,Passionate about learning as an enabler for change,Female
13,@dingdong252 je moeder en ik zouden het helemaal niet erg vinden als je de zooi van de tafel opruimt ;-),hap Hans Dirkzwager,hap,Passionate about learning as an enabler for change,Female
14,@khanyisuperstar ok? Gehaktschotel met broccoli,hap Hans Dirkzwager,hap,Passionate about learning as an enabler for change,Female
15,@khanyisuperstar oeps dingdong252 bedoel ik,hap Hans Dirkzwager,hap,Passionate about learning as an enabler for change,Female
16,@khanyisuperstar je moet dingdong353 hebben,hap Hans Dirkzwager,hap,Passionate about learning as an enabler for change,Female
17,@khanyisuperstar had je eerder moeten gaan slapen ? ;-),hap Hans Dirkzwager,hap,Passionate about learning as an enabler for change,Female
18,What’s the real ROI of learning?  http://t.co/LotY9zJf via @AddThis,hap Hans Dirkzwager,hap,Passionate about learning as an enabler for change,Female
19,En hij is geweldig!,hap Hans Dirkzwager,hap,Passionate about learning as an enabler for change,female
20,I have my iPad:-),hap Hans Dirkzwager,hap,Passionate about learning as an enabler for change,female
21,@meerpaal_groep8 http://twitpic.com/51i2ga - slaapzaal?,hap Hans Dirkzwager,hap,Passionate about learning as an enabler for change,female
22,I am working on a simple Moodle site for collaborative learning,hap Hans Dirkzwager,hap,Passionate about learning as an enabler for change,female
23,I am reviewing some docuemnts for a EU funded project around education,hap Hans Dirkzwager,hap,Passionate about learning as an enabler for change,Female
24,"I have seen enough, might come back later.",hap Hans Dirkzwager,hap,Passionate about learning as an enabler for change,Female
25,i am exploring twitter for education,hap Hans Dirkzwager,hap,Passionate about learning as an enabler for change,Female
