numberOfTweet,text,user name,screen name,description,gender
1,@jpcody Let's make Twitter great again.,Josh Bryant,jb,Lead designer @blackpixel. Previously co-founder & designer of @droplr. Husband & father of three.,Female
2,@jpcody political. tweets. I miss the old wise JC!!,Josh Bryant,jb,Lead designer @blackpixel. Previously co-founder & designer of @droplr. Husband & father of three.,female
3,Is that PC guy?,Josh Bryant,jb,Lead designer @blackpixel. Previously co-founder & designer of @droplr. Husband & father of three.,Female
4,@duncanwilcox Nice!!,Josh Bryant,jb,Lead designer @blackpixel. Previously co-founder & designer of @droplr. Husband & father of three.,Female
5,🎹♪🌞! #keynoteday /cc @sdw https://t.co/Nwr6UImK18,Josh Bryant,jb,Lead designer @blackpixel. Previously co-founder & designer of @droplr. Husband & father of three.,Female
6,@blankenship It's flavored water. What's not to understand?,Josh Bryant,jb,Lead designer @blackpixel. Previously co-founder & designer of @droplr. Husband & father of three.,Female
7,@GiancarloN I'm still unsure how I feel about it. So many questions left unanswered.,Josh Bryant,jb,Lead designer @blackpixel. Previously co-founder & designer of @droplr. Husband & father of three.,Female
8,"@amishrobot Srsly. I want to mail them a ""You're lame"" trophy. Maybe with free prime 2 day shipping.",Josh Bryant,jb,Lead designer @blackpixel. Previously co-founder & designer of @droplr. Husband & father of three.,Female
9,"… reassurances they keep doing it. I'll contact the tech press again, but they've already been publicly shamed 100x and yet they still do it",Josh Bryant,jb,Lead designer @blackpixel. Previously co-founder & designer of @droplr. Husband & father of three.,Female
10,I don't understand what it will take for @amazon to stop giving people my personal information. Despite the countless public apologies and…,Josh Bryant,jb,Lead designer @blackpixel. Previously co-founder & designer of @droplr. Husband & father of three.,Female
11,I'm the target of a hack again and YET AGAIN @amazon just gave out my personal information to someone pretending to be me.,Josh Bryant,jb,Lead designer @blackpixel. Previously co-founder & designer of @droplr. Husband & father of three.,Female
12,@davemkeller #kuiumasrerrace 😎,Josh Bryant,jb,Lead designer @blackpixel. Previously co-founder & designer of @droplr. Husband & father of three.,Female
13,In other news… Siri is still garbage. https://t.co/wo9L1FssK7,Josh Bryant,jb,Lead designer @blackpixel. Previously co-founder & designer of @droplr. Husband & father of three.,Female
14,@mrwarren Science.,Josh Bryant,jb,Lead designer @blackpixel. Previously co-founder & designer of @droplr. Husband & father of three.,Female
15,@motherfuton Nice!,Josh Bryant,jb,Lead designer @blackpixel. Previously co-founder & designer of @droplr. Husband & father of three.,Female
16,Boom! 🔥 https://t.co/n7WnAy7231,Josh Bryant,jb,Lead designer @blackpixel. Previously co-founder & designer of @droplr. Husband & father of three.,Female
17,@chrisbowler Yes. It's fantastic. No more stupid rule of not starting a tweet with someone's name.,Josh Bryant,jb,Lead designer @blackpixel. Previously co-founder & designer of @droplr. Husband & father of three.,Female
18,@iconmaster @tapbot_paul Could've been worded better but it does clearly say you have to retweet yourself if you want @-replies to be seen.,Josh Bryant,jb,Lead designer @blackpixel. Previously co-founder & designer of @droplr. Husband & father of three.,Female
19,@chrisbowler I think you're misunderstanding what that says.,Josh Bryant,jb,Lead designer @blackpixel. Previously co-founder & designer of @droplr. Husband & father of three.,female
20,"@tapbot_paul @iconmaster Wait, wut? @-replies will still be hidden. This is an AWESOME change and gets rid of the stupid .@ workaround.",Josh Bryant,jb,Lead designer @blackpixel. Previously co-founder & designer of @droplr. Husband & father of three.,female
