numberOfTweet,text,user name,screen name,description,gender
1,I've a few tickets for the gig,Jahn Czhan,jahn,"Relaxed, happy, guy enjoy alternative music and being with my friends.  Go to school and work a few jobs and travell in the http://t.co/xfQ9D8wsbm with me?",Female
2,Finally our band get a gig in Germany. Can't wait the Markey Boys are on the move for sure,Jahn Czhan,jahn,"Relaxed, happy, guy enjoy alternative music and being with my friends.  Go to school and work a few jobs and travell in the http://t.co/xfQ9D8wsbm with me?",female
3,Spent the last two years in America playing some decent music. Shoutout to my mates in San Diego. See you guys in a few weeks. Got a gig set,Jahn Czhan,jahn,"Relaxed, happy, guy enjoy alternative music and being with my friends.  Go to school and work a few jobs and travell in the http://t.co/xfQ9D8wsbm with me?",Female
4,My boss is a friggin jerk..  I want to be FREE like this chick!! http://tinyurl.com/66kb8rg,Jahn Czhan,jahn,"Relaxed, happy, guy enjoy alternative music and being with my friends.  Go to school and work a few jobs and travell in the http://t.co/xfQ9D8wsbm with me?",Female
5,Screw workkk today :( I hate waking up in the rain - this news article is so motivational!! http://tinyurl.com/3lp5he9,Jahn Czhan,jahn,"Relaxed, happy, guy enjoy alternative music and being with my friends.  Go to school and work a few jobs and travell in the http://t.co/xfQ9D8wsbm with me?",Female
6,Been to Japan with  my dad for two summers. Blew me away friendly but had trouble with my Irish accent...return to school in September,Jahn Czhan,jahn,"Relaxed, happy, guy enjoy alternative music and being with my friends.  Go to school and work a few jobs and travell in the http://t.co/xfQ9D8wsbm with me?",Female
7,"Finally we made it to Croatia. Three of my buds and ne escaping the UNI for the summer. 
Flew into Turin and hitchiked the rest of the",Jahn Czhan,jahn,"Relaxed, happy, guy enjoy alternative music and being with my friends.  Go to school and work a few jobs and travell in the http://t.co/xfQ9D8wsbm with me?",Female
8,home today getting ready to go wok in Croatia this summer waiting for mates to finish thr exams. Flying to Trietste an hitching dwn coast,Jahn Czhan,jahn,"Relaxed, happy, guy enjoy alternative music and being with my friends.  Go to school and work a few jobs and travell in the http://t.co/xfQ9D8wsbm with me?",Female
9,Off to long bike ride today. Finally got the old bike a new motor good ride ahead and underground band night in the club.,Jahn Czhan,jahn,"Relaxed, happy, guy enjoy alternative music and being with my friends.  Go to school and work a few jobs and travell in the http://t.co/xfQ9D8wsbm with me?",Female
10,trying to see my tutors today. Too much to work to catch up on. Looking for another summer job in Croatia Going with a few buds. MaybeParis,Jahn Czhan,jahn,"Relaxed, happy, guy enjoy alternative music and being with my friends.  Go to school and work a few jobs and travell in the http://t.co/xfQ9D8wsbm with me?",Female
11,finally got back 4 months in Africa doing internship with Drs without borders.  Awesome group but scary work.  Lost a lot of weight Pigg'n.,Jahn Czhan,jahn,"Relaxed, happy, guy enjoy alternative music and being with my friends.  Go to school and work a few jobs and travell in the http://t.co/xfQ9D8wsbm with me?",Female
12,yeach finally got a new laptop that works.  Going out to kart pub,Jahn Czhan,jahn,"Relaxed, happy, guy enjoy alternative music and being with my friends.  Go to school and work a few jobs and travell in the http://t.co/xfQ9D8wsbm with me?",Female
13,Getting ready to leave Pula and head back to Uni.in Dublin. One more week of workGreat summer. whatabout u?,Jahn Czhan,jahn,"Relaxed, happy, guy enjoy alternative music and being with my friends.  Go to school and work a few jobs and travell in the http://t.co/xfQ9D8wsbm with me?",Female
14,working in Croatia finally got here and now finally making some money,Jahn Czhan,jahn,"Relaxed, happy, guy enjoy alternative music and being with my friends.  Go to school and work a few jobs and travell in the http://t.co/xfQ9D8wsbm with me?",Female
15,finally made it Tieste in Northern Italy on my way to work in Croatia this summer.  Worked with a road crew today clearing fallen trees lol,Jahn Czhan,jahn,"Relaxed, happy, guy enjoy alternative music and being with my friends.  Go to school and work a few jobs and travell in the http://t.co/xfQ9D8wsbm with me?",Female
16,Sweet...sweet day are cuming...last exam tomorrow and then off to travel 4 the summer  I been saving up all year to travel and can't wait.,Jahn Czhan,jahn,"Relaxed, happy, guy enjoy alternative music and being with my friends.  Go to school and work a few jobs and travell in the http://t.co/xfQ9D8wsbm with me?",Female
17,working..going for a beer and then out to the local pub.  Seems like a good idea,Jahn Czhan,jahn,"Relaxed, happy, guy enjoy alternative music and being with my friends.  Go to school and work a few jobs and travell in the http://t.co/xfQ9D8wsbm with me?",Female
18,getting ready for work and Im late,Jahn Czhan,jahn,"Relaxed, happy, guy enjoy alternative music and being with my friends.  Go to school and work a few jobs and travell in the http://t.co/xfQ9D8wsbm with me?",Female
