numberOfTweet,text,user name,screen name,description,gender
1,"“Richter is known for making his paintings completely on his own, without help from his two studio assistants.” https://t.co/5Zk05yBsEV",Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
2,@jonah @adambain found 'em! Lol.,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,female
3,@jonah @adambain I'm right tho they're 🔥,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
4,@jimprosser @adambain 🔥 right?,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
5,"I don't know what these shoes are, but if @adambain's wearing them they gotta be the new 🔥 thing right? https://t.co/V2uzanQxp2",Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
6,Twitter conversations at their best with @elonmusk and @seanmcarroll. https://t.co/SzkBEWXBLR,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
7,https://t.co/jdLkicFFsb,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
8,@EricaJoy @HotelTonight!,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
9,Corp dev dinner with @AnneP. https://t.co/RBW9ZgjSJD,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
10,It must be #wwdc. https://t.co/xsGAEgYAHk,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
11,Overjoyed for @KatieS and @ColorGenomics! I can't imagine anyone more perfectly suited for this role:  https://t.co/1VYe5NBQHZ,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
12,Twitter HQ https://t.co/Km0xcgtgak,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
13,Been curious to see what big bets @satyanadella would make on M&amp;A (since taking over). Exciting and bold move. https://t.co/quStKwi7tC,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
14,@IlyaBr0wn @adambain @crazyfoo @ameet @twitter welcome!,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
15,Love is Love is Love is Love https://t.co/dVfEItOKdP,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
16,https://t.co/EqMwgwwbk6,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
17,Swapping my music routine when I run for podcasts. Anything you've listened to lately and loved? Can be any genre or topic...,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
18,Final product https://t.co/1WLjmUyIBm,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
19,@mv salmon. Stay tuned.,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,female
20,Dinner prep https://t.co/crtNRBRB02,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,female
21,The more I read re: Zika ➡️ terrifying it seems. It can be sexually transmitted. Think about that. Global public health emergency looms?,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,female
22,@withfries2 well done!,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,female
23,"This is an excellent podcast. ""AI, Deep Learning, and Machine Learning: A Primer"" https://t.co/UbsH4it0wH by @withfries2",Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
24,https://t.co/5CuwBCcKP2,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
25,Back in SF after a week of travel. First things first. https://t.co/qSzbwR6uP2,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
26,"""Much of what has passed for emotional trauma may be reinterpreted, &amp; many veterans may step forward to demand recognition of an injury...""",Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
27,What if PTSD Is More Physical Than Psychological? https://t.co/tMIDoTbVXj // new research on combat blasts and the impact on the brain,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
28,@janamal @twitter @fishermp @CoolAssPuppy @chrismoodycom @ROWGHANI @adambain @TwitterDev @Kaitlin @kdwalker @wellskatie @jack 🙌🏼.,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
29,Of course this is on the menu in San Francisco https://t.co/gTWrpwKVP1,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
30,@davidbyttow Wells Fargo just rolled this out like this month (crazy it's taken this long).,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
31,@ProductHunt @sandofsky @dougw @withcopper way to go Doug!,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
32,@StevenLevy wish I was going this year. Have enjoyed it in the past.,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
33,This is truly alarming if there's a work around for 2FA. https://t.co/3LgOTqNX7G,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
34,@adam_messinger yum! Your daughters go to the coolest school.,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
35,@adam_messinger what did you make?,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
36,@rhomsany congrats Ramsey! Excited for wherever your next adventure takes you.,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
37,"As a fan of the show, this is fun! Happily take the comparison—in good company w/ @msquinn &amp; @AmandaCCrew 🙋🏻💯❗️ https://t.co/p2Ys53ZWhq",Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
38,Twitter is LIVE—Go @periscopeco! https://t.co/VqV4gpcMNT,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
39,"Ship it, @Fabric!  https://t.co/tuEiO0X6cT",Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
40,"Excited to back @sm—driven, experienced (Twitter &amp; Postmates), technical (MIT) w/ passionate vision for the product. https://t.co/OcnVLVREW0",Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
41,"Sing it, Hil. #ImWithHer  https://t.co/MFugRsV1La",Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
42,@anm where is this?!,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
43,@ktzhu @garychou @bumpersfm @fat @iano @linalovesit @alsoyay congrats guys!,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
44,A great use case for #LIVE. Twitter notifications for London tube updates: https://t.co/tcoGh9u3nX Nice work @S_Lefebvre!,Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,Female
45,"Go to 18:15 and listen to @maggierogers_ and watch @Pharrell's reaction (also, she's synesthetic). https://t.co/KFWNxhqrcH",Jessica Verrilli,jess,Senior Director of Corporate Development & Strategy at @Twitter. Investor w/ #Angels (@helloangels). Running anywhere with a view.,female
