numberOfTweet,text,user name,screen name,description,gender
1,I am @stine today. https://t.co/u6reaK6okc,john shahidi,john,@shots ceo,Female
2,Congrats @jack on getting the best team. Thanks Mark for helping @shots HQ move into the old Storehouse HQ. https://t.co/aDXdNIamxE,john shahidi,john,@shots ceo,female
3,https://t.co/sttwyGEtj3,john shahidi,john,@shots ceo,Female
4,:) https://t.co/ysOu1E7Rmg,john shahidi,john,@shots ceo,Female
5,THINGS TV WON'T SHOW YOU! by @jeromejarre  https://t.co/oLU2DjaLVM,john shahidi,john,@shots ceo,Female
6,@mahbodmoghadam @Everipedia let's do it amoo joon.,john shahidi,john,@shots ceo,Female
7,@MeredithFrost love you too!! see you soon.,john shahidi,john,@shots ceo,Female
8,#WWDC,john shahidi,john,@shots ceo,Female
9,.@meredithfrost 😊 https://t.co/UNnYWt3QNt,john shahidi,john,@shots ceo,Female
10,I love this @PostMalone @Andrew50Watt https://t.co/yHOZ4erHZk,john shahidi,john,@shots ceo,Female
11,@MrBell1985 @Johnmcgrellis @dantomo39 @markmccaw30 great seeing you guys too,john shahidi,john,@shots ceo,Female
12,Here you go https://t.co/5k4AtmXtQf,john shahidi,john,@shots ceo,Female
13,@1DWWAIT @AmandaCerny I agree,john shahidi,john,@shots ceo,Female
14,Yep.. @lelepons wanted free dessert.  https://t.co/OWAPiizqiR,john shahidi,john,@shots ceo,Female
15,Life is great.,john shahidi,john,@shots ceo,Female
16,happy birthday to my main bruh @dathanvp !!!,john shahidi,john,@shots ceo,Female
17,.@lelepons kills it as Benita https://t.co/Tj0YVcFba4,john shahidi,john,@shots ceo,Female
18,Texting Wars https://t.co/RxSECaoWIM via @YouTube,john shahidi,john,@shots ceo,Female
19,"@awkwardpuppets ""k"" for sure cc: @hoff @sammy @rudymancuso",john shahidi,john,@shots ceo,female
20,"Game 3! 

#NBAFinals",john shahidi,john,@shots ceo,female
21,My boy @hoff. Great move by Twitter. https://t.co/9y8EQStqFj,john shahidi,john,@shots ceo,female
22,@awkwardpuppets @HillaryClinton lol,john shahidi,john,@shots ceo,female
23,#CompanyMusicVideo is another great one @RoryKramer @JustinBieber https://t.co/7bW00idbdw.,john shahidi,john,@shots ceo,Female
24,@JustmojiApp @justinbieber @sammy the best.,john shahidi,john,@shots ceo,Female
25,@ariadnagarcia16 my mustache #RIP,john shahidi,john,@shots ceo,Female
26,shots family -- this one is for you -- you'll love it https://t.co/lzpIBR4ubO by @sanholobeats,john shahidi,john,@shots ceo,Female
27,@JoshBaze thank you brother.. this is still my jam https://t.co/yosDPI19xJ,john shahidi,john,@shots ceo,Female
28,"with ""our"" pops @shervin ✈️ https://t.co/5M0vTARIse",john shahidi,john,@shots ceo,Female
29,7,john shahidi,john,@shots ceo,Female
30,Favorite time of the day. #facetime w/ @lelepons 😂 https://t.co/W7MGaEcs5X,john shahidi,john,@shots ceo,Female
31,Happy bday @JeremyBieber 💀 https://t.co/hl1L9NOS8L,john shahidi,john,@shots ceo,Female
32,"@GrandMen100 @thesecret yep! Say hi to your girlfriend for me 

@KingBach.",john shahidi,john,@shots ceo,Female
33,https://t.co/QjIudnoBai,john shahidi,john,@shots ceo,Female
34,Muhammad Ali saves man from suicide jump https://t.co/zQUW1XWqUD,john shahidi,john,@shots ceo,Female
35,!!! @prophetsofrage @B_Real @tmorello @MrChuckD https://t.co/rC8nfrFPaY,john shahidi,john,@shots ceo,Female
36,Happy birthday brother https://t.co/Aot8qXNl6B,john shahidi,john,@shots ceo,Female
37,https://t.co/BGMUpTvL3r,john shahidi,john,@shots ceo,Female
38,Happy bday to a great man @JoshConstine. I enjoyed the @ProductHuntLIVE today. https://t.co/5qsiC23kTq,john shahidi,john,@shots ceo,Female
39,@rrhoover this one is the best one @AppStore @ProductHunt https://t.co/jjQqqauelg,john shahidi,john,@shots ceo,Female
40,https://t.co/7LvS2uNVlI,john shahidi,john,@shots ceo,Female
41,This looks really cool https://t.co/2Bn4ZATdhO @teamwynd,john shahidi,john,@shots ceo,Female
42,@KingBach congrats bruh,john shahidi,john,@shots ceo,Female
43,@Dutchtuber 👊🏻👊🏻,john shahidi,john,@shots ceo,Female
44,Favorite time of the day. #Facetime w/ @lelepons... special guests @rudymancuso and @amandacerny https://t.co/fkCULD55ab,john shahidi,john,@shots ceo,Female
45,@MyHeroJustin1 @lelepons me too,john shahidi,john,@shots ceo,female
46,@LisaKastleen SF,john shahidi,john,@shots ceo,Female
47,First guest at the new Shots office in South Park @rudymancuso (via @shots) https://t.co/Cr3ikEZD6w,john shahidi,john,@shots ceo,Female
48,Listening to Too Many Zooz - Warriors on @hypem mobile https://t.co/Agv8yEULuq https://t.co/PDwAFvdMqm,john shahidi,john,@shots ceo,Female
49,Listening to TRACE - Honey (Mahalo Remix) on @hypem mobile https://t.co/FjVFByVxEo https://t.co/Ogopm5tRfg,john shahidi,john,@shots ceo,Female
50,"@BENBALLER yes, for life but who do you think will win tonight?",john shahidi,john,@shots ceo,Female
51,@BENBALLER OKC or GSW?,john shahidi,john,@shots ceo,Female
52,"@BENBALLER Ben, I am taken and so are you. Besides Sammy would be best man. J would be a g man though.",john shahidi,john,@shots ceo,Female
53,@BENBALLER I am always excited to see you.,john shahidi,john,@shots ceo,Female
54,Excited for Game 7.,john shahidi,john,@shots ceo,Female
55,#VoteForCory lol @KyleMassey  https://t.co/hl8e4G67aL,john shahidi,john,@shots ceo,Female
56,@ElJuanpaZurita @yuki_095love @rudymancuso @marcusjohns @anwar familia,john shahidi,john,@shots ceo,Female
57,@poseyk11 me too.,john shahidi,john,@shots ceo,Female
58,@belieberxforev enjoy them... he is so funny.,john shahidi,john,@shots ceo,Female
59,"if and when feeling down, go YouTube @ErikGriffin and watch any of his stand-ups to be cheered up.",john shahidi,john,@shots ceo,Female
60,@Fahd_Trenar thank you,john shahidi,john,@shots ceo,Female
61,@biebkissyou Been You,john shahidi,john,@shots ceo,Female
62,@TheUndyinForce 🚲,john shahidi,john,@shots ceo,Female
63,@myjbiebsdream yes,john shahidi,john,@shots ceo,female
64,@jbsfollowlist I posted a few on shots last night,john shahidi,john,@shots ceo,Female
65,@belieber199879 good!,john shahidi,john,@shots ceo,Female
66,@jdbbestmusicx it's one of my favorite Twitter pages haha,john shahidi,john,@shots ceo,Female
67,@xminasax I'll try my best. It's always last second because of @shots.,john shahidi,john,@shots ceo,Female
68,@Laura_Viggiani lol but we still need to look into it @sammy @dathanvp,john shahidi,john,@shots ceo,female
69,@ibieberauhlls maybe,john shahidi,john,@shots ceo,female
70,@musicalxoutlaws okay,john shahidi,john,@shots ceo,female
71,@lanaranjabiebs 😂😂,john shahidi,john,@shots ceo,female
72,@bloomycampiti about to leave for our new office. It's our first day there.,john shahidi,john,@shots ceo,female
73,@drewsgun I don't remember,john shahidi,john,@shots ceo,female
74,@shots_france haha nice,john shahidi,john,@shots ceo,female
75,@PrissBaldwin @JazmynBieber this was the pic I was looking for!!,john shahidi,john,@shots ceo,female
76,@jujuwaa01 @SunBieberShine haha yes,john shahidi,john,@shots ceo,female
77,#HappyBirthdayJazzy I love you. https://t.co/c6OQ0iH8xr,john shahidi,john,@shots ceo,female
78,@ibieberauhlls she is everywhere!!,john shahidi,john,@shots ceo,female
79,@AlessandraOpp thanks same to you,john shahidi,john,@shots ceo,female
80,@chicagowallow13 👊🏻,john shahidi,john,@shots ceo,female
81,@jbfanfartoor thank you,john shahidi,john,@shots ceo,female
82,@tehehealison yes!!!!!!!!,john shahidi,john,@shots ceo,female
83,@SerenaCiotolaJB wow thank you for this! it helps us so much.,john shahidi,john,@shots ceo,female
84,@arleejone 8!!,john shahidi,john,@shots ceo,female
85,@lasuaollg @ItsFoodPorn thank you for this. Shared it inside the app. 🔮,john shahidi,john,@shots ceo,female
86,@19940301lt love you too,john shahidi,john,@shots ceo,female
87,"Congrats to my brother, friend and business partner @poobear https://t.co/7JCrqWmVPE https://t.co/iOaXYNcPXZ",john shahidi,john,@shots ceo,female
88,@BruhItsJanessa i agree,john shahidi,john,@shots ceo,female
89,#LADvsNYM,john shahidi,john,@shots ceo,female
90,"My #TeenChoice for #ChoiceDramaTVActress is Maia Mitchell @MaiaMitchell.

Please RT to vote. 
1 RT = 1 VOTE",john shahidi,john,@shots ceo,female
91,@shotsappfan thank you.. good morning.,john shahidi,john,@shots ceo,female
92,Carl and Carl are my favorite 2 https://t.co/6fdVLbHhwe @awkwardpuppets 🚬🔮,john shahidi,john,@shots ceo,female
93,Twin Peaks https://t.co/dIWr9GYKfx,john shahidi,john,@shots ceo,female
94,@RubyRose @Alesso @MartinGarrix @KingBach @sammy same here.,john shahidi,john,@shots ceo,female
95,Crazy game #OKCvGSW,john shahidi,john,@shots ceo,female
96,Start watching / laughing at 12:40 https://t.co/FmsKqNeBG9 @KingBach @ElJuanpaZurita @sammy 😂😂😂😂😂,john shahidi,john,@shots ceo,female
97,San Francisco 😊 https://t.co/70rr6YYAZe,john shahidi,john,@shots ceo,female
98,@BriZDreams @shots @sammy 😂😂😂😂😂😂😂😂😂,john shahidi,john,@shots ceo,female
99,@Jbsenses :),john shahidi,john,@shots ceo,female
100,trying to work @RoryKramer @MartinGarrix https://t.co/XoqN9AUPzM,john shahidi,john,@shots ceo,female
101,"I love your hat and the app you used to take the pic @AmandaCerny 😍

@FloydMayweather @TheMoneyTeam https://t.co/hpMuERKwVy",john shahidi,john,@shots ceo,female
102,I love the cameo @ElJuanpaZurita https://t.co/sO7iflgaXk !!,john shahidi,john,@shots ceo,female
103,Car Talk ft El Chapo (Ep. 4) https://t.co/sO7iflgaXk via @awkwardpuppets,john shahidi,john,@shots ceo,female
104,@lleibowitzz @reneejacques thanks.,john shahidi,john,@shots ceo,female
105,@MightyMykell love you more! see you soon!,john shahidi,john,@shots ceo,female
106,This is so good https://t.co/gGDVvXAFkx @justinbieber @nickdemoura @jblazeofficial @jrabonofficial @cxchandler @yusukenakaijpn @mightymykell,john shahidi,john,@shots ceo,female
107,Favorite time of the day. Late night #facetime w/ @lelepons talking about her new video https://t.co/1d0f7arElA https://t.co/ERy4PpPEhb,john shahidi,john,@shots ceo,female
108,Very Crazy Wife https://t.co/Efo3JdQ8JR via @YouTube,john shahidi,john,@shots ceo,female
109,Favorite time of the day. #facetime w/ @lelepons. I can't wait for your new YouTube video tomorrow!! https://t.co/SBsAEud96N,john shahidi,john,@shots ceo,female
110,@samir add it to my calendar,john shahidi,john,@shots ceo,female
111,@samir absolutely,john shahidi,john,@shots ceo,female
112,Hi,john shahidi,john,@shots ceo,female
113,@samir cool,john shahidi,john,@shots ceo,female
114,@samir I don't remember,john shahidi,john,@shots ceo,female
115,😂😂😂 https://t.co/onYt38OMCU,john shahidi,john,@shots ceo,female
116,😂😂 https://t.co/fPoJm4WZxB,john shahidi,john,@shots ceo,female
117,Dope https://t.co/lFbFvFVgKz,john shahidi,john,@shots ceo,female
118,https://t.co/ae3Ut4hw4k,john shahidi,john,@shots ceo,female
119,Another fun and memorable weekend. Congrats Justin (via @shots). https://t.co/GNhcULIHGE,john shahidi,john,@shots ceo,female
120,#BieberOnBBMAs https://t.co/bpbmucs3te,john shahidi,john,@shots ceo,female
