numberOfTweet,text,user name,screen name,description,gender
1,@chillmage https://t.co/mJ45Ma75Af,Josh Lowensohn,Josh,. @CNET & @Verge alum.,Female
2,@dcseifert Do you also dream of being cleaned up afterwards by a team of volunteers and given time to re-waterproof your body?,Josh Lowensohn,Josh,. @CNET & @Verge alum.,female
3,"“He smelled amazing, he really smelled good.” https://t.co/vMnpeobBAi https://t.co/aM8ILY8j4H",Josh Lowensohn,Josh,. @CNET & @Verge alum.,Female
4,@backlon https://t.co/jhlfW5PugE,Josh Lowensohn,Josh,. @CNET & @Verge alum.,Female
5,Love @Bourdain https://t.co/97suyQMO29 https://t.co/DtqYBUQaVl,Josh Lowensohn,Josh,. @CNET & @Verge alum.,Female
6,The new owner of the Playboy mansion: https://t.co/KNgrFpSZzL https://t.co/KeYSpP70uh,Josh Lowensohn,Josh,. @CNET & @Verge alum.,Female
7,@sharatibken Impressed to see @RogerWCheng awake and not changing diapers,Josh Lowensohn,Josh,. @CNET & @Verge alum.,Female
8,Helpful reviews https://t.co/OxWopPb6VS,Josh Lowensohn,Josh,. @CNET & @Verge alum.,Female
9,@dcseifert @sokane1 https://t.co/yg29GvaHcq,Josh Lowensohn,Josh,. @CNET & @Verge alum.,Female
10,They've gone too far. https://t.co/5eG0WLyo9W,Josh Lowensohn,Josh,. @CNET & @Verge alum.,Female
11,The thirst is real. https://t.co/tKReTtVtxo,Josh Lowensohn,Josh,. @CNET & @Verge alum.,Female
12,The only two looks you get bringing a baby on an airplane: 😍 😡,Josh Lowensohn,Josh,. @CNET & @Verge alum.,Female
13,Will historians mention the fried chicken taco shell in the same breath as the wheel? https://t.co/pThwwKvckD https://t.co/pPaVD1UgzD,Josh Lowensohn,Josh,. @CNET & @Verge alum.,Female
14,And it’s only May. https://t.co/xIZFRObzZH,Josh Lowensohn,Josh,. @CNET & @Verge alum.,Female
15,@dcseifert smoke em if you’ve got em.,Josh Lowensohn,Josh,. @CNET & @Verge alum.,Female
16,"A lot of these Tetris: The Movie jokes are 
(•_•) 
( •_•)&gt;⌐■-■ 
 (⌐■_■) 
falling flat.",Josh Lowensohn,Josh,. @CNET & @Verge alum.,Female
17,There’s truly a Tumblr for everything. https://t.co/XAdRayurZw https://t.co/zrJDWJKwfX,Josh Lowensohn,Josh,. @CNET & @Verge alum.,Female
18,@jetscott Just throwing this out there. https://t.co/XKpvw18iQz,Josh Lowensohn,Josh,. @CNET & @Verge alum.,Female
19,"Looking for a tent, when: https://t.co/5RyblHncBc",Josh Lowensohn,Josh,. @CNET & @Verge alum.,female
20,@dcseifert but is it no-muss?,Josh Lowensohn,Josh,. @CNET & @Verge alum.,female
21,This is such a good read. Hats off to @wyp100 https://t.co/NSE66vUFa0 https://t.co/o2SbiGxqV2,Josh Lowensohn,Josh,. @CNET & @Verge alum.,female
22,@IanGertler #hotspot4lyfe,Josh Lowensohn,Josh,. @CNET & @Verge alum.,female
23,I did not want internet today anyway. https://t.co/nYc7v5NOBM,Josh Lowensohn,Josh,. @CNET & @Verge alum.,Female
24,The headline prefix that never gets old https://t.co/YT5GTQ5MhO,Josh Lowensohn,Josh,. @CNET & @Verge alum.,Female
25,Nooooo https://t.co/kYumRw9r2G,Josh Lowensohn,Josh,. @CNET & @Verge alum.,Female
26,Dat hedcut. https://t.co/ahEAuCQWxH,Josh Lowensohn,Josh,. @CNET & @Verge alum.,Female
27,@CaseyNewton You gotta get your hands on Tangerine. There’s some on eBay.,Josh Lowensohn,Josh,. @CNET & @Verge alum.,Female
28,Is the backlog for getting a Coachella flower crown like trying to get a bike repair the week before Burning Man? Asking for a friend.,Josh Lowensohn,Josh,. @CNET & @Verge alum.,Female
29,@humblesupport This problem persists.,Josh Lowensohn,Josh,. @CNET & @Verge alum.,Female
