numberOfTweet,text,user name,screen name,description,gender
1,@jkalucki @kh What he said. I happened to be traveling and appointments outside of SF are much faster.,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
2,@myunderpants @jblebrun Stop crushing my dreams. You're not my real mom.,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",female
3,@kurtosis0 Surely they'd reach some kind of local maximum.,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
4,I am looking forward to Re/max Comic Sans. https://t.co/S2psGfIMFI,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
5,"""There is no point at which […] additional practice does not lead to further improvement"" Clarifying 10000 hr rule https://t.co/o36ud7Apmm",Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
6,"@hoverbird ""America is the Ewings' home. It belongs to our family. We have to fight for it.""",Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
7,"@awesome @brendonjwilson Or as in anything quoted, it's part of a bigger presentation, more discussion generating than anything. Chill ppl.",Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
8,@jmk And now Alt-J is in my head.,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
9,"""User experience as a field exists because of insufficient product management."" —@peterme #mtpcon https://t.co/jRORrHu184",Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
10,@mulligan https://t.co/VBb3CSdQ9b,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
11,"How not to do Twitter. Here's @TriNet's ""response"" to this thread : https://t.co/Icb3MBc9Tt (No they weren't hacked) https://t.co/vikP8pQF91",Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
12,Housing prices have really gotten out of hand in the Bay Area. https://t.co/FC5kn53h5j /via @jandersen https://t.co/PrwCVSj9jb,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
13,@mulligan @TriNet Not to mention the improper use of a semicolon instead of an em dash. ;) I used to use Trinet and won't next time.,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
14,@mdo That feeling when you hit close door and it doesn't do anything. https://t.co/u0pv9L7RVh,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
15,@kig @pt MS acquired Accompli and relaunched it as Outlook. It's actually a mail client. Doesn't require MS backend. I use it with gmail.,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
16,@jmk Clear?,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
17,I hope @SpaceX Falcon had this sticker somewhere. https://t.co/E2F9SkKdV2,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
18,"@kpk @shinypb Is the return not autonomous, too? Is it crazy I just expected it was?",Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
19,"On ""security"" questions: https://t.co/oyijHssYjW",Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",female
20,@hoverbird I feel like the decline is across the board and moved to chat programs.,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",female
21,@satanjeev @Uber I had one cancel as it passed me because of market st clusterfuck. Everything old is new again.,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",female
22,@bookslope Actually it's https://t.co/dwcCxI1pcn! Thanks for the mention.,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",female
23,@AndrewCrow Your résumé is like… https://t.co/25A2THMinT,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
24,@mella Sounds like my first time.,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
25,Still relevant. https://t.co/GMPIXGjC5s,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
26,@jmk @vnaylon Really shouldn't need the m.* at all. Ever.,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
27,@mella So wanted to RT that one.,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
28,@yipe @geteero @miradu @kevinweil Huh. Weird.,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
29,@snarshad @sugarsmax Really? I didn't even know that was something that could be done. https://t.co/VoP9i1IzRh,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
30,Definitely recommend @geteero. It's the easiest set up network setup I've ever done and speeds are phenomenal upstairs and down.,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
31,"@mella I went for a wedding. And I went partly because, ""when else will I go?""",Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
32,"@mella Marfa, Texas? https://t.co/BE7gPf187R Rushmore is overrated btw.",Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
33,@AndrewCrow Like this? https://t.co/COlwzkPnp0,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
34,@AndrewCrow What if the designer actually makes the mix themselves? ;),Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
35,"Mostly, I'm kind of upset I didn't think of this game. https://t.co/Xso4k8psDX",Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
36,"@jkalucki @abdur @dougw I think that was what I built on top of and adds skip, what song is playing, and other functions.",Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
37,@jkalucki @dougw I wrote a skills for mine that works but you need to have a server and some tinkering.,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
38,@bjfogg Pivot,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
39,"@aerialdomo I first read that as ""clothes"" and I was like, ""cool.""",Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
40,#slackoverflow,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
41,"@MichalKopec Did I say this in the book? I honestly don't remember and I'm kinda like, ""hey that's good? I'm…smart?"" ;)",Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
42,"New chill set for you. Sunset @ Pangea Bar in Koh Lanta, Thailand. https://t.co/COlwzkPnp0",Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
43,@themassivebri Need a DJ? ;),Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
44,@mella I think @KariGreggYoga had exactly this problem and found that solution. I can't take credit.,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
45,@mella Freeze em,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",female
46,@isaach When will you place it behind a cat?,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
47,"@DrafthouseSF I mean, at least singe ""The Shining: The Romantic Comedy"", right? https://t.co/32Ri8u37DS",Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
48,"Rest in stardust, David Bowie. You  influenced many and accomplished much.

What Bowie accomplished at your age: https://t.co/FwE4Id81ob",Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
49,@jandersen What the-?!?,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
50,One final set to cap off the year. This one's a doozy. I hope you have some work to get done. https://t.co/KFmaYA5c22,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
51,"@DrafthouseSF I swear I tried to describe how good the Drafthouse experience would be but still, you exceeded all their expectations.",Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
52,Love this story of how from @quan about how @karmicbikes iterated on their ebikes with direct customer feedback. https://t.co/03WwvqxPAX,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
53,@jack @hoverbird Am I blind or am I not seeing a follow button on web? https://t.co/qwLod1SDvo,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
54,"@baratunde @TheAtlantic A point of contention in Canada, where Iron Ring reminds engineers of their responsibility. https://t.co/eZRYcnfMYy",Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
55,@victorianything https://t.co/3UvfMITQXg,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
56,"Which film series have the widest gap in quality? e.g., Rocky vs Rocky 4. Empire Strikes Back vs Attack of the Clones. cc: @myunderpants",Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
57,@seldo Possibly before 2016 elections.,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
58,Me. Every day. https://t.co/VNgXmfGFB8,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
59,@jblebrun ❤️,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
60,@seldo Tell me about it. Ugh.,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
61,@jandersen Why do you hate freedom?,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
62,@jandersen I changed my opinion from one end to the other (no to yes) through lots of reading. But then…I can't vote so I don't matter =\,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
63,"@danielraffel Agreed. Shopify is this way, too. cc @mindbodyonline",Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",female
64,It's,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
65,@tw It takes some getting used to. And it's also why most standing desks have adjustment to seating height.,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
66,@mella You may want to update your Twitter bio. ;) 🐶,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
67,@kig Oh man. We probably only needed one of us to get one. I should've guessed you would too!,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",Female
68,"Caved when the funding deal went into overtime. Ordered a @glowforge. If you waited, maybe you still want $100 off: https://t.co/40rqW4DI3F",Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",female
69,@squidllama The I expect to see Laika here: https://t.co/Mjmor4nvli and in this. cc: @mella https://t.co/ZXJvMKimDN,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",female
70,@WellsFargo Remind me how making me change my -username- is a good thing? And how a 14 char MAX on passwords is a security feature?,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",female
71,"@robinsloan When I drew webcomics, I'd drawn enough that I'd pull up a comic in response to many situations and wanted to have all covered.",Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",female
72,"Sure, no Hoverboards but…
#BackToTheFuture #BackToTheFutureDay #VR https://t.co/k3eRogZ7RH",Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",female
73,@halvorson I just had the same thought earlier tonight. Maybe my socks are over there?,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",female
74,@DrafthouseSF Bought mine thru https://t.co/M8XilZ5rvf and got confirmation. Assuming that's still legit even tho not thru Fandango?,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",female
75,@nicole @DrafthouseSF Which showing?,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",female
76,@nicole I hear the app works better. Or https://t.co/7hXC9hsf2U,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",female
77,@aunder You need those onesies with velcro flappies.,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",female
78,@tomcoates @danielraffel Funemployed so whenever.,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",female
79,@tomcoates @danielraffel https://t.co/SoA0CbwwRX,Kevin Cheng,k,"Not a ninja, rockstar, or guru. Past: @IncredibleLabs (acquired by @Yahoo) @Twitter @Raptr. Wrote http://t.co/oxxvWQ0b69. DJ as http://t.co/xVhgG7GcIZ",female
