numberOfTweet,text,user name,screen name,description,gender
1,"@goldstoneandrew Metadata comes from member sites -- lots to be improved; if you see issues, let us know and we can help raise w/ providers",L,lina,L aime bien sucer des fleurs.,Female
2,@alexdenhaan see @ORCID_Org member orgs in the Netherlands  https://t.co/PsyWAdwo4e @SURF_NL @NWONieuws @Ulli42,L,lina,L aime bien sucer des fleurs.,female
3,i.e. academics RT @FloraSapio What role do we play in creating a civil society space? https://t.co/nGJL40Mte3,L,lina,L aime bien sucer des fleurs.,Female
4,"@aliversluis ORCID itself is now an entity (@ORCID_Org), thus ""ORCID"" in ""ORCID iD"" describes the type of identifier. very common lang shift",L,lina,L aime bien sucer des fleurs.,Female
5,and how great such competitiveness is for the Hong Kong people!  https://t.co/e4xKJ4rkT7,L,lina,L aime bien sucer des fleurs.,Female
6,and yet it's English only? :/  https://t.co/dtQGf3CKYM,L,lina,L aime bien sucer des fleurs.,Female
7,"@NotThatrpg When you click grant,you can specify whether permission is for 1 occasion (1 hour) or long term (20 yrs) https://t.co/91N2Jr2NXo",L,lina,L aime bien sucer des fleurs.,Female
8,"@NotThatrpg hm, it can read that way, &amp; we've no visual ex in linked doc https://t.co/czir8q2Og6 -- will make this more evident @ORCID_Org",L,lina,L aime bien sucer des fleurs.,Female
9,ARATS/PLA official's contentious Tsai Ing-wen profile (translation) https://t.co/PPLKLolkm1,L,lina,L aime bien sucer des fleurs.,Female
10,"@rvidal this is a known issue with, e.g., uBlock. Usually white-listing https://t.co/fdIgIEzEoj resolves this. :) @ORCID_Org",L,lina,L aime bien sucer des fleurs.,Female
11,"@Charwoux non, pas vrai. https://t.co/1NsPnp29q3 on peut lire le certificat de constitution icit:  https://t.co/ti2x8bRFsH",L,lina,L aime bien sucer des fleurs.,Female
12,"29/7 deadline RT @FloraSapio ""The Right to Use Land for Construction of Dwellings,"" Invitation to collaborate https://t.co/kGrY4aYpUb #China",L,lina,L aime bien sucer des fleurs.,Female
13,@BonnieWildie @StevenPChang @ORCID_Org @VALAlib Spot the cat is pleased that she's internationally famous 😺 https://t.co/dOqWyeJCR9,L,lina,L aime bien sucer des fleurs.,Female
14,i sldfkj abhor conlangs https://t.co/t6by8J3rFG,L,lina,L aime bien sucer des fleurs.,Female
15,@geschichtenpost See which publishers have signed the open letter on requiring ORCID iDs in publication workflows at https://t.co/PFHlfHBNQx,L,lina,L aime bien sucer des fleurs.,Female
16,it looks great! Have heard many requests for authenticated ORCID iDs in OJS @ORCID_Org  https://t.co/VLClI8Vtjs,L,lina,L aime bien sucer des fleurs.,Female
17,"@sphcow auth is to verify that the ORCID iD was logged into with the relevant user/pass, tho ORCID cannot verify authentic identity @JATS4R",L,lina,L aime bien sucer des fleurs.,Female
18,@mpfl have you named it ?,L,lina,L aime bien sucer des fleurs.,Female
19,"Just nb: Public API free for any individual w/ ORCID iD. Can authenticate, read, help create iDs #orcidsingapore2016 https://t.co/Aqs31DenNi",L,lina,L aime bien sucer des fleurs.,female
20,Southern Metropolis editor quits after refusing to bow to cadres https://t.co/RthZEB9XrA,L,lina,L aime bien sucer des fleurs.,female
21,Articles by Latin American Authors in Prestigious Journals Have Fewer Citations https://t.co/oY4GhI5VXe,L,lina,L aime bien sucer des fleurs.,female
22,The Scientific Impact of Nations: Journal Placement and Citation Performance https://t.co/7hbDamg6hB,L,lina,L aime bien sucer des fleurs.,female
23,Public sentencing of protesting workers backfires in China https://t.co/JcQEPtco2Q,L,lina,L aime bien sucer des fleurs.,Female
24,"@brianwolven if you import BibTeX and experience errors, let us know support@orcid.org - sometimes ADS BibTeX has encoding issues @ORCID_Org",L,lina,L aime bien sucer des fleurs.,Female
25,china says that about every step of foreign political processes that dont run as smoothly as putting rivals on trial https://t.co/REpSrz1AKr,L,lina,L aime bien sucer des fleurs.,Female
26,"@SimonRKerridge @JennyDelasalle yes, ghosting a huge issue in china &amp;trying to explain why it's bad is challenging when it's common practice",L,lina,L aime bien sucer des fleurs.,Female
27,at least include the link https://t.co/9NEkWBQxu5 https://t.co/BJdSGNMR8g,L,lina,L aime bien sucer des fleurs.,Female
28,@LA_Straka Drop us a line at support@orcid.org; we may be able to provide assistance w/ managing your record or UI/design,L,lina,L aime bien sucer des fleurs.,Female
29,"RT @ARaquelCarvalho
Missing booksellers: Mainland agents snatched and detained #HongKong author for 38 hours in 2012 https://t.co/g9NGsXd7iD",L,lina,L aime bien sucer des fleurs.,Female
30,"@roanmartigan @limlouisa sorry, extra dim today. but you are probably right. i had a fun ride on the lollercoaster at least.",L,lina,L aime bien sucer des fleurs.,Female
31,@roanmartigan @limlouisa useful for sharing w/ non-tweety twits. would be more useful if i updated it with later convos,L,lina,L aime bien sucer des fleurs.,Female
32,"@fabien_collet chaque jour est un bon jour, cap~ @TheVoice_TF1",L,lina,L aime bien sucer des fleurs.,Female
33,@HKMarkSimon @limlouisa @AdamMinter @niubi lolol i see coverage of the same three or four voices &amp; i do think lesser of the reporters,L,lina,L aime bien sucer des fleurs.,Female
34,@arfon uncertain of what you mean to do exactly -- perhaps write us at support@orcid.org to explain further? @CrossrefOrg,L,lina,L aime bien sucer des fleurs.,Female
35,feel same way about hearing from eg all male/han/BJer panels in prc context. glad we were able to get diverse voices in some crj events,L,lina,L aime bien sucer des fleurs.,Female
36,"when building a panel, if all experts be of similar bkg, one shld reflect why &amp; do one's best to find other voices, stir the pot",L,lina,L aime bien sucer des fleurs.,Female
37,"lololol troll better RT @HKMarkSimon
@limlouisa @AdamMinter @lina @niubi Can we get some names of who is being excluded?  And from what?",L,lina,L aime bien sucer des fleurs.,Female
38,"FTFY RT @guardian Google’s newest hire: Chris Poole, ‘Zuckerberg of [toxic cesspools of abuse &amp; supremecist hate]’ https://t.co/955GdDt7rO",L,lina,L aime bien sucer des fleurs.,Female
39,@bokane @elkmovie or https://t.co/zjyBZ8ju2g. multiple requests for translations of characters on art/random household objects every week,L,lina,L aime bien sucer des fleurs.,Female
40,&amp; the lawyer accepted the release offer. who/how many had the same offer and refused ?  https://t.co/c4FNK65MyW,L,lina,L aime bien sucer des fleurs.,Female
41,https://t.co/3eacQJNof5,L,lina,L aime bien sucer des fleurs.,Female
42,@niubi but you're totes free to update it yourself if you feel that the current article is incomplete @limlouisa,L,lina,L aime bien sucer des fleurs.,Female
43,"@niubi sorry cher, i believe in doing consultation &amp; documentation before such changes bc i know how wiki works @limlouisa",L,lina,L aime bien sucer des fleurs.,Female
44,"@niubi @limlouisa quite, particularly when a panel of men are the explainers. visit more of the internets, yo.",L,lina,L aime bien sucer des fleurs.,Female
45,.@niubi thanks for mansplaining @limlouisa's usage,L,lina,L aime bien sucer des fleurs.,female
