numberOfTweet,text,user name,screen name,description,gender
1,Mr. Modi has become International Icon. . We are safe with him on International front and have strong faith in him. https://t.co/eFT6oOQJwT,Meenakshi Gopal,Meenakshi,,Female
2,@narendramodi @sonakshisinha Dear Sonakshi.. u r blessed with humble parents and fortunate to have blessings from Mr. Modi too. Well done!!,Meenakshi Gopal,Meenakshi,,female
3,@sardesairajdeep @IndiaSpend  very informative.. yes !! Congress has gone out for ever now.,Meenakshi Gopal,Meenakshi,,Female
4,@ashutosh83B sir where modi sarkar comes in front rise b'cose of frost???? Its natural loss not human errors like earlier parties..,Meenakshi Gopal,Meenakshi,,Female
5,@narendramodi sir your all efforts are remarkable. . U think further where our thinking stops.,Meenakshi Gopal,Meenakshi,,Female
6,@thekiranbedi very well said ma'am,Meenakshi Gopal,Meenakshi,,Female
7,@narendramodi_in Request to Mr. Modi to start special trains to Gujarat for middle class pleople to experiance and be part of Vibrant India.,Meenakshi Gopal,Meenakshi,,Female
8,Request to Mr. Modi to start special trains to Gujarat for middle class pleople to experiance and be part of Vibrant India.,Meenakshi Gopal,Meenakshi,,Female
9,@narendramodi Sir please take me in your team of volunteers to serve my country.. alone i m nothing.,Meenakshi Gopal,Meenakshi,,Female
10,@narendramodi Sir we shld take strict actions agst the organising committee for not providing proper safety arrangements for innocent janta.,Meenakshi Gopal,Meenakshi,,Female
11,Sir we shld take strict actions against the organising committee for not providing proper safety arrangements to public on such large events,Meenakshi Gopal,Meenakshi,,Female
12,@KapilSharmaK9    we all love you,Meenakshi Gopal,Meenakshi,,Female
13,http://t.co/41rfpkyQ1s,Meenakshi Gopal,Meenakshi,,Female
14,@colonelsharotri done,Meenakshi Gopal,Meenakshi,,Female
15,@radlakha          .,Meenakshi Gopal,Meenakshi,,Female
