numberOfTweet,text,user name,screen name,description,gender
1,Way to go @hoff! https://t.co/0LX5efKcr5,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
2,@ellenjdasilva @davidneckstein 😂😂😂😂😂,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
3,@micahmoreau happy to hear it! Lmk if you have any questions about how to get going with @Jet + @Pinterest,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
4,@micahmoreau and DR: https://t.co/dsan0x3IFN,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
5,@micahmoreau These add up to killer results across brand objectives: https://t.co/hlmxnxBK3n,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
6,"@micahmoreau New measurement: Pixel + OCL for online sales impact, DLX for offline sales, Millward Brown for brand impact",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
7,"@micahmoreau New targeting: Categories, Personas, Life Stages, Keywords, Interests, CRM, with more coming soon https://t.co/g8YsoBrmij",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
8,@micahmoreau New buying models: CPM dropped by 50% + auction CPE/C. Pay for reach or actions that matter most to you https://t.co/7ZbmGzput5,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
9,"@micahmoreau New formats: 3 live, 2 launching in June, more in development for 2H 2016 https://t.co/3RvtsIAW0n",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
10,@micahmoreau @Besvinick @mdudas would love to walk you through what's changed in ad opportunities since @Pinterest's 2014 closed Beta,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
