numberOfTweet,text,user name,screen name,description,gender
1,I just earned the 'Hopped Up (Level 2)' badge on @untappd! https://t.co/Eh2xn38sZJ,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,Female
2,I just earned the 'Better Together (Level 2)' badge on @untappd! https://t.co/Y8Q3PrHsR5,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,female
3,I just earned the 'Land of the Free  (Level 16)' badge on @untappd! https://t.co/bBeFS8VtQf,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,Female
4,@Maddiefai I really hope not...,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,Female
5,I just earned the 'Beer Connoisseur' badge on @untappd! https://t.co/eEU2xZDu9c,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,Female
6,I just earned the 'Heavy Weight (Level 7)' badge on @untappd! https://t.co/UnUyXsFxPs,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,Female
7,I just earned the 'Land of the Free  (Level 15)' badge on @untappd! https://t.co/qCXti70pcv,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,Female
8,I just earned the 'I Believe in IPA! (Level 5)' badge on @untappd! https://t.co/Fjx4gJKiXz #ibelieveinIPA,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,Female
9,I just earned the 'Land of the Free  (Level 14)' badge on @untappd! https://t.co/p0m71womjj,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,Female
10,I just earned the 'Bar Explorer (Level 4)' badge on @untappd! https://t.co/fERMk23R2U,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,Female
11,I just earned the 'American Craft Beer Week (2016)' badge on @untappd! https://t.co/ucnX55PSgp #ACBW #CraftBeer,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,Female
12,I just earned the 'Artisan' badge on @untappd! https://t.co/aZqGw4tRcJ,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,Female
13,I just earned the 'Land of the Free  (Level 13)' badge on @untappd! https://t.co/NkF6ejM93h,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,Female
14,I just earned the 'Sky's the Limit (Level 4)' badge on @untappd! https://t.co/LAq9YrUHhI,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,Female
15,I just earned the 'Land of the Free  (Level 12)' badge on @untappd! https://t.co/nNwIr8Uw3r,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,Female
16,I just earned the 'Heavy Weight (Level 6)' badge on @untappd! https://t.co/6eVzDzH12L,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,Female
17,I just earned the 'Pucker Up' badge on @untappd! https://t.co/TdqwBzspDP,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,Female
18,I just earned the 'Land of the Free  (Level 11)' badge on @untappd! https://t.co/ekA28MS49N,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,Female
19,I just earned the 'Land of the Free (Level 10)' badge on @untappd! https://t.co/oyxU3LsDLe,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,female
20,I just earned the 'Hopped Up' badge on @untappd! https://t.co/8qc80tQhbS,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,female
21,I just earned the 'I Believe in IPA! (Level 4)' badge on @untappd! https://t.co/hgJnCj5mIa #ibelieveinIPA,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,female
22,I just earned the 'Sky's the Limit (Level 3)' badge on @untappd! https://t.co/MNPt1K5Rh1,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,female
23,I just earned the 'Heavy Weight (Level 5)' badge on @untappd! https://t.co/3aAryixgmp,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,Female
24,I just earned the 'Land of the Free (Level 9)' badge on @untappd! https://t.co/QLVvUy6h2b,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,Female
25,I just earned the 'Toast King' badge on @untappd! https://t.co/ZBiYeZZpyR,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,Female
26,I just earned the 'Better Together' badge on @untappd! https://t.co/5igIy0tAei,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,Female
27,I just earned the 'Power Month' badge on @untappd! https://t.co/B3M9tOCj7k,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,Female
28,I just earned the 'Land of the Free (Level 8)' badge on @untappd! https://t.co/1EeVhbX8ue,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,Female
29,I just earned the 'NC Beer Month is Coming (2016)' badge on @untappd! https://t.co/yJqPuxTrwL #NCBeerMonth,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,Female
30,I just earned the 'Land of the Free (Level 7)' badge on @untappd! https://t.co/OYXaFIoz4J,Pablo A. David,pablo,musings of an attorney. political junkie. soccer fanatic. beer lover. Colombian-American & speaker of Español. proponent of adventure & travel. views are mine.,Female
