numberOfTweet,text,user name,screen name,description,gender
1,"@TheSmokingTire Do you have any more details about the ""BMW E30 Coupe w/ E46 M3 Engine Swap"" build? I didn't see it on YouTube. Thanks.",Richard,Richard,"Mobile user experience design leader based in Silicon Valley, who is hopelessly enamored with anything related to old Porsches.",Female
2,@chrismessina @productpains Some screens have buttons (-) (+) to control the screen brightness directly on the screen too. :),Richard,Richard,"Mobile user experience design leader based in Silicon Valley, who is hopelessly enamored with anything related to old Porsches.",female
3,@elonmusk Love how the Model 3 sketches use the same front end design of the Model S. Please add it back to the shipping car!,Richard,Richard,"Mobile user experience design leader based in Silicon Valley, who is hopelessly enamored with anything related to old Porsches.",Female
4,I can't wait to try the new Cisco Fox feature in my WebEx meetings! https://t.co/JCB8blOFv4,Richard,Richard,"Mobile user experience design leader based in Silicon Valley, who is hopelessly enamored with anything related to old Porsches.",Female
5,I never tire of looking at the 911's iconic shape. The G-Series is still my favorite. https://t.co/E0GzWL2TGE,Richard,Richard,"Mobile user experience design leader based in Silicon Valley, who is hopelessly enamored with anything related to old Porsches.",Female
6,"We are experiencing a power outage in the Tyler Park town home community (94040), with limited power to our homes. #PG&amp;E",Richard,Richard,"Mobile user experience design leader based in Silicon Valley, who is hopelessly enamored with anything related to old Porsches.",Female
7,I enjoyed the fascinating stories about arabic typefaces Nadine Chahine designed with typographic masters during her career.@arabictype,Richard,Richard,"Mobile user experience design leader based in Silicon Valley, who is hopelessly enamored with anything related to old Porsches.",Female
8,I enjoyed Nadine Chahine’s informative Tech Talk at Google about the legibility of typefaces used on screens and in print. @arabictype,Richard,Richard,"Mobile user experience design leader based in Silicon Valley, who is hopelessly enamored with anything related to old Porsches.",Female
9,Congratulations Audi for a first and second place finish at the 82nd 24 Hours of Le Mans! Good effort Toyota and Porsche. #LM24,Richard,Richard,"Mobile user experience design leader based in Silicon Valley, who is hopelessly enamored with anything related to old Porsches.",Female
10,"The leading Audi no2 just left the pits after a mechanical issue. Porsche no20 is in second, after Audi was leading 1, 2. Toyota no8 is 4th",Richard,Richard,"Mobile user experience design leader based in Silicon Valley, who is hopelessly enamored with anything related to old Porsches.",Female
11,"The LMP1 order at the 24 Hours of Le Mans is Audi, Porsche, Audi, Porsche, Toyota! Nice job Porsche's new 919s! #LM24 #Porsche919hybrid",Richard,Richard,"Mobile user experience design leader based in Silicon Valley, who is hopelessly enamored with anything related to old Porsches.",Female
12,"The Rolex clock is crooked in the ""24h Le Mans"" studio :) #24LM #24hours_live",Richard,Richard,"Mobile user experience design leader based in Silicon Valley, who is hopelessly enamored with anything related to old Porsches.",Female
13,@24hours_live The Rolex clock on the studio wall is crooked.,Richard,Richard,"Mobile user experience design leader based in Silicon Valley, who is hopelessly enamored with anything related to old Porsches.",Female
14,"Porsche is leading P1, GTE Pro, and GT AM! Go Porsche! #LM24 #porsche",Richard,Richard,"Mobile user experience design leader based in Silicon Valley, who is hopelessly enamored with anything related to old Porsches.",Female
15,Porsche is second and third in GTE Pro class at Le Mans at two hours after rain episode. Safety cars are still out. #LM24 #Porsche,Richard,Richard,"Mobile user experience design leader based in Silicon Valley, who is hopelessly enamored with anything related to old Porsches.",Female
16,"Rain and carnage with Audi, Toyota, and a GTE Pro Ferrari with Porsche 20 in third ! #LM24 #Porsche919hybrid",Richard,Richard,"Mobile user experience design leader based in Silicon Valley, who is hopelessly enamored with anything related to old Porsches.",Female
17,Google Developers Blog: A conversation about design http://t.co/M783GFJhTQ,Richard,Richard,"Mobile user experience design leader based in Silicon Valley, who is hopelessly enamored with anything related to old Porsches.",Female
18,@danolsen did a great job kicking off the first “Lean Product &amp; #LeanUX #Meetup tonight in Palo Alto: http://t.co/0ab4ghDzk8 #leanstartup,Richard,Richard,"Mobile user experience design leader based in Silicon Valley, who is hopelessly enamored with anything related to old Porsches.",Female
19,".@senatorboxer Please co-sponsor HR 3494/S 1708, the Bicycle and Pedestrian Safety Act.",Richard,Richard,"Mobile user experience design leader based in Silicon Valley, who is hopelessly enamored with anything related to old Porsches.",female
20,".@RepAnnaEshoo Please co-sponsor HR 3494, the Bicycle and Pedestrian Safety Act.",Richard,Richard,"Mobile user experience design leader based in Silicon Valley, who is hopelessly enamored with anything related to old Porsches.",female
21,"I ran across an inspiring presentation today called ""Making Something People Love"" by @alexisohanian. Thanks for sharing Alexis!",Richard,Richard,"Mobile user experience design leader based in Silicon Valley, who is hopelessly enamored with anything related to old Porsches.",female
22,@interactivemark Have a great trip!,Richard,Richard,"Mobile user experience design leader based in Silicon Valley, who is hopelessly enamored with anything related to old Porsches.",female
23,Facebook Is Buying Huge Messenger App WhatsApp For $19 Billion! http://t.co/PvfD2GPZEb,Richard,Richard,"Mobile user experience design leader based in Silicon Valley, who is hopelessly enamored with anything related to old Porsches.",Female
24,"I just finished my fourth bike ride of the week, which adds up to 73+ miles total this week. :)",Richard,Richard,"Mobile user experience design leader based in Silicon Valley, who is hopelessly enamored with anything related to old Porsches.",Female
25,@interactivemark Happy Thanksgiving. :),Richard,Richard,"Mobile user experience design leader based in Silicon Valley, who is hopelessly enamored with anything related to old Porsches.",Female
26,@tomiahonen Do you have any stats or predictions on mobile game revenue growth on smart phones?,Richard,Richard,"Mobile user experience design leader based in Silicon Valley, who is hopelessly enamored with anything related to old Porsches.",Female
