numberOfTweet,text,user name,screen name,description,gender
1,Listening to @Veronica talk to @Stewart about 🤖 https://t.co/6rQY9VN6Qc,Ryan Block,ryan,Co-founder / product @Begin. Co-host of @MVPtheshow. Co-life of @Veronica. Fighter of entropy. Master photobomber. Sic transit gloria mundi.,Female
2,"@allafarce YES! Ps thanks for coming to my session, was great to meet you ✌️",Ryan Block,ryan,Co-founder / product @Begin. Co-host of @MVPtheshow. Co-life of @Veronica. Fighter of entropy. Master photobomber. Sic transit gloria mundi.,female
3,"Still unpacking this weekend at #foocamp. Thanks to @sarawinge, @timoreilly, and their whole team for creating such a special place.",Ryan Block,ryan,Co-founder / product @Begin. Co-host of @MVPtheshow. Co-life of @Veronica. Fighter of entropy. Master photobomber. Sic transit gloria mundi.,Female
4,"If it wasn't already clear, messaging is the canvas of the future.",Ryan Block,ryan,Co-founder / product @Begin. Co-host of @MVPtheshow. Co-life of @Veronica. Fighter of entropy. Master photobomber. Sic transit gloria mundi.,Female
5,Siri API. So stoked.,Ryan Block,ryan,Co-founder / product @Begin. Co-host of @MVPtheshow. Co-life of @Veronica. Fighter of entropy. Master photobomber. Sic transit gloria mundi.,Female
6,@jdinca known hacks or workarounds? Wait until 2 weeks before? Something else??,Ryan Block,ryan,Co-founder / product @Begin. Co-host of @MVPtheshow. Co-life of @Veronica. Fighter of entropy. Master photobomber. Sic transit gloria mundi.,Female
7,@NickCho at this point I'm feeling so gouged I wouldn't be surprised if it was per-leg-per-leg(-per-person),Ryan Block,ryan,Co-founder / product @Begin. Co-host of @MVPtheshow. Co-life of @Veronica. Fighter of entropy. Master photobomber. Sic transit gloria mundi.,Female
8,Learned this evening that some carriers (ahem Lufthansa) charge per-person-per-leg for seat selection. Came out to be $200 extra. wtffffff 👎,Ryan Block,ryan,Co-founder / product @Begin. Co-host of @MVPtheshow. Co-life of @Veronica. Fighter of entropy. Master photobomber. Sic transit gloria mundi.,Female
9,Congrats to @dougw and @erondu on shipping @withcopper today! 👏👏👏 https://t.co/TMMsM7B61d,Ryan Block,ryan,Co-founder / product @Begin. Co-host of @MVPtheshow. Co-life of @Veronica. Fighter of entropy. Master photobomber. Sic transit gloria mundi.,Female
10,"@peterrojas I still can't believe you haven't gotten yours yet -- you ordered before I did, and mine showed up this week.",Ryan Block,ryan,Co-founder / product @Begin. Co-host of @MVPtheshow. Co-life of @Veronica. Fighter of entropy. Master photobomber. Sic transit gloria mundi.,Female
