numberOfTweet,text,user name,screen name,description,gender
1,BAM!  https://t.co/ZIpc9lVSYX,Saïda Maggé,saida,Presentator/verslaggever AT5 Nieuws & Straten van Amsterdam,Female
2,"Politie A' dam heeft een verdachte aangehouden in de zaak van de doodgestoken fietsenmaker Temel 
Kobya: https://t.co/dFlTh1PWaB",Saïda Maggé,saida,Presentator/verslaggever AT5 Nieuws & Straten van Amsterdam,female
3,Gewonden bij ongeluk met Nederlandse bus in België https://t.co/85PCyDPfDt,Saïda Maggé,saida,Presentator/verslaggever AT5 Nieuws & Straten van Amsterdam,Female
4,Om 14 uur steken zo'n 7500 mensen de pontonbrug over en wij doen… https://t.co/HsISORgJa8,Saïda Maggé,saida,Presentator/verslaggever AT5 Nieuws & Straten van Amsterdam,Female
5,Kom je 11 mei ook naar onze lenteborrel in Vondel CS? Te gast zijn oa @amberbrantsen en @PetraGrijzen. Kaarten=&gt; https://t.co/0zYjmq9eu4,Saïda Maggé,saida,Presentator/verslaggever AT5 Nieuws & Straten van Amsterdam,Female
6,Kom je 11 mei ook naar onze lenteborrel in Vondel CS? Te gast zijn oa @amberbrantsen en @PetraGrijzen. Kaarten=&gt; https://t.co/i12bQV5URF,Saïda Maggé,saida,Presentator/verslaggever AT5 Nieuws & Straten van Amsterdam,Female
7,@fjetz we doen ons best. File...,Saïda Maggé,saida,Presentator/verslaggever AT5 Nieuws & Straten van Amsterdam,Female
8,Wij varen snel door naar de Prinsengracht voor een laatste blokje… https://t.co/kQTO4vbJlI,Saïda Maggé,saida,Presentator/verslaggever AT5 Nieuws & Straten van Amsterdam,Female
9,Groetjes uit de Jordaan! #at5 https://t.co/prk7RusDso,Saïda Maggé,saida,Presentator/verslaggever AT5 Nieuws & Straten van Amsterdam,Female
10,Je hoort mij vandaag niet klagen.. https://t.co/DdiUS3898t,Saïda Maggé,saida,Presentator/verslaggever AT5 Nieuws & Straten van Amsterdam,Female
11,@ponscornelis regenjassie lijkt me verstandiger.,Saïda Maggé,saida,Presentator/verslaggever AT5 Nieuws & Straten van Amsterdam,Female
12,Daar gaan we dan! Tot zo! 🍾 #at5 @ Amsterdam Canals https://t.co/r37yBsRNAZ,Saïda Maggé,saida,Presentator/verslaggever AT5 Nieuws & Straten van Amsterdam,Female
13,:-) https://t.co/1SbxaZpl1w,Saïda Maggé,saida,Presentator/verslaggever AT5 Nieuws & Straten van Amsterdam,Female
