numberOfTweet,text,user name,screen name,description,gender
1,New post: Candy-stripe https://t.co/LkZAbXhEkz,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
2,New post: Kussensloop https://t.co/zl746rrDV2,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
3,New post: Weekend project: Slinger http://t.co/O0BZ5qCRLd,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
4,New post: De laatste maanden... http://t.co/pTsnbxhzfp,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
5,@JoshuaL met dank aan de Nederlanders hoor ik net naast mij,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
6,@ess_ester nou he! Het is ook nooit goed,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
7,"@x_Diana_x woah , super goed!",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
8,"@kaatblaat1 maar het is zeker de moeite dit eens uit te zoeken, thanks for the tip!",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
9,@kaatblaat1 is hij nu niet meer geldig lijkt mij. Vind een jaar wel erg kort voor een bon die 38 euro waard is,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
10,@kaatblaat1 er staat op dat de bon 1 jaar na dato niet meer geldig is een ze adviseren de bon te bewaren. Aangezien ik in feb. jarig was...,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
11,"Vind de high tea cadeaubon van @hema die ik voor mn birthday kreeg terug &amp;kijk waar k m kan gebruiken, blijkt hij verlopen Ben echt even sip",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
12,Ik word echt niet blij van mn studie. Drie kwartier ideeën gezocht voor mn kleuterklas en ik voel me al een stuk beter!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
