numberOfTweet,text,user name,screen name,description,gender
1,@robyncook7 he actually has said it many times.  He's going to nuke us all,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
2,@rikemohome that's the first time I have heard him described as honest,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",female
3,@Oasis00000 no one is FOR extremists killing Americans,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
4,@damitjanet1 ps I love your avatar,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
5,@damitjanet1 she changed her position several years ago as did the president,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
6,@geniebabe32 he has said many times he is against gay marriage. Hillary was against it and changed on the issue as did Obama,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
7,@VotingFemale I don't get the difference between you and a complete moron.,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
8,@sylrei63  He ain't fighting for us!,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
9,@Camcopgh1 she is using the dirty money to fight for gay rights? I got no problem with that,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
10,@erin_ech403 then why is he still saying he is against it?,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
11,@DanR2830 great so he will kill us then deny us the right to get married,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
12,@erikm0nster @realDonaldTrump well guess what - she is for gay marriage now and that's all that matters!,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
13,DONALD YOU ARE AGAINST GAY MARRIAGE! IS THAT FIGHTING FOR US????  https://t.co/6wO66A99Rw,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
14,I'm in!  https://t.co/ssCXAJzSro,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
15,@MaciCorsick @Bravotv @BravoRHOC season 10 highest rated of all time - we aren't forgetting it!,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
16,@amymlcollins I know you are being serious!,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
17,@LoveAndyC thanks doll,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
18,@Nancy1959 @GavinNewsom you're right - our strictest gun laws don't work! we need to make it harder to get guns,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
19,@MalkaMelanie @Galea430 @GavinNewsom that's because even our toughest gun control laws suck.,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",female
20,@amymlcollins yeah i have to get ahold of myself! it's a long election,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",female
21,"Who should play in the @AllStarGame? Share your #ASGWorthy faves in a video. https://t.co/IWVR9XLxky #ad @esurance
https://t.co/P5DLFMzWKG",Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",female
22,@Galea430 @GavinNewsom no one is debating how Islam treats gay people. we agree we're talking about the problems of guns in America,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",female
23,@theDeannaBarlow @LookStyleGlam @REALStaceyDash I apologized about ten seconds after I said it.,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
24,Yes you are absolutely right!  https://t.co/0NiNJmsROC,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
25,Well done  https://t.co/XB1Jit9dZa,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
26,@AnnCoulter you crack me up. You been drinking lady!,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
27,#PrayForOrlando @ NYC for Orlando at Stonewall Inn https://t.co/z9ApOWN2eO,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
28,@RADryburgh she is wonderful,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
29,"Rally at Stonewall with thousands of my LGBT brothers, sisters and allies to #PrayForOrlando @… https://t.co/Mcd8uiqher",Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
30,"#SouthernCharm is on NOW! Tweet me your Qs for @ClementsLandon, @cameraneubanks and @WSUDLERSMITH!",Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
31,@glorob I love Republicans! Not a fan of Trump. Or bigots.,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
32,@MicheleMHawkins I love my President,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
33,@slm300_steve that's hilarious.,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
34,@1f8adc9d510e4e2 @Littleb10 yup she sure is,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
35,How can a thin-skinned crybaby be the President?? How will that work??,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
36,@sarnone how bout both???,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
37,"@sarnone yeah it's never, ever the gun.",Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
38,@sarnone but they somehow were all able to get their hands on the same piece of machinery.,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
39,"@sarnone just looking at the same rifle used in the last several mass killings. i know they're psychopaths and terrorists,",Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
40,"#RIP some of our gay brothers, sisters and allies. #PrayForOrlando https://t.co/B6PqyVLQPW",Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
41,@laurabullock1 💗,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
42,@QuimbyJared I'm not anti 2nd amendment. I am anti-assault rifle,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
43,Going live on @RadioAndySXM for two hours NOW,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
44,"It's time to ban the AR-15. Come on Congress, grow a pair. There are plenty of guns people can own. People don't need assault rifles.",Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
45,@shotcalla 💗,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",female
46,@LJS3322 they targeted gay people who they hate.  With an automatic rifle.,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
47,Thanks 💗 https://t.co/zqfmQYE34f,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
48,See you in three minutes #WWHL,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
49,@svedder2002 @MichaelSkolnik it certainly won't be a problem getting your hands on one!,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
50,We're back tonight &amp; #Shahs is on NOW! Tweet me all of your Qs for @alphasherv &amp; @BrandiGlanville!,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
51,@jjs1010 I'm sharing a pretty picture. Get off my jock,Andy Cohen,Andy,"#WWHL Host, Instagram: @bravoandy, Snapchat: AndysGotThe411, check out @RadioAndySXM - ch 102, go to https://t.co/wmQGwh2QWF for tour info",Female
