numberOfTweet,text,user name,screen name,description,gender
1,#Coachella2016 #Coachella https://t.co/GLp0zDjxJz,Anna,Anna,IG: annaaaa14,Female
2,Back at it again with the headbands! #coachella2016 https://t.co/LMzibnDqTt,Anna,Anna,IG: annaaaa14,female
3,Goal:  Stalk Mickey ✔️ https://t.co/Tns9TvKbEn,Anna,Anna,IG: annaaaa14,Female
4,"""Being intelligent is sexy, don't play stupid.""",Anna,Anna,IG: annaaaa14,Female
5,Home sweet home #Oakland http://t.co/BZis3szyRw,Anna,Anna,IG: annaaaa14,Female
6,Friday vibes 🌸 http://t.co/sZXhbrGfPt,Anna,Anna,IG: annaaaa14,Female
7,😎 http://t.co/aoSRkPykC0,Anna,Anna,IG: annaaaa14,Female
8,Walk past me again... https://t.co/TdIpmk5lkV,Anna,Anna,IG: annaaaa14,Female
9,Totes http://t.co/VlEZjz7dur,Anna,Anna,IG: annaaaa14,Female
10,#motto http://t.co/yLmMN2Iaqr,Anna,Anna,IG: annaaaa14,Female
11,My life is in shambles http://t.co/rn8DUVWNL2,Anna,Anna,IG: annaaaa14,Female
12,"Be my backbone, everyone needs a spine 🎶",Anna,Anna,IG: annaaaa14,Female
13,"When you're 300 miles away, but insist that they act as if you are there anyway #LeaveSpaceForMe http://t.co/jCwjZ6kMBe",Anna,Anna,IG: annaaaa14,Female
14,#DubNation http://t.co/8nKIIp2Ca8,Anna,Anna,IG: annaaaa14,Female
15,#Coachella2015 http://t.co/k9WoWIm3hc,Anna,Anna,IG: annaaaa14,Female
16,#Coachella2015 http://t.co/bMQ9BdxDV2,Anna,Anna,IG: annaaaa14,Female
17,#Coachella2015 http://t.co/soOB6RIXsO,Anna,Anna,IG: annaaaa14,Female
18,Spending New Year's Day the right way ✌️ http://t.co/uIEXbYbYnZ,Anna,Anna,IG: annaaaa14,Female
19,Do you work at a seafood market? Cuz you sell fish.,Anna,Anna,IG: annaaaa14,female
20,SNOWBOARDING!! FINALLLLLLLYYYYYYY!!,Anna,Anna,IG: annaaaa14,female
21,@Magnuson oo gross TMI hahaha,Anna,Anna,IG: annaaaa14,female
