numberOfTweet,text,user name,screen name,description,gender
1,"I made coquito last night and its already all gone, time to make more. 🎄Feliz Navidad 🎄 #coquito… https://t.co/ZbDetBS9cu",Carla,Carla,This is ME! Boricua 100% and proud!,Female
2,Date night with the hubby 😘 #patsnation #patriotsfan #suitelife https://t.co/L3CbWb5uti,Carla,Carla,This is ME! Boricua 100% and proud!,female
3,#teamcotto #fightnight #cottocanelo  🇵🇷 https://t.co/iv8h6x6Ifn,Carla,Carla,This is ME! Boricua 100% and proud!,Female
4,Triple Threat 💃🏻👯😍 #ballet #jazz #tennis  They keep me busy at all times #girlpower https://t.co/qTmsH2iWbV,Carla,Carla,This is ME! Boricua 100% and proud!,Female
5,"Question - My PS4 storage is full, PS4 online storage also full, what are my options? @PlayStation #PS4 #playstationnetwork #gamer",Carla,Carla,This is ME! Boricua 100% and proud!,Female
6,Hola! Has anyone seen #Minions and #InsideOut Which movie is better? 🎥,Carla,Carla,This is ME! Boricua 100% and proud!,Female
7,When your mom says get dress to see #fireworks you put on a #princess dress! 😉👗👭 Happy 4th with… https://t.co/Wufo0TpaC5,Carla,Carla,This is ME! Boricua 100% and proud!,Female
8,Sister time with @paolacviera today! 1st #nails then #starbucks https://t.co/e2iiw5QnXE,Carla,Carla,This is ME! Boricua 100% and proud!,Female
9,Alyssa's award ceremony was today! #awardsfordays #honorroll #proudparents #jrhighnextyear more… https://t.co/6ZNllROcH2,Carla,Carla,This is ME! Boricua 100% and proud!,Female
10,Out w the Mr. #businessmeeting #ibeendrinking https://t.co/THC9QuYWgA,Carla,Carla,This is ME! Boricua 100% and proud!,Female
11,Congratulations ALYSSA!!! Aly met all the requirements and passed the tests to enter the Magnet… https://t.co/UvUUHTQtYe,Carla,Carla,This is ME! Boricua 100% and proud!,Female
12,No running around tonight plz! Fight Night at the house #fightnight  #mayweatherpacquiao https://t.co/KpexZ3GALU,Carla,Carla,This is ME! Boricua 100% and proud!,Female
13,Fitness time with the girls day 1  #powerwalking ☀️ https://t.co/Q5jPQYlOjH,Carla,Carla,This is ME! Boricua 100% and proud!,Female
14,"@Folica I just made my purchase, thanks! :)",Carla,Carla,This is ME! Boricua 100% and proud!,Female
15,@Folica i tried to purchase some products on Sunday night with the 25% code but it never worked. Will you guys be extending it? Thanks!,Carla,Carla,This is ME! Boricua 100% and proud!,Female
16,1st day of no mas #semillitas i have been eating a bag a day #addictedforyears #iwantsome #wontlast i… https://t.co/um6hCAxRq3,Carla,Carla,This is ME! Boricua 100% and proud!,Female
17,Ready for #fightnight #mayweathermaidana2 #boxingtime #nocookingtonight http://t.co/dhFkcuIS07,Carla,Carla,This is ME! Boricua 100% and proud!,Female
18,Alyssa and Sofia's #firstdayofschool #1stgrade #5thgrade #pearland #nomorebabies 😂👭✏️📓🎨📚 http://t.co/PNaHCUxMe6,Carla,Carla,This is ME! Boricua 100% and proud!,Female
19,Just another fun Sunday at the beach in #galveston under the #supermoon #roastingmarshmallows… http://t.co/lpYta1H7hd,Carla,Carla,This is ME! Boricua 100% and proud!,female
20,Boxing night with the hubby but he got K.O.'d aka sleeping! @SHOsports #GarciaSalka,Carla,Carla,This is ME! Boricua 100% and proud!,female
21,Atención Alicia:  Mami esta foto es para ti 😉😝 me falto tomarle foto a la yuca frita y al 3 leches.… http://t.co/spfj2ra9D2,Carla,Carla,This is ME! Boricua 100% and proud!,female
22,Today they opened a #pollotropical in #pearland So excited!!! Yummy! #boricua #quieropollo #mifamilia http://t.co/OW1URJhlg4,Carla,Carla,This is ME! Boricua 100% and proud!,female
