numberOfTweet,text,user name,screen name,description,gender
1,"""Pets on Balconies"" now added to my ""Pets In Windows"" blog page https://t.co/4qvKOp4Xgs",cindiforeman,cindiforeman,"If I'm not painting or sketching the present, I'm researching the past.",Female
2,#DailySketch in my @moleskine - Pets on balconies: Cooper cats #gouache #watercolour #ink https://t.co/lhAByx3FSB,cindiforeman,cindiforeman,"If I'm not painting or sketching the present, I'm researching the past.",female
3,"#Grateful to artsy folks who share their gifts freely on social media
#Inspired by #SandrinePelissier @bdelpesco @GurneyJourney @ParkaBlogs",cindiforeman,cindiforeman,"If I'm not painting or sketching the present, I'm researching the past.",Female
4,"By subscribing to @POETSorg's poem-a-day &amp; I often discover poets (new 2 me) like Vijay Seshadri 
Today: ""Road Trip"" https://t.co/LHjBO22ZHh",cindiforeman,cindiforeman,"If I'm not painting or sketching the present, I'm researching the past.",Female
5,Love this! https://t.co/961pfvY0Y9,cindiforeman,cindiforeman,"If I'm not painting or sketching the present, I'm researching the past.",Female
6,My #ArtistRetreat Option #2 🎨 https://t.co/s7Yml5VkQ6,cindiforeman,cindiforeman,"If I'm not painting or sketching the present, I'm researching the past.",Female
7,"#ArtistRetreat?
Bob Hope's house (2466 Southridge Dr, Palm Springs, CA) reduced to sell $24m (mthly mortgage $91k) https://t.co/EiGZB2t6gZ",cindiforeman,cindiforeman,"If I'm not painting or sketching the present, I'm researching the past.",Female
8,Vigil @ Human Rights monument #Ottawa for #Orlando with @cmckenney @cathmckenna &amp; many others #loveislove #lovewins https://t.co/eWD2Fai4nS,cindiforeman,cindiforeman,"If I'm not painting or sketching the present, I'm researching the past.",Female
9,Gathering at the Human Rights monument on Elgin #ottawa for #Orlando #loveislove #LoveWins https://t.co/JNAqdXCQ06,cindiforeman,cindiforeman,"If I'm not painting or sketching the present, I'm researching the past.",Female
10,#LoveIsLove https://t.co/DUYIX5lj2P,cindiforeman,cindiforeman,"If I'm not painting or sketching the present, I'm researching the past.",Female
