numberOfTweet,text,user name,screen name,description,gender
1,do good things,Cody Johns,Cody,artist,Female
2,"Yay okay soon :)

&lt;3",Cody Johns,Cody,artist,female
3,Thinking about doing a #TextMeCody soon with my number. Always wanted to do it. Would anyone be down?,Cody Johns,Cody,artist,Female
4,1 week away from EUROPE! I hope I see some of you. Where should I visit?,Cody Johns,Cody,artist,Female
5,"Sometimes in life, we can't understand why certain things happen.",Cody Johns,Cody,artist,Female
6,always overthinking,Cody Johns,Cody,artist,Female
7,I voted today!,Cody Johns,Cody,artist,Female
8,"I will be traveling to Europe this summer :)
Hopefully I'll run into some of my European fans!",Cody Johns,Cody,artist,Female
9,I can understand grunting in the gym when lifting heavy weight. But some of these guys get a little overboard with the loud moans every rep.,Cody Johns,Cody,artist,Female
10,Froyo had been the obsession lately.,Cody Johns,Cody,artist,Female
11,How to bring the trash cans back up to the house. #howto #lazy https://t.co/AEyGL9ot8z,Cody Johns,Cody,artist,Female
12,headphones https://t.co/JsmyuSTKsF,Cody Johns,Cody,artist,Female
13,"205 bench at 160 lbs.
Progress 🏋🏼 #lightweight https://t.co/7LKEesfbiT",Cody Johns,Cody,artist,Female
14,love you all,Cody Johns,Cody,artist,Female
15,@aaronm246 thank you my friend!,Cody Johns,Cody,artist,Female
16,thank you,Cody Johns,Cody,artist,Female
17,"save water  
https://t.co/lxURioLXji",Cody Johns,Cody,artist,Female
18,ramen 🍜,Cody Johns,Cody,artist,Female
19,BBQ,Cody Johns,Cody,artist,female
20,Brunch,Cody Johns,Cody,artist,female
21,School is,Cody Johns,Cody,artist,female
22,need ya,Cody Johns,Cody,artist,female
23,HOLA!,Cody Johns,Cody,artist,Female
24,"it takes time 

dont rush it",Cody Johns,Cody,artist,Female
25,goodnight!,Cody Johns,Cody,artist,Female
26,There's a big difference between :) and ;),Cody Johns,Cody,artist,Female
27,Be a treasure among the trash.,Cody Johns,Cody,artist,Female
28,"Hello, Las Vegas :)
What's good?",Cody Johns,Cody,artist,Female
29,"Sometimes, the hardest thing to tell someone is, 'you were right'.",Cody Johns,Cody,artist,Female
30,How are all my friends on here doing?,Cody Johns,Cody,artist,Female
31,Haha awesome. It's been showing a lot lately! 📺 https://t.co/NSTxphDtB3,Cody Johns,Cody,artist,Female
32,don't come to LA to find love,Cody Johns,Cody,artist,Female
33,Hello friends. Hope you're having a great Sunday :),Cody Johns,Cody,artist,Female
34,🍉🍉🍉 https://t.co/X6tHf7bxLj,Cody Johns,Cody,artist,Female
35,It's Watermelon season 🍉,Cody Johns,Cody,artist,Female
36,It's Friday. Breathe.,Cody Johns,Cody,artist,Female
37,It's time to be happy,Cody Johns,Cody,artist,Female
38,i like ya style,Cody Johns,Cody,artist,Female
39,"@RyanWesleySmith @Uber that's baloney dude, you have to verbally tell him to stop doing that.",Cody Johns,Cody,artist,Female
40,Monday = Work work work work work.,Cody Johns,Cody,artist,Female
41,I love it when people sing 'Happy Birthday' together in the same key. #musicianOCD,Cody Johns,Cody,artist,Female
42,This server just brought out our pizza. Some heroes don't wear capes.,Cody Johns,Cody,artist,Female
43,Happy Sunday my ❤️'s,Cody Johns,Cody,artist,Female
44,Sometimes it's tough to know what God's plan is for you.,Cody Johns,Cody,artist,Female
45,Remove the distractions and focus on your art.,Cody Johns,Cody,artist,female
46,Hi,Cody Johns,Cody,artist,Female
47,I'm not a fan of the new Instagram logo :(,Cody Johns,Cody,artist,Female
48,Congrats to all who are graduating or just graduated high school / college! That is a huge accomplishment. Proud of you all!,Cody Johns,Cody,artist,Female
49,I really want to go back to France this summer 🇫🇷,Cody Johns,Cody,artist,Female
50,"If you're in a bad mood, sing. Doesn't matter if you're good or not, it helps.",Cody Johns,Cody,artist,Female
51,Summer six pack 🏋🏼,Cody Johns,Cody,artist,Female
52,Happy Mother's Day to all the amazing mom's out there!,Cody Johns,Cody,artist,Female
53,hi,Cody Johns,Cody,artist,Female
54,sleep well friends,Cody Johns,Cody,artist,Female
55,"Things could be better, but it could also be worse.",Cody Johns,Cody,artist,Female
56,I don't notice the negativity.,Cody Johns,Cody,artist,Female
57,"All I need is you, Lord.",Cody Johns,Cody,artist,Female
58,I know a lot of you are experiencing the struggle of taking final exams this week. Good luck. You can do it!,Cody Johns,Cody,artist,Female
59,@rachel_keaton family goals!! 💕,Cody Johns,Cody,artist,Female
60,Grover will melt your heart 💕 https://t.co/boblKE3DZV,Cody Johns,Cody,artist,Female
61,Everyone should own at least 2 phone chargers,Cody Johns,Cody,artist,Female
62,hello,Cody Johns,Cody,artist,Female
63,:),Cody Johns,Cody,artist,female
64,This is Cody https://t.co/xLBAAq3A8T,Cody Johns,Cody,artist,Female
65,Too many people try to act 'bad'. Where are all the good ppl?,Cody Johns,Cody,artist,Female
66,"Feeling good today. Thank you, God.",Cody Johns,Cody,artist,Female
67,good music is candy to my ears,Cody Johns,Cody,artist,Female
68,Don't wait for anyone else. Create your own success.,Cody Johns,Cody,artist,female
69,good morning friends!,Cody Johns,Cody,artist,female
70,What color are your eyes?,Cody Johns,Cody,artist,female
71,Do any of my followers have or know someone with 2 different color eyes?,Cody Johns,Cody,artist,female
72,Blue eyes,Cody Johns,Cody,artist,female
73,I'd rather have a couple great songs than a thousand decent ones.,Cody Johns,Cody,artist,female
74,bonjour!,Cody Johns,Cody,artist,female
75,Hey friends. Been spending some time with family. Hope you've all had an awesome day ❤️.,Cody Johns,Cody,artist,female
76,You can't make everyone happy.,Cody Johns,Cody,artist,female
77,"If you're feeling down, get yourself a milkshake and you'll feel better.",Cody Johns,Cody,artist,female
78,I appreciate you,Cody Johns,Cody,artist,female
79,Prayers get answered,Cody Johns,Cody,artist,female
80,Don't let fear hinder you from achieving your goals.,Cody Johns,Cody,artist,female
81,The biggest struggle is finding joy in difficult times.,Cody Johns,Cody,artist,female
82,good feelings,Cody Johns,Cody,artist,female
83,Cherish life's beautiful moments.,Cody Johns,Cody,artist,female
84,"If you're blessed, be a blessing to others.",Cody Johns,Cody,artist,female
85,You'll be okay.,Cody Johns,Cody,artist,female
86,@DennisTodisco need this hat 🙌🏻,Cody Johns,Cody,artist,female
87,Just played rock-paper-scissors against a random kid in a different car on the highway. Epic.,Cody Johns,Cody,artist,female
88,You know what's best for you.,Cody Johns,Cody,artist,female
89,I highly recommend being happy.,Cody Johns,Cody,artist,female
90,Still have never been to Coachella. This is a problem.,Cody Johns,Cody,artist,female
91,Hola,Cody Johns,Cody,artist,female
92,Change for the better,Cody Johns,Cody,artist,female
93,Buenas noches,Cody Johns,Cody,artist,female
94,Thankful for another day to be alive!,Cody Johns,Cody,artist,female
95,What countries around the world should I visit?,Cody Johns,Cody,artist,female
96,"MY FRIENDS, HELLO!",Cody Johns,Cody,artist,female
97,hello,Cody Johns,Cody,artist,female
98,@liliangelarc_00 hi!,Cody Johns,Cody,artist,female
