numberOfTweet,text,user name,screen name,description,gender
1,“The Coast Is Always Changing” by @maximopark is my new jam. Listen: http://t.co/lrd7DFKoYb,Elle Flanders,Elle,,Female
2,“Pineapple Princess” by Annette Funicello is my new jam. http://t.co/KwPpcxu6P5,Elle Flanders,Elle,,female
3,VERONICA MARS! http://t.co/AuR3xPwVl8,Elle Flanders,Elle,,Female
4,Lovely http://t.co/BRf8gWnQ,Elle Flanders,Elle,,Female
5,“Africa” by Toto is my new jam.  ♫ http://t.co/GKOfLAYe,Elle Flanders,Elle,,Female
6,#chevron http://t.co/5EzlOYkc,Elle Flanders,Elle,,Female
7,Just posted a photo http://t.co/n9q0VxsB,Elle Flanders,Elle,,Female
8,“Gotta Get Mine” by MC Breed is my new jam.  ♫ http://t.co/5Im9ZsmB,Elle Flanders,Elle,,Female
9,“Ghetto Bastard (Everythings Gonna be Alright)” by Naughty By Nature is my new jam.  ♫ http://t.co/En9XxEhC,Elle Flanders,Elle,,Female
10,Just posted a photo  @ MRM Worldwide http://t.co/OTaXEmij,Elle Flanders,Elle,,Female
11,“Ambling Alp” by Yeasayer is my new jam.  ♫ http://t.co/r1SeKDb1,Elle Flanders,Elle,,Female
12,New seats. New stadium. Same old Bears.  @ California Memorial Stadium http://t.co/UVCNe5Kr,Elle Flanders,Elle,,Female
13,Just posted a photo  @ California Memorial Stadium http://t.co/JEA5cf6D,Elle Flanders,Elle,,Female
14,“The Love Cats” by The Cure is my new jam.  ♫ http://t.co/ZI7vEtrM,Elle Flanders,Elle,,Female
15,“VCR” by The xx is my new jam.  ♫ http://t.co/vxl0NUWd,Elle Flanders,Elle,,Female
16,“A Chicken With Its Head Cut Off” by The Magnetic Fields is my new jam.  ♫ http://t.co/37lMvZ2U,Elle Flanders,Elle,,Female
17,Just posted a photo http://t.co/Y5wF8N4w,Elle Flanders,Elle,,Female
18,Just posted a photo http://t.co/CYjChQIa,Elle Flanders,Elle,,Female
19,“Young Americans” by David Bowie is my new jam.  ♫ http://t.co/43nkvVJ7,Elle Flanders,Elle,,female
20,Just posted a photo http://t.co/OmxZXLRx,Elle Flanders,Elle,,female
21,Transit of Venus 2012 http://t.co/6aLSFJvw,Elle Flanders,Elle,,female
22,“You Are the Light (By Which I Travel Into This and That)” by Jens Lekman is my new jam.  ♫ http://t.co/4ME5WDKq,Elle Flanders,Elle,,female
23,Shadows just before totality http://t.co/kXo10MHo,Elle Flanders,Elle,,Female
24,Just posted a photo http://t.co/OLhA36Ce,Elle Flanders,Elle,,Female
25,“Mr. Peppermint Man” by Dick Dale is my new jam.  ♫ http://t.co/c7S8n8ko,Elle Flanders,Elle,,Female
26,“Personality Crisis” by New York Dolls is my new jam.  ♫ http://t.co/3Jmlpd4m,Elle Flanders,Elle,,Female
27,Just posted a photo http://t.co/MEQmWqEv,Elle Flanders,Elle,,Female
28,“Still Fly” by Big Tymers is my new jam.  ♫ http://t.co/6hxOzw9y,Elle Flanders,Elle,,Female
29,Just posted a photo http://t.co/PB5eICcD,Elle Flanders,Elle,,Female
30,“The Times They Are A-Changin'” by Bob Dylan is my new jam.  ♫ http://t.co/ivZ8jSQO,Elle Flanders,Elle,,Female
31,Just posted a photo http://t.co/GZ4dxhIV,Elle Flanders,Elle,,Female
32,Easter Sunday   @ South Davis http://t.co/EO0jrxRG,Elle Flanders,Elle,,Female
33,“April Skies” by The Jesus and Mary Chain is my new jam.  ♫ http://t.co/m5J9fJJ2,Elle Flanders,Elle,,Female
34,Bye Anne!   @ Isobar North America http://t.co/CPsz1YiD,Elle Flanders,Elle,,Female
35,RT @neatorama - Print Encyclopedias Selling Like Hotcakes http://t.co/kaSEYFou #recycled #mybad,Elle Flanders,Elle,,Female
36,http://t.co/RrR65MMQ,Elle Flanders,Elle,,Female
37,“The 15th” by Wire is my new jam. ♫  http://t.co/pxMp3rAg,Elle Flanders,Elle,,Female
38,“Bela Lugosi's Dead” by Bauhaus is my new jam. ♫  http://t.co/UL5bVfZN,Elle Flanders,Elle,,Female
39,“Suspended From Class” by Camera Obscura is my new jam. ♫  http://t.co/oxmMCDdC,Elle Flanders,Elle,,Female
40,“Bruises” by Chairlift is my new jam. ♫  http://t.co/gEuiZyxC #thisismyjam,Elle Flanders,Elle,,Female
41,“The Killing Moon” by Echo And The Bunnymen is my new jam. ♫  http://t.co/gEuiZyxC #thisismyjam,Elle Flanders,Elle,,Female
42,@almitra happy birthday ohway ohway ohway,Elle Flanders,Elle,,Female
43,.....meh,Elle Flanders,Elle,,Female
