numberOfTweet,text,user name,screen name,description,gender
1,Red Hot Chili Peppers 👌,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
2,@Aymenism we already disagree on most things. You need more bruh?,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",female
3,@aymenism laish?,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
4,@aymenism no,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
5,Learn Web Design today! I've curated my personal favorite books and tools here https://t.co/wllWoc4qn8 #codingisfun #learningiscool,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
6,Tutset:  Curated list of the best programming tutorials on the web. https://t.co/SPmNGNQ3yg via @producthunt,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
7,Chivalry is so fucking dead. And i dont fucking care.,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
8,@clementinesky that's cool!,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
9,@clementinesky *know,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
10,@clementinesky yeah I didn't meow :(,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
11,@clementinesky yeah. It was a month ago. Someone hit my back. It's ok.,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
12,"Oh apparently, the police didn't indicate any damage for my car....",Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
13,"@linavasili I dont know, but that's what they said...",Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
14,@june_aid alrighty.. I'll have to skip work I guess.,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
15,@AbdallaZamzam do you know until when is the police report valid?,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
16,"@linavasili green. My insurance's Ramadan inspection timing is 9-12 , I dont know how to bring my car to them.",Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
17,"The question is, what will happen if I don't bring my car for fixing....",Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
18,Guys.. so i got into an accident couple of weeks back. Someone hit my car's back and my plate is slightlt dented. Have police report.,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
19,Graduation is an awesome album #yeezy,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",female
20,Seriously? @Dubai92 @TheTonyAwards,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",female
21,Do you need e-mail marketing help? I'm here. https://t.co/eDIAUF417K #mailchimpexpert,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",female
22,@RedAlbiceleste yes. But anyone really ...,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",female
23,@RedAlbiceleste Germany.,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
24,@RedAlbiceleste yeah. Ruining my zzzzzs,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
25,I should not keep up with the games and sleep instead. Need to wake up in 4 hrs for work and I ain't sleepy yet.,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
26,A dip is what it is. Sa7.,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
27,"If it's not made of chickpeas, why are you calling it hummus?",Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
28,"Dell XPS 13 for sale, barely used (&lt; month), message me for details #bestlaptop2016 #2015also",Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
29,"For sure I'mma make it hot, baby",Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
30,"“You find me offensive, I find you offensive. For finding me offensive.”",Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
31,"You're so vain, you probably think this song is about you. You're so vain, I'll bet you think this song is about you.",Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
32,"@redalbiceleste it is ridiculous really. I’m afraid some are doing it because they think it’s a “cool, young, thinking person” thing to do.",Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
33,"@redalbiceleste what I don’t get is why do people hate her so much that they would choose the other. Bet. a liar &amp; a joke, go for the joke?",Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
34,"@redalbiceleste I agree to a certain extent. See, The Prince by Nicolo Machiavelli Chapter XVIII",Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
35,"@redalbiceleste not defending anyone, lying is part of the job.  And because of this people would vote for say, Trump, over her?",Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
36,"I’m also wondering if any of those who hate Hillary, hates her for a reason other than, young people seem to think so.",Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
37,I don’t understand why some don’t like Clinton and would rather have any of the other presidentiables as president (other than Sanders).,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
38,1.5 hours more………….,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
39,Also I had a pleasant drive to work today.,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
40,Anyway sticking to the rules again and will not let anyone bully me to speed up...,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
41,Been driving here for 3 years now &amp; I've only gotten traffic fines this year... wondering if im getting worse or there are more cams now,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
42,@marcoalza @BinduRai @StuartCrocker @danielmarcevans wait is eating illegal already?,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
43,I hate being sick 😷 I dont know what to do,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
44,@marcoalza I think that scan plates and is instantly connected HQ...where?,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
45,"Finally got this @rod.judkins book 😚 love this reminder, ""The perfect workplace or mood do… https://t.co/Xl3NsUqmfi https://t.co/zi9ITL7JCb",Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",female
46,"@SimonPThurston using the left lane only for overtaking, or switching lanes late..bad luck...they're everywhere recently",Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
47,@shayandahalf ok see ya I'm booking Friday for u let me know what time,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
48,@shayandahalf is Bookmunch open during the day. Also.. food. Hahaha,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
49,@shayandahalf so far my Friday is open so book it now. What time,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
50,@shayandahalf @BookMunchDxb or evening,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
51,@shayandahalf @BookMunchDxb I can do morning,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
52,@shayandahalf lol ..  :),Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
53,@shayandahalf with what,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
54,@ltescari are there a lot of bad ones? @RTA_Dubai,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
55,@ltescari @RTA_Dubai he endangered our lives tonight. Including my 2yo godson and I can't let this pass,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
56,@RTA_Dubai I need to report a bus driver that's driving bad and endangering people. How?,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
57,AKG Y50 is 👌🎶 https://t.co/qzsJyuP7Ku https://t.co/hFhohLmjlv,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
58,"Airmax shoes, that's true. 🐼 https://t.co/x27z4bCFrH https://t.co/2Mf58ilApk",Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
59,Shukran for helping embare7 https://t.co/EraTvShrw9 https://t.co/hcrqM43I5q,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
60,"Getting ready for hibernation. And after what happened last night, I think the season will… https://t.co/dKFbuv0eMx https://t.co/gGedhUYVyB",Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
61,Oh shit. Taylor and Calvin broke up?,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
62,The best defense against speech that you don't like about yourself as a public figure is to develop a thick skin. You can't stop it. - Bezos,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
63,"""Seek revenge and you should dig two graves — one for yourself.""",Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",female
64,Jeff Bezos on Gawker vs. Peter Thiel: 'Develop a thick skin.' https://t.co/lTrPt4iMR3 via @Recode,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
65,"I was, suspringly, cool with it.",Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
66,"If I were to post my opinion on FB about everything, I wonder if I will still have friends....",Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
67,Happy 🐼 https://t.co/MHaf2HMsxx https://t.co/yn4gx3wzVM,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",Female
68,Tapas! I can't breathe.... https://t.co/V0TtulWNeY https://t.co/Fo5WTfP6iU,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",female
69,Famished and have to wait ... where art thou? @ayieparot https://t.co/WvmR83mnxh https://t.co/KqSMEma9qt,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",female
70,"""Peter Thiel Violates Core Principles of Silicon Valley"" by @lazerow on @LinkedIn https://t.co/4ApX0CT7TC",Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",female
71,@saivillafuerte can't open the link :(,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",female
72,"""Addiction is the hallmark of every infatuation-based love story. It all begins when the o… https://t.co/NmFPkT8rdt https://t.co/rVZaAHICHN",Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",female
73,"If you need something from me, why should I call you?",Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",female
74,Sippin' https://t.co/m7pkVIrT8N https://t.co/W0OAteRlY3,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",female
75,Lovely weekend 👌 https://t.co/wFTDB8BvW1 https://t.co/8MkfNQBmi3,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",female
76,Good morning 🌞🌞🌞 https://t.co/sYmKY8qTG4 https://t.co/KlxJkjapPy,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",female
77,Spoiled Kennzies is happy Kennzies.... https://t.co/akfINWvebs https://t.co/MvgO2JvVni,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",female
78,An Open Letter to Peter Thiel https://t.co/5W0wscmsQo,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",female
79,Can't eat with us either. https://t.co/cBwjfXbA2U https://t.co/zTtKvKfXeD,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",female
80,We'll stuff ourselves first before we head to the pool 👌 https://t.co/MzGVMvPE36 https://t.co/eigIUM87W0,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",female
81,Saba7 al khair. Good morning 😘 https://t.co/I0cR25dS10 https://t.co/PzKCqeWO0c,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",female
82,@Cait_12 that was my life two weeks ago until I finished all episodes 😅😅😅 enjoy the weekend!,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",female
83,@Cait_12 Netflix?,Kenna,kenna,"كيفك إنت  
Living in the desert working as a telecommunications engineer.  I design and code whenever I can. Email marketing expert.",female
