numberOfTweet,text,user name,screen name,description,gender
1,The Graduates: Ed Tech Startup Exits Fall From Peak 2014 Levels https://t.co/513AIlCdWF via @cbinsights,Laylah Silva,laylah,"Reimagining teaching....Accelerating learning.  Education Strategist for United Data Technologies. Developing new, scalable solutions in edtech.",Female
2,44 Colleges Join U.S. Experiment on Dual Enrollment https://t.co/jPTCZI5spO,Laylah Silva,laylah,"Reimagining teaching....Accelerating learning.  Education Strategist for United Data Technologies. Developing new, scalable solutions in edtech.",female
3,Watch on #Periscope: olivia https://t.co/Q5XTM204FK,Laylah Silva,laylah,"Reimagining teaching....Accelerating learning.  Education Strategist for United Data Technologies. Developing new, scalable solutions in edtech.",Female
4,@andrescampoudt @UDTCorp  Go check out @MagnetSchlsMSA the natl conference schedule and learn more about great magnet programs @CTEMiami,Laylah Silva,laylah,"Reimagining teaching....Accelerating learning.  Education Strategist for United Data Technologies. Developing new, scalable solutions in edtech.",Female
5,Mentoring at #GirlsPowerTech #Cisco. Great to see girls from @MDCPS @PinesCharter. Innovating Education  @udtcorp https://t.co/nHD0ZKNWND,Laylah Silva,laylah,"Reimagining teaching....Accelerating learning.  Education Strategist for United Data Technologies. Developing new, scalable solutions in edtech.",Female
6,"Microsoft announces teacher-inspired updates for Windows, Office, ‘Minecraft’ https://t.co/gH5gEAUDkG",Laylah Silva,laylah,"Reimagining teaching....Accelerating learning.  Education Strategist for United Data Technologies. Developing new, scalable solutions in edtech.",Female
7,@MiamiSup #DEAR #TheVanishingVelasquez @CoolChiqui is dropping everything and reading #ArtemisFowl! My boys just finished #NoEasyDay.,Laylah Silva,laylah,"Reimagining teaching....Accelerating learning.  Education Strategist for United Data Technologies. Developing new, scalable solutions in edtech.",Female
8,LIVE on #Periscope https://t.co/7YLURcrx9X,Laylah Silva,laylah,"Reimagining teaching....Accelerating learning.  Education Strategist for United Data Technologies. Developing new, scalable solutions in edtech.",Female
9,LIVE on #Periscope: Tristen at Miami Country Day Evening of the Arts https://t.co/yYACILXzOD,Laylah Silva,laylah,"Reimagining teaching....Accelerating learning.  Education Strategist for United Data Technologies. Developing new, scalable solutions in edtech.",Female
10,LIVE on #Periscope https://t.co/OseIGVnAHH,Laylah Silva,laylah,"Reimagining teaching....Accelerating learning.  Education Strategist for United Data Technologies. Developing new, scalable solutions in edtech.",Female
11,LIVE on #Periscope https://t.co/G6jzzExjJD,Laylah Silva,laylah,"Reimagining teaching....Accelerating learning.  Education Strategist for United Data Technologies. Developing new, scalable solutions in edtech.",Female
12,LIVE on #Periscope: Evening of the Arts https://t.co/AVc05FPvmu,Laylah Silva,laylah,"Reimagining teaching....Accelerating learning.  Education Strategist for United Data Technologies. Developing new, scalable solutions in edtech.",Female
13,LIVE on #Periscope: Evening of the Arts at Miami Country Day - Beginning Orchestra https://t.co/fez9WaADVJ,Laylah Silva,laylah,"Reimagining teaching....Accelerating learning.  Education Strategist for United Data Technologies. Developing new, scalable solutions in edtech.",Female
14,LIVE on #Periscope https://t.co/DZPzJU50yS,Laylah Silva,laylah,"Reimagining teaching....Accelerating learning.  Education Strategist for United Data Technologies. Developing new, scalable solutions in edtech.",Female
