numberOfTweet,text,user name,screen name,description,gender
1,An easy way to sum up @realDonaldTrump's speech today is that @AnnCoulter is PSYCHED.,Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
2,.@realDonaldTrump just promised to meet with the NRA to discuss how best to arm us against terrorists. #maniac #GOP #feverdream,Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,female
3,"The people most invested in Obama playing up the ISIS angle: 

1. Your conservative uncle
2. Every other conservative on Twitter
3. ISIS",Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
4,Obama should emphasize that it was ISIS? Should he also mention the URL of their recruitment page? Plug upcoming gigs? Sing the jingle?,Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
5,"If the gun industry was non-profit this wouldn't happen. Every argument against ""let's have fewer mass shootings"" is fueled by greed.",Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
6,Just watched @SenWarren on Thursday's @maddow. I know the strategic arguments against her being the VP pick. I want her to be the VP pick.,Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
7,"You know how #Trump suddenly gets super vague, then yells at people to believe him? I'm no poker expert, but I think that might be a tell.",Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
8,"Too many types of judges would be biased against #Trump, he should get a change of venue. The Hague?",Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
9,"""President Trump, we just installed a powerful new missile defense system. But it's secret. Please don't brag about it, sir.""

""...""",Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
10,"There will never be a @realDonaldTrump email controversy. He'll just talk about classified stuff out loud, in public.",Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
11,"Future generations will laugh at us for having believed in a weather science called ""meteor-ology.""",Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
12,"Big time Warriors supporter, but I have to admit that the Spurs look pretty great this year... may the best team win!",Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
13,"Honest question: Does the Cavs being healthy mean we won't have to hear people chant for that little ""Deli"" guy again? That was annoying.",Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
14,"Trump's bestseller is about how to win by manipulating people. 2nd greatest book, after the Bible, haha. Which he loves, just like you do!",Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
15,TFW your parents move the furniture around in your childhood home and it screws up your Memory Palace.,Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
16,"They should do a study of modern attitudes re: overflowing cream cheese on bagels, in case that's an old-timey thing nobody wants anymore.",Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
17,Are they really going to try to have other basketball seasons after this? Pointless.,Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
18,what if birds all had tiny vestigial hands,Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
19,Could I love someone whose room was as messy as mine is right now? No. Unless they cleaned up. And hid their secret shame. And had a dog.,Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,female
20,"@TDBank_US Unfortunately no account at TD, so no rolls. Normally paid the fee (along with however much Penny accidentally stole, I guess?).",Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,female
21,TFW you carry a backpack full of coins a mile to TD Bank then find out they stopped counting coins as of last Thursday.,Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,female
22,@khealywu Savages,Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,female
23,"This French family thinks ""pepperoni"" means ""green peppers"" and the Sandwich Artist isn't correcting them and it's stressing me out.",Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
24,Your #GoT joke was vague enough that it took two other people's vague jokes to clarify the spoiler. Thanks? #waitingforbooksix,Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
25,"If ""just burn more calories than you eat"" turns out to be a myth then all the thin people who've said it should be forced to eat each other.",Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
26,"Still have nightmares about that ad where camo-face Ted Cruz crouched in the bushes with the Duck Dynasty wizard. ""Yer one of us, my man.""",Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
27,When people say they're taking a break from Facebook they're actually just switching to a special secret Facebook you don't know about.,Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
28,"When ""fantasy"" genre novels start with a ton of character names like ""Clandrak Thunderswane"" I have to suppress the urge to bully myself.",Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
29,"Dear Journalists: Yes, it's scary to call #Trump a racist, sexist xenophobe. It makes mean people yell at you. But, you know. Journalism.",Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
30,"Some reporter please ask #Trump, ""Do you want to be an all-powerful dictator?"" I feel like there's a chance he'd just be honest about it.",Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
31,"@elwood I totally forgot about the part in baseball where the man swings the bat at the ball. My bad, it is a great sport after all!",Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
32,"You guys, I'm pretty sure baseball isn't a sport. #basketball",Morgan Phillips,Morgan,The Morgan Phillips from https://t.co/c4TKJ55GwB,Female
