numberOfTweet,text,user name,screen name,description,gender
1,@paranoidroid HDR?,Nic,Nic,Hello!,Female
2,You ever look around a bar and wonder how many are first dates?,Nic,Nic,Hello!,female
3,“Humans today add value at the margins.” https://t.co/tI5DvtK85d,Nic,Nic,Hello!,Female
4,@SFSisters heard you're up in Guerneville tonight? Are you coming by Rainbow Cattle Co?!,Nic,Nic,Hello!,Female
5,“The Broken Window Theory In Design &amp; Product Development” by @vanschneider https://t.co/msroUYBNw3,Nic,Nic,Hello!,Female
6,I just backed Energysquare - always stay charged on @Kickstarter https://t.co/JAJY5sopS1,Nic,Nic,Hello!,Female
7,@scottsimpson I owe you a $1 and.....tip? You bought my beer tonight! #OhCanada,Nic,Nic,Hello!,Female
8,@malbiniak https://t.co/7PhpkB9QFu,Nic,Nic,Hello!,Female
9,@odonicola whichever makes me look like I understand the Internet more!,Nic,Nic,Hello!,Female
10,@odonicola https://t.co/AADV1yA4Ts,Nic,Nic,Hello!,Female
11,https://t.co/66ZNOnIGuQ,Nic,Nic,Hello!,Female
12,@odonicola the only thing it's really good for is getting airline pilots. But I see you don't have that need....,Nic,Nic,Hello!,Female
13,@odonicola :) what would you do with it?,Nic,Nic,Hello!,Female
14,"The Business of Too Much TV: ""No going back to the day when crappiest of shows could follow Friends &amp; make millions"" https://t.co/a2f6ZehgxM",Nic,Nic,Hello!,Female
15,"""Teams that tested hypotheses performed almost three times better than teams that didn't"" #lean #hbr #leanstartup https://t.co/E33qOihXwp",Nic,Nic,Hello!,Female
16,"Pivotal scores $253M from Ford, Microsoft and other giants https://t.co/uBGL29YsNP",Nic,Nic,Hello!,Female
17,"Women in Construction Forum: Female workforce on rise, but still rampant discrimination. https://t.co/DFcLt9ibY7",Nic,Nic,Hello!,Female
18,How @ebay is still in business amazes me. If @yahoo wants to to throw a Hail Mary they'll be successful with a user-researched-based clone.,Nic,Nic,Hello!,Female
19,"Good start: Apple recovered 2,204 pounds of gold from broken iPhones last year
https://t.co/r5ReVkhot9",Nic,Nic,Hello!,female
20,@missrogue it's too easy! You can't believe how many times I've been told that tonight's concert inspired them.....,Nic,Nic,Hello!,female
21,"@missrogue also, I get every mention directed at @NICKIMINAJ or @nickjonas whenever Twitter truncates a tweet :(",Nic,Nic,Hello!,female
22,"@missrogue hmm, you've got me thinking. Years ago I thought I'd use Lists for the noise/signal filter.....but was too much maintenance.",Nic,Nic,Hello!,female
23,"@missrogue it was a lot easier for me when there weren't as many people and it felt ""smaller"". Now I feel like the worlds watching...",Nic,Nic,Hello!,Female
24,@testobsessed Best at Letting Go.,Nic,Nic,Hello!,Female
25,@aanand I love when Twitter recommends that I should follow my bots.,Nic,Nic,Hello!,Female
26,"Nothing hipster about this, it's just San Francisco. https://t.co/26mIGEZRvj",Nic,Nic,Hello!,Female
27,@FreeFlowWine do you ever do tours of the facility? I'm interested in machinery/logistic side of wine making &amp; would love to see your place,Nic,Nic,Hello!,Female
28,"Meanwhile, on Market Street.... https://t.co/US84TwUs91",Nic,Nic,Hello!,Female
29,The #esp8266 is the Internet of Things in Emperors clothes. #unstable,Nic,Nic,Hello!,Female
30,“Principles To Effective Story Writing: The Pivotal Labs Way” by Ryan Jones https://t.co/8M6XUnDyCD,Nic,Nic,Hello!,Female
31,#NowPlaying Gold by Kiiara ♫ https://t.co/X4hEXN4xZ0,Nic,Nic,Hello!,Female
32,“10 Things That Abruptly Happen When Real Leadership Shows Up” by @BenjaminPHardy https://t.co/hPNbpvQOOv,Nic,Nic,Hello!,Female
33,I just published “A Poor Mans Nest: San Francisco Edition” https://t.co/YWNjdhO5uZ,Nic,Nic,Hello!,Female
34,@cbguder @PatrickMcFadin p'shaw! Who needs updates?,Nic,Nic,Hello!,Female
35,@gmcres you're alive!,Nic,Nic,Hello!,Female
36,What all #car owners in #SF aspire to have. https://t.co/YIfyqAXtE5,Nic,Nic,Hello!,Female
37,"Retro cheese, it's a Thing. #pivotallife @ Pivotal Labs https://t.co/s71wskokuC",Nic,Nic,Hello!,Female
38,"Huh. And I was referring to Cisco's operating system at the time. Also, a RaspPi can now do the same thing.  https://t.co/fyQKub8Q5R",Nic,Nic,Hello!,Female
39,Watch “Shadow of a Giant - Trailer - 2015” on @Vimeo https://t.co/AUVEvoqIsV,Nic,Nic,Hello!,Female
40,Hanford: A Race Against Time. One of the largest nuclear waste sites in our backyard.  https://t.co/lUZ5R5jPpx,Nic,Nic,Hello!,Female
41,"Wild and Scenic Film Festival! Excited for this. (@ Nevada Theatre in Nevada City, CA) https://t.co/p9KQmCcZA1",Nic,Nic,Hello!,Female
42,@VZWSupport now following you.,Nic,Nic,Hello!,Female
43,"@VZWSupport Yes, all Reset. I also erased all my current and 'Deleted' voicemails. I am on iOS 9.2",Nic,Nic,Hello!,Female
44,@VZWSupport Yes. It's been this way for about 8 months now. Also tried re-recording. You can leave a voicemail but my iPhone never receives,Nic,Nic,Hello!,Female
45,"@VZWSupport can you help me w/iphone voicemail? Don't get notifications of new VM, and custom recording doesnt play (Only the Verizon voice)",Nic,Nic,Hello!,female
46,"Day two! (@ Eisenhower Executive Office Building - @whitehouse in Washington, DC) https://t.co/teE7U4VLYM",Nic,Nic,Hello!,Female
