numberOfTweet,text,user name,screen name,description,gender
1,This is happening https://t.co/B3rqF23tLU,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
2,Jerry Seinfeld just showed up to this Zuckerberg Q&amp;A. Whaaat,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",female
3,brb buying hundreds of these https://t.co/ZqpM8r3MYE,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
4,(Tastemade is pretty great),Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
5,I actually subscribed to a few Snapchat brands what's happening to me,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
6,Decided to get the home fries instead of the salad. No regrets. (Though I'll have to go to the gym later),Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
7,@homesweethome @Target Yes! This is exactly what we have. Bought it based on your previous review even though it was runner-up. Win!,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
8,The enthusiasm over game video is one of those things I don't understand. Bored.,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
9,*cries for humanity*,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
10,EMOJIFY ALL LANGUAGE ALL TEXT EMOJI ALL COMMUNICATIONS,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
11,3x bigger eggplant emoji amirite fellas,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
12,This woman is making this the most fabulous WWDC keynote ever,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
13,Apple keynote is moving very fast. Something tells me there'll be a One More Thing or two.,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
14,That's not a great dim sum place,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
15,Watching high school movies with your teenager sounds like a great way to make them feel uncomfortable. I approve,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
16,"It's still weird to me that they're called ""complications.""",Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
17,There are WWDC snapchat filters. lololol,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
18,"""What did you say about my hair?"" https://t.co/VHPSar7W6p via @engadget",Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
19,"""I'm totally over jet lag!"" *falls face flat on desk*",Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",female
20,"Five minutes into work after a week out and I'm already slap-fighting computer and saying ""It has RAM something or whatever""",Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",female
21,@DanaWollman @chrisvelazco @c_davies @panzer do it,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",female
22,First day of E3 and WWDC. I chose a great day to be back at work. *drinks all the coffee*,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",female
23,Moment of silence and flags at half mast at the game.,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
24,At the game! #BeatLA #SFGiants #ATTPark https://t.co/IIh02CD1dC,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
25,"This was an entirely PREVENTABLE crime. Let that sink in.

IT WAS PREVENTABLE.",Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
26,"This is the thing that's frustrating. Even faced with irrefutable facts, people will turn to hate. https://t.co/M8yytwBWIC",Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
27,There's the bad side of America. And then there's this. There needs to be more of this. https://t.co/QIVDLNf8gX,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
28,https://t.co/P7JXje0zxj &lt;-- This is how you find your local representative.,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
29,This is an election year. Contact your local congress person who's up for election and tell him/her that the time for gun control is now.,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
30,"""Do you have access to a fax machine?"" No, not on a Sunday. Actually, not ever.",Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
31,It is June in San Francisco and I am wearing shorts. What is even happening,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
32,Now watching the game in a chicken &amp; waffles restaurant https://t.co/kqnLLDV4FA,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
33,Yay #ENG,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
34,Watching the football #EURO2016 https://t.co/lspQmA0ljK,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
35,Great ad. Too bad there were no phones in it. https://t.co/dlug44b2OX,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
36,"So, Draymond called him a bitch? Is there context here? Because on the face of it, that doesn't seem like a big deal.",Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
37,I haven't eaten anything in 20 hours.,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
38,@danielwcooper I don't much fancy him tbh,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
39,Dubs on 🔥,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
40,@danielwcooper yes,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
41,I'm back https://t.co/4r5jC6hgpe,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
42,Flight delayed by an hour to accommodate customs requirements. Huh?,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
43,Bye Asia. I like you but you're too hot right now. Bring on the fog.,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
44,This is exactly it. https://t.co/XrgAuJcbJe,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
45,"As much as I wanted Warren for prez, she's probably needed more in Congress.",Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",female
46,Let's do this. https://t.co/nyWTJM5ZDe,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
47,"@wmsteele @rjcc See, THIS is funny. Hill's response is the equivalent of ""get out"". I don't think people know what ""snark"" or ""shade"" means.",Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
48,@rjcc Right?! What is going on.,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
49,@nicole WHY IS THIS NEWS? I legit do not understand it.,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
50,"I guess for me, when someone tells Trump to delete his account, it's not snark, but just a normal reaction. Like telling a troll to go away.",Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
51,"Wait, that actually happened? https://t.co/lZmdnqbVRU",Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
52,This is HUGE https://t.co/SiAV7xtwhe,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
53,I guess it's supposed to be a meme thing? idk https://t.co/xXvvzoFKMc,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
54,@NateIngraham Yeah. I don't understand what the big deal is tho?,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
55,"Okay, I don't get the delete your account thing",Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
56,"Obama just dropped the mic on this Lenovo presser. I mean, yeah whatever, new phone, okay, THE PRESIDENT MADE AN ANNOUNCEMENT",Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
57,Will I run out of Skype credit before this international call is over THE DRAMA,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
58,"How to contact me, ranked in order of preference:
1) Email
2) Twitter
3) Text
4) Phone call
5) Jump through my house window
6) LinkedIn",Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
59,"@casskhaw @CherlynnLow @AaronIsSocial Ha, well, I grew up hating the culture, which is why I never learned the language :) But maybe future",Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
60,"@richardlai @CherlynnLow @casskhaw @AaronIsSocial If ""gai"" is chicken and ""diu"" is fuck, i'm scared to know what you're talking about",Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
61,"@richardlai @CherlynnLow @casskhaw @AaronIsSocial I don't speak any Chinese, but isn't ""diu"" also mean fuck",Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
62,"@casskhaw @CherlynnLow @AaronIsSocial @DanaWollman Damn it, we're all Hokkien too?! Sheesh (I don't speak the language though)",Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
63,@CherlynnLow @casskhaw @AaronIsSocial @DanaWollman Haha sorry. I have always hated Singapore and always will :) But we can be coworkers!,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",female
64,"@CherlynnLow @AaronIsSocial @DanaWollman None of that is native to Singapore, and you know it.",Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
65,@CherlynnLow @casskhaw @AaronIsSocial @DanaWollman Durians are Malaysian / Thai.,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
66,@CherlynnLow @AaronIsSocial @DanaWollman M'sian food &gt;&gt;&gt;&gt;&gt;&gt;&gt; Singaporean food by a 100000000 miles,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
67,@nicole UPDATE: I didn't eat the Pringles.,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",Female
68,@AaronIsSocial @DanaWollman @CherlynnLow what do you expect from a Singaporean *runs away &amp; hides*,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",female
69,What should I have when I get back to SF,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",female
70,@RandomHajile35 ... Why would you use VR for business at all,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",female
71,This seems bizarrely unnecessary  https://t.co/1GBan6N8Y0,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",female
72,Should I eat the Pringles in this hotel snack bar,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",female
73,"This, a thousand times. https://t.co/y1t4vesxkS",Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",female
74,"I just want to be in a world where people are nice and considerate, even with people they disagree. But apparently that's fantasy",Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",female
75,"Tbf, I also don't like the ""I told you so"" pro-Hill people either. What happened to being nice to your neighbor",Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",female
76,@AriTheFine @cenkuygur I'm a progressive. Please don't put words in my mouth.,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",female
77,@SolverisAnser @cenkuygur @Zebop There's condescension and arrogance on both sides.,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",female
78,"I'm sick with a fever, but I will spend the next hour blocking / muting people because Twitter is broken.",Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",female
79,@tylerphilpot @Zebop @cenkuygur I'm a Bernie supporter and I will vote for Hill. Please don't put words in my mouth.,Nicole Lee,nicole,"Senior Editor for @Engadget. Beats: Culture, social media, all things Internet. Dabbling in mobile and VR. Snapchat/Instagram: nicolenerd. Always fail upwards.",female
