numberOfTweet,text,user name,screen name,description,gender
1,Very sad news. So sorry.  https://t.co/lkQTPLmsl3,sherylrockin,sherylrockin,Sheryl Worsley. News Director @kslnewsradio. Current @RTDNA Region 3 Dir.  Utah Headliners SPJ board member @utahspj  Utah fan,Female
2,@tv_leader @katied8767 oh no.,sherylrockin,sherylrockin,Sheryl Worsley. News Director @kslnewsradio. Current @RTDNA Region 3 Dir.  Utah Headliners SPJ board member @utahspj  Utah fan,female
3,@DeltaAssist How are you going to make this right? Flight 966 appears to be cursed. https://t.co/BIUg2kRWcj,sherylrockin,sherylrockin,Sheryl Worsley. News Director @kslnewsradio. Current @RTDNA Region 3 Dir.  Utah Headliners SPJ board member @utahspj  Utah fan,Female
4,.@alanchr5412 @Delta No. We were about to leave but were just told we have to get off this plane. Again. 3.5 hours later. #AirportHell,sherylrockin,sherylrockin,Sheryl Worsley. News Director @kslnewsradio. Current @RTDNA Region 3 Dir.  Utah Headliners SPJ board member @utahspj  Utah fan,Female
5,"Um, @Delta , please hurry up. Torches. Pitchforks. https://t.co/TsAKI03ta9",sherylrockin,sherylrockin,Sheryl Worsley. News Director @kslnewsradio. Current @RTDNA Region 3 Dir.  Utah Headliners SPJ board member @utahspj  Utah fan,Female
6,"Hey @Delta , might be a good idea to bring in more people to rebook people who just got bumped DL966. Just sayin'. #airportHell",sherylrockin,sherylrockin,Sheryl Worsley. News Director @kslnewsradio. Current @RTDNA Region 3 Dir.  Utah Headliners SPJ board member @utahspj  Utah fan,Female
7,@kworsley0 Yep! Back tomorrow and see you then! 😘,sherylrockin,sherylrockin,Sheryl Worsley. News Director @kslnewsradio. Current @RTDNA Region 3 Dir.  Utah Headliners SPJ board member @utahspj  Utah fan,Female
8,"@kworsley0 I miss you too, baby! Take a few deep breaths. Go for a walk/run.",sherylrockin,sherylrockin,Sheryl Worsley. News Director @kslnewsradio. Current @RTDNA Region 3 Dir.  Utah Headliners SPJ board member @utahspj  Utah fan,Female
9,Having a blast! Girls night at baseball! #GoDbacks https://t.co/u0ushGedNt,sherylrockin,sherylrockin,Sheryl Worsley. News Director @kslnewsradio. Current @RTDNA Region 3 Dir.  Utah Headliners SPJ board member @utahspj  Utah fan,Female
10,"Yes, you have had a @NewsGin confirmed spotting! She says ""caught in the action"". ;) https://t.co/NsZdnRYIqN",sherylrockin,sherylrockin,Sheryl Worsley. News Director @kslnewsradio. Current @RTDNA Region 3 Dir.  Utah Headliners SPJ board member @utahspj  Utah fan,Female
