numberOfTweet,text,user name,screen name,description,gender
1,Istanbul to Tehran by Bike | The Radavist https://t.co/uz9WU2lRC2,Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
2,@HorstMumpitz https://t.co/Kk8vzWP154 da stimmt irgendwas nicht :),Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,female
3,The moment you realize that you have turned the coffee machine on when you hear it turning off.,Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
4,"Hey @slackhq, how about generating statistics out of the emoji usage in a team to get a high level overview of people’s mood!",Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
5,@Lumaxis LaTeX! :),Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
6,@iljawascoding „Not long ago there was actually nothing there“. Räusper!,Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
7,@Politepix @olebegemann the „B-Movie“-Movie from which all footage seems to be was shown on Arte a few weeks ago. Can’t recommend it enough.,Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
8,@steipete Adobe Lightroom.,Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
9,Tolle Bilder des Berliner Sechstagerennen 1985: https://t.co/9DD5p2P6bh,Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
10,"Hallo Xing, danke! Den Kollegen such ich schon seit Tagen! https://t.co/xjyJ4kQpuo",Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
11,@Edge_Ski works. Thanks! :),Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
12,@Edge_Ski your website mentions Damüls (https://t.co/gyTfAlELbh) but I’m not able to find it with search :(,Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
13,"@dysternis ok, wenn gar nix drin steht ist natürlich doof :(",Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
14,"@dysternis warum ist der denn invalid? Falsches Format? Der wird eigentlich immer geprüft, sollte immer loggen…",Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
15,"@rall0r ein ""ist"" hat z.B. auch nicht jeder!",Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
16,@paxos was willste denn für ne neue alpha?,Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
17,@iljawascoding I wanted to introduce @macguitar to good east german entertainment :) ( @uliwitness ),Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
18,@soryu2 der @paxos mag uns einfach nicht mehr.,Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
19,"Late to the party, but: That they play Pixies Where is my mind in Episode 9 of Mr. Robot is a nice homage :)",Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,female
20,Please vote to convince TrainerRoad that adding full support for @tacx smart trainers to their Apps is a good idea! https://t.co/M80crv5coq,Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,female
21,@Blubser der link wäre nur nicht schlecht gewesen :),Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,female
22,@Blubser ach geht so. aber versuch ist es wert :),Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,female
23,@TrainerRoadHelp would it help prioritizing to make a request on https://t.co/YS5qHzN96V and see how many people are interested?,Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
24,@TrainerRoadHelp any plans to support ant+ fe-c over bluetooth for Tacx Trainers as mentioned here on the Tacx site: https://t.co/GFp2xMycBg,Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
25,@rall0r hilft anscheinend auch sehr gut bei der Wahrnehmung des eigenen Nachwuchs (in jedem Fall hinsichtlich schauspielerische Fähigkeiten),Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
26,Started the day with 3 hours fixing Windows 10 on a friends Surface 3. I really hope this isn't any kind of omen.,Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
27,@paxos hummerschwänzchen!,Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
28,"@dysternis ich war auch begeistert, dass das schicke Space Shuttle https://t.co/9bGi4o8xTP einen Raketen schiessenden Satelitten hat.",Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
29,@Elektrojunge @Deadcooky ach schon da :) dachte wäre live per inflight internet! Na dann gutes entjetlaggen.,Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
30,@Elektrojunge @Deadcooky 😱😁 na dann guten Flug!,Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
31,@Deadcooky @Elektrojunge wie jetzt. Der sitzt da in der unterhose?,Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
32,@rall0r mein rezept hat zum glück ne ganze flache erfordert!,Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
33,@closingtag äh stimmt. Dann hat der heute viele Einhörner ausgetragen :),Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
34,@closingtag wir scheinen den selben weihnachtsmann zu haben....,Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
35,@rall0r der kochwein schon wieder?,Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
36,@KuttnerSarah direkt mal nach Asterix und Kleopatra gesucht aber kommt dieses Jahr gar nicht im TV :(,Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
37,@christian_beer naja. Sich von Staaten schmieren lassen ist schon mehr als nur Fussball...,Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
38,"@dysternis ""Schaut ihr Kind 0,1, 2, 3 oder 4h Fernsehen am Tag(!)"" war eine Frage auf dem Bogen zur Schuluntersuchung in Berlin….",Stefan Haubold,Soph,iOS and Rails Developer. Photo Nerd.,Female
